NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;N306;N306_MOD;N306_LIB;N027;N027_MOD;N027_LIB;VALEUR;QUALITE
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1;Céréales, oléagineux, protéagineux;Groupe d'indicateurs;020.01;Production (volume);785264625;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1;Céréales, oléagineux, protéagineux;Groupe d'indicateurs;050.08;Superficie développée;11886728;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1;Céréales, oléagineux, protéagineux;Groupe d'indicateurs;070.01;Rendement;66.1;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11;Céréales;Groupe d'indicateurs;020.01;Production (volume);701052074;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11;Céréales;Groupe d'indicateurs;050.08;Superficie développée;9424714;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11;Céréales;Groupe d'indicateurs;070.01;Rendement;74.4;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1;Blé;Groupe d'indicateurs;020.01;Production (volume);381863262;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1;Blé;Groupe d'indicateurs;050.08;Superficie développée;5128403;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1;Blé;Groupe d'indicateurs;070.01;Rendement;74.5;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.11;Blé tendre et épeautre;Groupe d'indicateurs;020.01;Production (volume);360694961;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.11;Blé tendre et épeautre;Groupe d'indicateurs;050.08;Superficie développée;4711546;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.11;Blé tendre et épeautre;Groupe d'indicateurs;070.01;Rendement;76.6;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.11.1;Blé tendre d'hiver et épeautre;Groupe d'indicateurs;020.01;Production (volume);359861160;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.11.1;Blé tendre d'hiver et épeautre;Groupe d'indicateurs;050.08;Superficie développée;4698605;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.11.1;Blé tendre d'hiver et épeautre;Groupe d'indicateurs;070.01;Rendement;76.6;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.11.2;Blé tendre de printemps;Groupe d'indicateurs;020.01;Production (volume);833801;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.11.2;Blé tendre de printemps;Groupe d'indicateurs;050.08;Superficie développée;12941;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.11.2;Blé tendre de printemps;Groupe d'indicateurs;070.01;Rendement;64.4;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.12;Blé dur;Groupe d'indicateurs;020.01;Production (volume);21168301;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.12;Blé dur;Groupe d'indicateurs;050.08;Superficie développée;416857;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.12;Blé dur;Groupe d'indicateurs;070.01;Rendement;50.8;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.12.1;Blé dur d'hiver;Groupe d'indicateurs;020.01;Production (volume);20217083;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.12.1;Blé dur d'hiver;Groupe d'indicateurs;050.08;Superficie développée;402408;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.12.1;Blé dur d'hiver;Groupe d'indicateurs;070.01;Rendement;50.2;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.12.2;Blé dur de printemps;Groupe d'indicateurs;020.01;Production (volume);951218;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.12.2;Blé dur de printemps;Groupe d'indicateurs;050.08;Superficie développée;14449;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.1.12.2;Blé dur de printemps;Groupe d'indicateurs;070.01;Rendement;65.8;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.2;Orge et escourgeon;Groupe d'indicateurs;020.01;Production (volume);128312061;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.2;Orge et escourgeon;Groupe d'indicateurs;050.08;Superficie développée;1877878;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.2;Orge et escourgeon;Groupe d'indicateurs;070.01;Rendement;68.3;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.2.11;Orge d'hiver et escourgeon;Groupe d'indicateurs;020.01;Production (volume);89872990;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.2.11;Orge d'hiver et escourgeon;Groupe d'indicateurs;050.08;Superficie développée;1311662;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.2.11;Orge d'hiver et escourgeon;Groupe d'indicateurs;070.01;Rendement;68.5;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.2.12;Orge de printemps;Groupe d'indicateurs;020.01;Production (volume);38439071;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.2.12;Orge de printemps;Groupe d'indicateurs;050.08;Superficie développée;566216;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.2.12;Orge de printemps;Groupe d'indicateurs;070.01;Rendement;67.9;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.3;Avoine;Groupe d'indicateurs;020.01;Production (volume);5149790;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.3;Avoine;Groupe d'indicateurs;050.08;Superficie développée;105316;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.3;Avoine;Groupe d'indicateurs;070.01;Rendement;48.9;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.3.11;Avoine d'hiver;Groupe d'indicateurs;020.01;Production (volume);3462516;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.3.11;Avoine d'hiver;Groupe d'indicateurs;050.08;Superficie développée;69481;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.3.11;Avoine d'hiver;Groupe d'indicateurs;070.01;Rendement;49.8;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.3.12;Avoine de printemps;Groupe d'indicateurs;020.01;Production (volume);1687274;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.3.12;Avoine de printemps;Groupe d'indicateurs;050.08;Superficie développée;35835;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.3.12;Avoine de printemps;Groupe d'indicateurs;070.01;Rendement;47.1;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.4;Triticale;Groupe d'indicateurs;020.01;Production (volume);20117885;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.4;Triticale;Groupe d'indicateurs;050.08;Superficie développée;355795;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.4;Triticale;Groupe d'indicateurs;070.01;Rendement;56.5;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.5;Seigle et méteil;Groupe d'indicateurs;020.01;Production (volume);1306880;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.5;Seigle et méteil;Groupe d'indicateurs;050.08;Superficie développée;25170;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.5;Seigle et méteil;Groupe d'indicateurs;070.01;Rendement;51.9;OUI
