year,reg,prod,surf,yield,source
2011,011,11400960,142512,80.0,late_excel
2011,011,2614617,37893,69.0,late_excel
2011,011,2304264,34392,67.0,late_excel
2011,011,0,0,,late_excel
2011,011,30636,414,74.0,late_excel
2011,011,33299,497,67.0,late_excel
2011,011,1899506,25669,74.0,late_excel
2011,024,6002100,105300,57.0,late_excel
2011,024,12225600,169800,72.0,late_excel
2011,024,6008800,107300,56.0,late_excel
2011,024,6478600,111700,58.0,late_excel
2011,024,5002000,82000,61.0,late_excel
2011,024,6850800,103800,66.0,late_excel
2011,027,6350400,100800,63.0,late_excel
2011,027,493520,7960,62.0,late_excel
2011,027,1241000,18250,68.0,late_excel
2011,027,2802000,46700,60.0,late_excel
2011,027,2534730,38405,66.0,late_excel
2011,027,2337300,37100,63.0,late_excel
2011,027,8047600,129800,62.0,late_excel
2011,027,199080,2765,72.0,late_excel
2011,028,6582730,85490,77.0,late_excel
2011,028,12629539,159868,78.99979357970325,late_excel
2011,028,2849190,39030,73.0,late_excel
2011,028,6054480,84090,72.0,late_excel
2011,028,10463523,112511,93.0,late_excel
2011,032,15268154,186197,82.0,late_excel
2011,032,10845380,119180,91.0,late_excel
2011,032,11376680,162524,70.0,late_excel
2011,032,16318040,177370,92.0,late_excel
2011,032,16525740,196735,84.0,late_excel
2011,044,5024208,62960,79.8,late_excel
2011,044,8291417,111145,74.6,late_excel
2011,044,14072012,166730,84.4,late_excel
2011,044,4142505,64525,64.2,late_excel
2011,044,4262400,66600,64.0,late_excel
2011,044,5273000,78700,67.0012706480305,late_excel
2011,044,4538000,73200,61.994535519125684,late_excel
2011,044,2020050,30150,67.0,late_excel
2011,044,1481490,18290,81.0,late_excel
2011,044,1560000,24000,65.0,late_excel
2011,052,2837360,48920,58.0,late_excel
2011,052,5134500,81500,63.0,late_excel
2011,052,5204560,77680,67.0,late_excel
2011,052,5504000,86000,64.0,late_excel
2011,052,4758000,78000,61.0,late_excel
2011,053,7004400,89800,78.0,late_excel
2011,053,2833560,55560,51.0,late_excel
2011,053,7434530,94070,79.0318911448921,late_excel
2011,053,3994900,57070,70.0,late_excel
2011,075,2647680,63040,42.0,late_excel
2011,075,4606000,94000,49.0,late_excel
2011,075,118560,2280,52.0,late_excel
2011,075,552900,9700,57.0,late_excel
2011,075,1158280,25180,46.0,late_excel
2011,075,293800,5650,52.0,late_excel
2011,075,158480,2830,56.0,late_excel
2011,075,3253600,58100,56.0,late_excel
2011,075,225040,3880,58.0,late_excel
2011,075,5535850,104450,53.0,late_excel
2011,075,7144400,134800,53.0,late_excel
2011,075,535600,10300,52.0,late_excel
2011,076,341878,7274,47.0,late_excel
2011,076,168750,3750,45.0,late_excel
2011,076,450576,10479,42.99799599198397,late_excel
2011,076,55800,1550,36.0,late_excel
2011,076,1958507,40802,48.00026959462772,late_excel
2011,076,4122733,87718,46.999851797806606,late_excel
2011,076,31200,820,38.048780487804876,late_excel
2011,076,363295,9082,40.001651618586216,late_excel
2011,076,34500,1150,30.0,late_excel
2011,076,232272,4839,48.0,late_excel
2011,076,3000,100,30.0,late_excel
2011,076,1749171,38025,46.000552268244576,late_excel
2011,076,1725307,37507,45.99960007465273,late_excel
2011,084,2267580,32394,70.0,late_excel
2011,084,2449660,46220,53.0,late_excel
2011,084,93000,3100,30.0,late_excel
2011,084,211500,4500,47.0,late_excel
2011,084,1231190,23230,53.0,late_excel
2011,084,1539200,29600,52.0,late_excel
2011,084,434500,9875,44.0,late_excel
2011,084,633360,13195,48.0,late_excel
2011,084,2603620,44890,58.0,late_excel
2011,084,559625,10175,55.0,late_excel
2011,084,52250,950,55.0,late_excel
2011,084,229140,3420,67.0,late_excel
2011,093,90756,2521,36.0,late_excel
2011,093,86100,2460,35.0,late_excel
2011,093,532,14,38.0,late_excel
2011,093,21450,550,39.0,late_excel
2011,093,6156,171,36.0,late_excel
2011,093,61598,1621,38.0,late_excel
2011,094,0,0,,late_excel
2011,094,2400,80,30.0,late_excel
2011,971,0,0,,late_excel
2011,972,0,0,,late_excel
2011,973,0,0,,late_excel
2011,974,0,0,,late_excel
2011,976,0,0,,late_excel
2012,011,11164230,137830,81.0,late_excel
2012,011,3079620,38020,81.0,late_excel
2012,011,2757250,33625,82.0,late_excel
2012,011,0,0,,late_excel
2012,011,28946,353,82.0,late_excel
2012,011,36490,445,82.0,late_excel
2012,011,2105350,25675,82.0,late_excel
2012,024,7210500,104500,69.0,late_excel
2012,024,13489000,164500,82.0,late_excel
2012,024,7310000,107500,68.0,late_excel
2012,024,7831500,113500,69.0,late_excel
2012,024,5949500,81500,73.0,late_excel
2012,024,7866000,103500,76.0,late_excel
2012,027,5824000,89600,65.0,late_excel
2012,027,491400,8190,60.0,late_excel
2012,027,1093950,16830,65.0,late_excel
2012,027,2970500,45700,65.0,late_excel
2012,027,2223450,36450,61.0,late_excel
2012,027,2438800,36400,67.0,late_excel
2012,027,8234300,122900,67.0,late_excel
2012,027,146400,2400,61.0,late_excel
2012,028,6817700,86300,79.0,late_excel
2012,028,13741737,157951,87.0,late_excel
2012,028,2838000,43000,66.0,late_excel
2012,028,6035000,85000,71.0,late_excel
2012,028,9917304,113992,87.0,late_excel
2012,032,14794005,182094,81.2437806847013,late_excel
2012,032,9589415,121385,79.0,late_excel
2012,032,13423702,162909,82.40000245535852,late_excel
2012,032,14124410,178790,79.0,late_excel
2012,032,16825580,197748,85.08596799967636,late_excel
2012,044,4107670,58100,70.7,late_excel
2012,044,7098510,94020,75.5,late_excel
2012,044,11527672,144820,79.6,late_excel
2012,044,2770025,44750,61.9,late_excel
2012,044,2183000,39900,54.711779448621556,late_excel
2012,044,2132000,35800,59.55307262569833,late_excel
2012,044,3090000,51100,60.46966731898239,late_excel
2012,044,1373600,20200,68.0,late_excel
2012,044,1086300,15300,71.0,late_excel
2012,044,750000,15000,50.0,late_excel
2012,052,3485860,49798,70.0,late_excel
2012,052,6147000,81960,75.0,late_excel
2012,052,5862058,79217,74.0,late_excel
2012,052,6455390,87235,74.0,late_excel
2012,052,5792948,76223,76.0,late_excel
2012,053,6211800,91350,68.0,late_excel
2012,053,3256800,55200,59.0,late_excel
2012,053,7113000,94840,75.0,late_excel
2012,053,4009590,58110,69.0,late_excel
2012,075,4387680,66480,66.0,late_excel
2012,075,7118800,96200,74.0,late_excel
2012,075,126500,2300,55.0,late_excel
2012,075,572880,10230,56.0,late_excel
2012,075,1618200,26970,60.0,late_excel
2012,075,467870,7670,61.0,late_excel
2012,075,185850,3150,59.0,late_excel
2012,075,4328870,64610,67.0,late_excel
2012,075,283560,4170,68.0,late_excel
2012,075,7595650,104050,73.0,late_excel
2012,075,9819300,138300,71.0,late_excel
2012,075,582400,11200,52.0,late_excel
2012,076,437130,7669,56.999608814708566,late_excel
2012,076,214890,3770,57.0,late_excel
2012,076,571810,10688,53.5001871257485,late_excel
2012,076,80660,2180,37.0,late_excel
2012,076,2660301,42227,63.0,late_excel
2012,076,5980376,92719,64.50000539263797,late_excel
2012,076,36480,960,38.0,late_excel
2012,076,558525,10155,55.0,late_excel
2012,076,60000,1200,50.0,late_excel
2012,076,351780,5412,65.0,late_excel
2012,076,4500,150,30.0,late_excel
2012,076,2339580,38993,60.0,late_excel
2012,076,2580605,42305,61.0,late_excel
2012,084,2284700,34100,67.0,late_excel
2012,084,3125850,48090,65.0,late_excel
2012,084,101880,2830,36.0,late_excel
2012,084,252000,4500,56.0,late_excel
2012,084,1449000,23000,63.0,late_excel
2012,084,1888520,30460,62.0,late_excel
2012,084,599700,9995,60.0,late_excel
2012,084,728730,13495,54.0,late_excel
2012,084,2982540,45190,66.0,late_excel
2012,084,661850,10850,61.0,late_excel
2012,084,66950,1030,65.0,late_excel
2012,084,247000,3800,65.0,late_excel
2012,093,98760,2469,40.0,late_excel
2012,093,101000,2525,40.0,late_excel
2012,093,400,10,40.0,late_excel
2012,093,0,0,,late_excel
2012,093,9614,253,38.0,late_excel
2012,093,66707,1627,41.0,late_excel
2012,094,0,0,,late_excel
2012,094,2240,64,35.0,late_excel
2012,971,0,0,,late_excel
2012,972,0,0,,late_excel
2012,973,0,0,,late_excel
2012,974,0,0,,late_excel
2012,976,0,0,,late_excel
2013,011,11811240,140610,84.0,late_excel
2013,011,2954800,35600,83.0,late_excel
2013,011,2853540,34380,83.0,late_excel
2013,011,0,0,,late_excel
2013,011,32385,381,85.0,late_excel
2013,011,44239,533,83.0,late_excel
2013,011,2087600,24560,85.0,late_excel
2013,024,7384800,108600,68.0,late_excel
2013,024,13689000,169000,81.0,late_excel
2013,024,6444800,100700,64.0,late_excel
2013,024,6080000,95000,64.0,late_excel
2013,024,5544000,79200,70.0,late_excel
2013,024,7524000,104500,72.0,late_excel
2013,027,6712200,101700,66.0,late_excel
2013,027,485570,8230,59.0,late_excel
2013,027,1091790,17330,63.0,late_excel
2013,027,3126500,48100,65.0,late_excel
2013,027,2378880,37760,63.0,late_excel
2013,027,2263000,36500,62.0,late_excel
2013,027,8541000,131400,65.0,late_excel
2013,027,158275,2435,65.0,late_excel
2013,028,6806000,82000,83.0,late_excel
2013,028,13115000,152500,86.0,late_excel
2013,028,2780700,39000,71.3,late_excel
2013,028,5751200,79000,72.8,late_excel
2013,028,10119300,113700,89.0,late_excel
2013,032,16849651,185161,91.0,late_excel
2013,032,10331968,112304,92.0,late_excel
2013,032,14358882,162430,88.40043095487287,late_excel
2013,032,14833986,166674,89.0,late_excel
2013,032,18316443,196951,93.0,late_excel
2013,044,4946295,62850,78.7,late_excel
2013,044,8651719,112550,76.87000444247002,late_excel
2013,044,14920073,169450,88.05000295072293,late_excel
2013,044,4410288,64800,68.06,late_excel
2013,044,4800000,70500,68.08510638297872,late_excel
2013,044,6100000,82300,74.1190765492102,late_excel
2013,044,5440000,77300,70.3751617076326,late_excel
2013,044,2174400,30200,72.0,late_excel
2013,044,1302400,17600,74.0,late_excel
2013,044,1560000,24900,62.65060240963855,late_excel
2013,052,2689470,42690,63.0,late_excel
2013,052,4930530,74705,66.0,late_excel
2013,052,5321450,74950,71.0,late_excel
2013,052,5286750,75525,70.0,late_excel
2013,052,4658175,69525,67.0,late_excel
2013,053,6628920,89580,74.0,late_excel
2013,053,3700000,50000,74.0,late_excel
2013,053,7315000,95000,77.0,late_excel
2013,053,4282500,57100,75.0,late_excel
2013,075,4164480,65070,64.0,late_excel
2013,075,6673100,95330,70.0,late_excel
2013,075,137500,2750,50.0,late_excel
2013,075,560560,10780,52.0,late_excel
2013,075,1485000,27000,55.0,late_excel
2013,075,336500,6730,50.0,late_excel
2013,075,166380,3540,47.0,late_excel
2013,075,3908400,65140,60.0,late_excel
2013,075,251000,5020,50.0,late_excel
2013,075,6629650,98950,67.0,late_excel
2013,075,8371200,130800,64.0,late_excel
2013,075,605000,12100,50.0,late_excel
2013,076,427329,8379,51.0,late_excel
2013,076,382800,6600,58.0,late_excel
2013,076,542925,12065,45.0,late_excel
2013,076,171350,3725,46.0,late_excel
2013,076,2551432,49066,52.0,late_excel
2013,076,5515070,100274,55.0,late_excel
2013,076,78075,1735,45.0,late_excel
2013,076,522546,10246,51.0,late_excel
2013,076,64900,1180,55.0,late_excel
2013,076,285950,5719,50.0,late_excel
2013,076,7200,180,40.0,late_excel
2013,076,2298230,41786,55.0,late_excel
2013,076,2372112,43928,54.0,late_excel
2013,084,2109984,34032,62.0,late_excel
2013,084,3120000,48750,64.0,late_excel
2013,084,110400,2760,40.0,late_excel
2013,084,273600,4800,57.0,late_excel
2013,084,1431600,23860,60.0,late_excel
2013,084,1814250,30750,59.0,late_excel
2013,084,610120,10895,56.0,late_excel
2013,084,769725,13995,55.0,late_excel
2013,084,3236535,45585,71.0,late_excel
2013,084,640500,10675,60.0,late_excel
2013,084,67600,1040,65.0,late_excel
2013,084,255780,4060,63.0,late_excel
2013,093,108800,2720,40.0,late_excel
2013,093,110080,2752,40.0,late_excel
2013,093,304,8,38.0,late_excel
2013,093,54760,1369,40.0,late_excel
2013,093,9462,249,38.0,late_excel
2013,093,103630,2410,43.0,late_excel
2013,094,0,0,,late_excel
2013,094,4095,117,35.0,late_excel
2013,971,0,0,,late_excel
2013,972,0,0,,late_excel
2013,973,0,0,,late_excel
2013,974,0,0,,late_excel
2013,976,0,0,,late_excel
2014,011,12243440,139130,88.0,late_excel
2014,011,3209610,38670,83.0,late_excel
2014,011,2917200,34320,85.0,late_excel
2014,011,0,0,,late_excel
2014,011,25730,310,83.0,late_excel
2014,011,45475,535,85.0,late_excel
2014,011,2114840,25480,83.0,late_excel
2014,024,6904830,100070,69.0,late_excel
2014,024,15075600,177360,85.0,late_excel
2014,024,6961840,102380,68.0,late_excel
2014,024,7210845,104505,69.0,late_excel
2014,024,6757500,90100,75.0,late_excel
2014,024,7548000,102000,74.0,late_excel
2014,027,5631600,98800,57.0,late_excel
2014,027,530640,7920,67.0,late_excel
2014,027,1081685,15235,71.0,late_excel
2014,027,2964000,45600,65.0,late_excel
2014,027,2336425,35945,65.0,late_excel
2014,027,2150400,33600,64.0,late_excel
2014,027,7865600,122900,64.0,late_excel
