year,reg,prod,surf,yield,source
2000,11,41671312,512338,81.33558705385897,early_csv
2000,24,111456200,1526600,73.00943272631993,early_csv
2000,27,60062412,821936,73.07431722177883,early_csv
2000,28,64950600,866400,74.96606648199446,early_csv
2000,32,129633360,1581180,81.9852009258908,early_csv
2000,44,108570960,1407550,77.13470924656318,early_csv
2000,52,42506400,656500,64.74699162223915,early_csv
2000,53,38954000,597000,65.24958123953098,early_csv
2001,11,34048728,455474,74.7544931214515,early_csv
2001,24,89338658,1378996,64.78529161795973,early_csv
2001,27,49373268,790788,62.43553012944051,early_csv
2001,28,57503934,803334,71.58160117709446,early_csv
2001,32,119479022,1445188,82.6736881291569,early_csv
2001,44,94376312,1302796,72.44135843217204,early_csv
2001,52,30395000,529600,57.39237160120846,early_csv
2001,53,34758856,517662,67.14585192654667,early_csv
2002,11,40564282,487794,83.15863253750558,early_csv
2002,24,117692008,1508608,78.01364436619718,early_csv
2002,27,56440022,798422,70.68946246471164,early_csv
2002,28,71259500,868618,82.03778876329986,early_csv
2002,32,131227800,1524038,86.1053333315836,early_csv
2002,44,101975994,1327302,76.82953389658118,early_csv
2002,52,55040000,733600,75.02726281352236,early_csv
2002,53,43805368,599710,73.04425138817095,early_csv
2003,11,31818170,474992,66.9867492505137,early_csv
2003,24,78052376,1361924,57.310375615673124,early_csv
2003,27,35321738,694386,50.86758373584721,early_csv
2003,28,65146372,843610,77.22332831521675,early_csv
2003,32,123444694,1501248,82.22804892995694,early_csv
2003,44,77543678,1241276,62.4709395815274,early_csv
2003,52,40596000,651200,62.34029484029484,early_csv
2003,53,37735198,541784,69.64989368456801,early_csv
2004,11,42410070,489414,86.65479532665596,early_csv
2004,24,107340768,1445882,74.2389544928286,early_csv
2004,27,58071518,763788,76.0309379042352,early_csv
2004,28,75179360,877782,85.64696017917889,early_csv
2004,32,144236712,1564842,92.17333890578091,early_csv
2004,44,108632416,1284972,84.54068726789377,early_csv
2004,52,51934000,726000,71.53443526170798,early_csv
2004,53,43549040,584736,74.47641328736387,early_csv
2005,11,38937402,497392,78.28312879981986,early_csv
2005,24,101456190,1460778,69.45353092667058,early_csv
2005,27,49737334,747422,66.54518331009791,early_csv
2005,28,69036700,897498,76.92128561846377,early_csv
2005,32,129876934,1582628,82.06409465774648,early_csv
2005,44,98020744,1296426,75.60843735006857,early_csv
2005,52,51247400,736400,69.5917979359044,early_csv
2005,53,41997952,592904,70.83432056454333,early_csv
2006,11,35759724,485160,73.70707395498393,early_csv
2006,24,89562628,1374270,65.17105663370371,early_csv
2006,27,49280632,762626,64.61965891537923,early_csv
2006,28,66845880,880986,75.87621142674232,early_csv
2006,32,126326426,1562748,80.83608233701148,early_csv
2006,44,95250058,1306178,72.922724161638,early_csv
2006,52,47214600,715200,66.01593959731544,early_csv
2006,53,41176406,572004,71.98622037608129,early_csv
2007,11,36832400,477302,77.16791465361553,early_csv
2007,24,88691590,1379328,64.30057970257981,early_csv
2007,27,45462672,760892,59.74917859564827,early_csv
2007,28,61190970,889410,68.79950753870543,early_csv
2007,32,117583326,1572124,74.79265376013596,early_csv
2007,44,90930424,1304184,69.72208216018599,early_csv
2007,52,40996200,710000,57.74112676056338,early_csv
2007,53,31879730,569528,55.97570268713742,early_csv
2008,11,39782292,483650,82.25429959681588,early_csv
2008,24,98540320,1417944,69.49521278696479,early_csv
2008,27,49837752,778980,63.9782176692598,early_csv
2008,28,81680618,951572,85.83755932288886,early_csv
2008,32,149541280,1665004,89.81436681233198,early_csv
2008,44,98600474,1374316,71.74512557519522,early_csv
2008,52,52457694,774258,67.75221437815301,early_csv
2008,53,43378684,599402,72.3699353689177,early_csv
2009,11,40905548,468354,87.33895301417304,early_csv
2009,24,96554010,1327562,72.73032069312018,early_csv
2009,27,51877770,729978,71.0675801188529,early_csv
2009,28,77205050,907986,85.0288991239953,early_csv
2009,32,147040560,1594964,92.19051966063184,early_csv
2009,44,105569986,1325084,79.6704103287037,early_csv
2009,52,53409200,720840,74.09300260806836,early_csv
2009,53,43790964,578906,75.64434295032355,early_csv
2010,11,2047395,24087,85.0,late_excel
2010,24,6958553,103859,67.0,late_excel
2010,27,192440,2830,68.0,late_excel
2010,28,9859456,107168,92.0,late_excel
2010,32,16203690,188415,86.0,late_excel
2010,44,1631700,25900,63.0,late_excel
2010,52,4558645,70133,65.0,late_excel
2010,53,3739806,55818,67.0,late_excel
2011,11,1899506,25669,74.0,late_excel
2011,24,6850800,103800,66.0,late_excel
2011,27,199080,2765,72.0,late_excel
2011,28,10463523,112511,93.0,late_excel
2011,32,16525740,196735,84.0,late_excel
2011,44,1560000,24000,65.0,late_excel
2011,52,4758000,78000,61.0,late_excel
2011,53,3994900,57070,70.0,late_excel
2012,11,2105350,25675,82.0,late_excel
2012,24,7866000,103500,76.0,late_excel
2012,27,146400,2400,61.0,late_excel
2012,28,9917304,113992,87.0,late_excel
2012,32,16825580,197748,85.08596799967636,late_excel
2012,44,750000,15000,50.0,late_excel
2012,52,5792948,76223,76.0,late_excel
2012,53,4009590,58110,69.0,late_excel
2013,11,2087600,24560,85.0,late_excel
2013,24,7524000,104500,72.0,late_excel
2013,27,158275,2435,65.0,late_excel
2013,28,10119300,113700,89.0,late_excel
2013,32,18316443,196951,93.0,late_excel
2013,44,1560000,24900,62.65060240963855,late_excel
