date,region_code,daily_avg_temperature
1970-01-01,11,-2.4
1970-01-01,24,-2.5
1970-01-01,28,4.4
1970-01-01,44,-3.3499999999999996
1970-01-01,52,-0.8500000000000001
1970-01-01,53,-0.09999999999999998
1970-01-02,11,-1.85
1970-01-02,24,-1.6
1970-01-02,28,5.3
1970-01-02,44,-2.3
1970-01-02,52,1.35
1970-01-02,53,2.7250000000000005
1970-01-03,11,2.2
1970-01-03,24,-0.3000000000000002
1970-01-03,28,7.800000000000001
1970-01-03,44,-0.5999999999999999
1970-01-03,52,0.0
1970-01-03,53,4.949999999999999
1970-01-04,11,1.0
1970-01-04,24,-1.4
1970-01-04,28,5.5
1970-01-04,44,-3.3
1970-01-04,52,0.25
1970-01-04,53,2.35
1970-01-05,11,0.9
1970-01-05,24,-2.55
1970-01-05,28,4.9
1970-01-05,44,0.25
1970-01-05,52,2.25
1970-01-05,53,2.825
1970-01-06,11,-3.25
1970-01-06,24,-6.3500000000000005
1970-01-06,28,5.8
1970-01-06,44,-3.9
1970-01-06,52,-0.9500000000000002
1970-01-06,53,2.1750000000000003
1970-01-07,11,-5.4
1970-01-07,24,-5.45
1970-01-07,28,4.2
1970-01-07,44,-6.1499999999999995
1970-01-07,52,-3.3000000000000003
1970-01-07,53,0.22499999999999987
1970-01-08,11,-0.3500000000000001
1970-01-08,24,1.1
1970-01-08,28,4.3999999999999995
1970-01-08,44,-7.25
1970-01-08,52,3.8
1970-01-08,53,4.625
1970-01-09,11,7.0
1970-01-09,24,8.55
1970-01-09,28,7.1
1970-01-09,44,-1.95
1970-01-09,52,10.2
1970-01-09,53,8.45
1970-01-10,11,8.85
1970-01-10,24,11.3
1970-01-10,28,9.7
1970-01-10,44,0.5
1970-01-10,52,10.9
1970-01-10,53,9.725000000000001
1970-01-11,11,9.25
1970-01-11,24,8.9
1970-01-11,28,10.3
1970-01-11,44,0.3
1970-01-11,52,10.75
1970-01-11,53,10.35
1970-01-12,11,6.55
1970-01-12,24,7.4
1970-01-12,28,8.7
1970-01-12,44,-1.15
1970-01-12,52,8.7
1970-01-12,53,9.1
1970-01-13,11,7.5
1970-01-13,24,7.3
1970-01-13,28,8.5
1970-01-13,44,-2.15
1970-01-13,52,9.25
1970-01-13,53,9.625
1970-01-14,11,6.0
1970-01-14,24,5.3500000000000005
1970-01-14,28,9.4
1970-01-14,44,-2.15
1970-01-14,52,10.75
1970-01-14,53,9.725
1970-01-15,11,6.9
1970-01-15,24,7.65
1970-01-15,28,8.9
1970-01-15,44,-0.7
1970-01-15,52,9.75
1970-01-15,53,9.65
1970-01-16,11,5.550000000000001
1970-01-16,24,4.8
1970-01-16,28,9.0
1970-01-16,44,2.0
1970-01-16,52,6.199999999999999
1970-01-16,53,6.300000000000001
1970-01-17,11,6.2
1970-01-17,24,4.2
1970-01-17,28,7.1
1970-01-17,44,0.05
1970-01-17,52,4.9
1970-01-17,53,6.275
1970-01-18,11,3.5999999999999996
1970-01-18,24,3.05
1970-01-18,28,7.5
1970-01-18,44,1.0
1970-01-18,52,8.75
1970-01-18,53,7.725
1970-01-19,11,4.35
1970-01-19,24,5.0
1970-01-19,28,7.5
1970-01-19,44,-0.0499999999999999
1970-01-19,52,8.55
1970-01-19,53,7.925000000000001
1970-01-20,11,2.35
1970-01-20,24,4.4
1970-01-20,28,8.5
1970-01-20,44,-0.8500000000000001
1970-01-20,52,9.75
1970-01-20,53,9.425
1970-01-21,11,4.3
1970-01-21,24,6.050000000000001
1970-01-21,28,8.0
1970-01-21,44,-3.3
1970-01-21,52,7.65
1970-01-21,53,9.125
1970-01-22,11,6.85
1970-01-22,24,6.75
1970-01-22,28,9.3
1970-01-22,44,-1.7999999999999998
1970-01-22,52,7.05
1970-01-22,53,8.7
1970-01-23,11,5.1
1970-01-23,24,4.6499999999999995
1970-01-23,28,8.5
1970-01-23,44,1.2
1970-01-23,52,9.7
1970-01-23,53,9.75
1970-01-24,11,8.05
1970-01-24,24,8.05
1970-01-24,28,9.4
1970-01-24,44,2.95
1970-01-24,52,9.2
1970-01-24,53,9.625
1970-01-25,11,8.95
1970-01-25,24,8.4
1970-01-25,28,9.6
1970-01-25,44,6.15
1970-01-25,52,9.8
1970-01-25,53,9.774999999999999
1970-01-26,11,8.85
1970-01-26,24,8.7
1970-01-26,28,8.9
1970-01-26,44,5.1
1970-01-26,52,9.25
1970-01-26,53,9.15
1970-01-27,11,6.35
1970-01-27,24,6.550000000000001
1970-01-27,28,8.9
1970-01-27,44,5.800000000000001
1970-01-27,52,4.6
1970-01-27,53,6.7
1970-01-28,11,3.35
1970-01-28,24,2.4
1970-01-28,28,5.800000000000001
1970-01-28,44,0.95
1970-01-28,52,6.1499999999999995
1970-01-28,53,6.574999999999999
1970-01-29,11,4.5
1970-01-29,24,5.35
1970-01-29,28,7.699999999999999
1970-01-29,44,-0.3500000000000001
1970-01-29,52,7.9
1970-01-29,53,8.899999999999999
1970-01-30,11,7.45
1970-01-30,24,8.5
1970-01-30,28,7.9
1970-01-30,44,-1.35
1970-01-30,52,9.85
1970-01-30,53,8.8
1970-01-31,11,0.7
1970-01-31,24,1.3
1970-01-31,28,4.1
1970-01-31,44,-0.8500000000000001
1970-01-31,52,4.7
1970-01-31,53,5.824999999999999
1970-02-01,11,2.45
1970-02-01,24,2.8
1970-02-01,28,6.800000000000001
1970-02-01,44,-5.5
1970-02-01,52,7.6
1970-02-01,53,7.975
1970-02-02,11,6.5
1970-02-02,24,7.2
1970-02-02,28,9.8
