station_id,departement_code
07666,
07690,
07003,62
LFYL0,70
07222,44
07010,59
07610,64
07768,
07037,76
07255,18
07412,16
07591,05
07648,13
07260,58
07460,63
07627,09
07247,41
07386,39
07695,
07100,
07075,08
07015,59
07288,25
07295,90
07070,51
07027,14
07034,
07283,52
07486,38
07477,69
07265,89
07552,12
07173,88
07299,68
07379,71
07117,
07554,48
LFPT0,95
07761,2A
07205,56
07130,35
LFYD0,52
07017,59
07029,14
07790,2B
07647,13
07028,
07292,70
07146,27
LFGA0,68
LFOQ0,41
07120,22
07476,84
07148,91
07362,23
07499,74
07166,51
07055,60
07586,84
07749,
07335,86
LFLH0,71
91754,
07600,
07197,68
07022,50
07643,34
07747,66
LFRU0,29
07090,57
07140,28
07670,83
07530,24
LFOZ0,45
07487,38
LFSM0,25
07570,07
07607,40
07040,76
07149,94
07181,54
07354,36
07002,62
07602,64
07257,18
07201,29
07577,26
07524,47
07502,33
07656,13
07186,57
07019,
07157,95
07107,
07661,
07121,
07330,79
07230,49
07153,77
07190,67
07438,19
07203,56
07057,60
07240,37
07235,72
07677,
LFMU0,34
07688,
07428,24
07143,28
07765,2B
07005,80
07775,2B
07645,30
07200,29
07579,84
07684,06
07296,90
07314,
07216,
07116,29
07650,13
07497,73
LFRV0,56
07628,31
07315,17
07646,30
07632,81
07361,23
07106,29
07306,85
07118,22
07593,05
07675,83
07780,2A
LFSG0,88
LFAC0,62
07475,42
07046,76
07168,10
LFLP0,74
07635,11
07622,32
07033,76
07641,34
07540,82
07560,30
07558,12
07147,91
07179,55
LFBU0,16
07072,51
07603,40
07549,15
KQIH0,59
LFQA0,51
07791,2B
07471,43
07020,50
07139,61
07385,71
07653,13
LFOV0,53
07785,2B
LFNB0,48
07491,73
07103,
99854,67
LFLU0,26
07500,
LFAQ0,80
07481,69
07311,
07770,
07093,57
07680,83
91753,
07482,01
07434,87
07031,14
07061,02
07145,78
07374,03
07510,33
07638,34
07150,95
07038,27
07754,2B
07249,45
07133,
07125,35
07631,31
07678,
07059,80
07589,30
07657,84
07480,69
07503,40
07588,04
07217,44
LFFS0,51
07024,50
LFBR0,31
07109,29
LFJR0,49
07207,56
07555,12
07156,94
07169,52
07753,2B
07300,85
07667,83
07276,21
07563,84
07280,21
07110,29
07053,95
07535,46
07180,54
07630,31
07649,13
07517,40
07621,65
