region,pos,label,metric,mean_idx,std_idx,cv,spearman,pearson,p_value,sig,in_crit
11,0,Oct (T-1),MeanT,12.86,1.58,0.123,-0.035,0.026,0.8695,,False
11,0,Oct (T-1),HDD,161.46,47.55,0.295,0.052,-0.025,0.8067,,False
11,0,Oct (T-1),CDD,2.19,3.33,1.524,0.201,0.035,0.3344,,False
11,1,Nov (T-1),MeanT,8.04,1.31,0.163,0.006,-0.286,0.9767,,False
11,1,Nov (T-1),HDD,298.77,39.24,0.131,-0.006,0.286,0.9767,,False
11,1,Nov (T-1),CDD,0.0,0.0,,,,,,False
11,2,Dec (T-1),MeanT,5.26,1.84,0.349,-0.232,-0.387,0.2638,,False
11,2,Dec (T-1),HDD,394.9,56.92,0.144,0.232,0.387,0.2638,,False
11,2,Dec (T-1),CDD,0.0,0.0,,,,,,False
11,3,Jan (T),MeanT,4.54,1.78,0.392,-0.208,-0.138,0.3173,,False
11,3,Jan (T),HDD,417.31,55.12,0.132,0.208,0.138,0.3173,,False
11,3,Jan (T),CDD,0.0,0.0,,,,,,False
11,4,Feb (T),MeanT,5.52,2.1,0.381,-0.001,-0.072,0.9971,,False
11,4,Feb (T),HDD,352.86,58.61,0.166,-0.005,0.048,0.9825,,False
11,4,Feb (T),CDD,0.0,0.0,,,,,,False
11,5,Mar (T),MeanT,8.18,1.36,0.166,-0.085,0.009,0.6876,,False
11,5,Mar (T),HDD,304.37,42.15,0.138,0.085,-0.009,0.6876,,False
11,5,Mar (T),CDD,0.0,0.0,,,,,,False
11,6,Apr (T),MeanT,11.18,1.61,0.144,-0.045,0.007,0.8294,,True
11,6,Apr (T),HDD,205.68,46.64,0.227,0.045,-0.012,0.8294,,True
11,6,Apr (T),CDD,1.05,2.86,2.721,-0.147,-0.064,0.4824,,True
11,7,May (T),MeanT,14.53,1.27,0.087,-0.409,-0.174,0.0422,*,True
11,7,May (T),HDD,115.86,34.74,0.3,0.416,0.199,0.0385,*,True
11,7,May (T),CDD,8.43,7.96,0.945,-0.288,0.01,0.1632,,True
11,8,Jun (T),MeanT,18.2,1.17,0.064,0.128,0.116,0.543,,True
11,8,Jun (T),HDD,36.44,16.86,0.463,-0.095,-0.098,0.6502,,True
11,8,Jun (T),CDD,42.56,21.48,0.505,0.119,0.113,0.5703,,True
11,9,Jul (T),MeanT,20.01,1.55,0.078,0.125,0.015,0.5528,,False
11,9,Jul (T),HDD,13.24,11.48,0.867,-0.069,0.008,0.7423,,False
11,9,Jul (T),CDD,75.45,39.0,0.517,0.096,0.021,0.6475,,False
24,0,Oct (T-1),MeanT,12.89,1.63,0.126,0.078,0.16,0.7093,,False
24,0,Oct (T-1),HDD,160.68,49.19,0.306,-0.062,-0.152,0.7673,,False
24,0,Oct (T-1),CDD,2.24,3.1,1.385,0.305,0.198,0.1384,,False
24,1,Nov (T-1),MeanT,7.89,1.49,0.189,-0.151,-0.334,0.4719,,False
24,1,Nov (T-1),HDD,303.21,44.69,0.147,0.151,0.334,0.4719,,False
24,1,Nov (T-1),CDD,0.0,0.0,,,,,,False
24,2,Dec (T-1),MeanT,5.12,1.81,0.353,-0.198,-0.361,0.3435,,False
24,2,Dec (T-1),HDD,399.42,56.01,0.14,0.198,0.361,0.3435,,False
24,2,Dec (T-1),CDD,0.0,0.0,,,,,,False
24,3,Jan (T),MeanT,4.47,1.76,0.393,-0.042,-0.058,0.8409,,False
24,3,Jan (T),HDD,419.3,54.45,0.13,0.042,0.058,0.8409,,False
24,3,Jan (T),CDD,0.0,0.0,,,,,,False
24,4,Feb (T),MeanT,5.36,2.19,0.41,-0.059,-0.09,0.7785,,False
24,4,Feb (T),HDD,357.31,61.64,0.172,0.044,0.071,0.8351,,False
24,4,Feb (T),CDD,0.0,0.0,,,,,,False
24,5,Mar (T),MeanT,8.1,1.18,0.146,0.039,0.114,0.8523,,False
24,5,Mar (T),HDD,306.94,36.57,0.119,-0.039,-0.114,0.8523,,False
24,5,Mar (T),CDD,0.0,0.0,,,,,,False
24,6,Apr (T),MeanT,10.87,1.48,0.136,-0.132,-0.011,0.5284,,True
24,6,Apr (T),HDD,214.03,44.11,0.206,0.132,0.011,0.5284,,True
24,6,Apr (T),CDD,0.23,0.83,3.641,-0.308,0.012,0.1336,,True
24,7,May (T),MeanT,14.3,1.25,0.087,-0.285,-0.06,0.1679,,True
24,7,May (T),HDD,120.9,34.9,0.289,0.284,0.073,0.1691,,True
24,7,May (T),CDD,6.24,6.72,1.077,-0.236,0.031,0.257,,True
24,8,Jun (T),MeanT,18.28,1.29,0.07,0.197,0.138,0.3454,,True
24,8,Jun (T),HDD,36.28,17.49,0.482,-0.164,-0.189,0.4339,,True
24,8,Jun (T),CDD,44.65,24.73,0.554,0.155,0.081,0.4583,,True
24,9,Jul (T),MeanT,20.0,1.5,0.075,-0.058,-0.036,0.7841,,False
24,9,Jul (T),HDD,12.49,10.24,0.82,0.089,0.092,0.6714,,False
24,9,Jul (T),CDD,74.64,38.12,0.511,-0.042,-0.019,0.8409,,False
28,0,Oct (T-1),MeanT,12.81,1.36,0.106,-0.124,-0.155,0.5553,,False
28,0,Oct (T-1),HDD,161.53,41.58,0.257,0.138,0.156,0.5092,,False
28,0,Oct (T-1),CDD,0.73,1.56,2.118,0.322,-0.028,0.1163,,False
28,1,Nov (T-1),MeanT,8.85,1.06,0.119,-0.239,-0.385,0.2494,,False
28,1,Nov (T-1),HDD,274.57,31.7,0.115,0.239,0.385,0.2494,,False
28,1,Nov (T-1),CDD,0.0,0.0,,,,,,False
28,2,Dec (T-1),MeanT,6.27,1.65,0.264,-0.377,-0.526,0.0633,.,False
28,2,Dec (T-1),HDD,363.64,51.3,0.141,0.377,0.526,0.0633,.,False
28,2,Dec (T-1),CDD,0.0,0.0,,,,,,False
28,3,Jan (T),MeanT,5.47,1.46,0.266,-0.253,-0.314,0.2222,,False
28,3,Jan (T),HDD,388.49,45.17,0.116,0.253,0.314,0.2222,,False
28,3,Jan (T),CDD,0.0,0.0,,,,,,False
28,4,Feb (T),MeanT,5.99,1.8,0.301,-0.088,-0.196,0.6768,,False
28,4,Feb (T),HDD,339.58,50.23,0.148,0.1,0.169,0.6344,,False
28,4,Feb (T),CDD,0.0,0.0,,,,,,False
28,5,Mar (T),MeanT,7.82,1.2,0.153,0.143,0.14,0.4951,,False
28,5,Mar (T),HDD,315.45,37.14,0.118,-0.143,-0.14,0.4951,,False
28,5,Mar (T),CDD,0.0,0.0,,,,,,False
28,6,Apr (T),MeanT,10.09,1.27,0.126,0.056,0.072,0.7898,,True
28,6,Apr (T),HDD,237.33,38.09,0.161,-0.056,-0.072,0.7898,,True
28,6,Apr (T),CDD,0.02,0.1,,-0.028,-0.012,0.8932,,True
28,7,May (T),MeanT,13.01,0.98,0.075,-0.106,-0.064,0.6135,,True
28,7,May (T),HDD,155.95,29.76,0.191,0.093,0.084,0.6581,,True
28,7,May (T),CDD,1.36,2.16,1.596,0.157,0.244,0.4548,,True
28,8,Jun (T),MeanT,16.16,0.83,0.052,0.065,0.157,0.759,,True
28,8,Jun (T),HDD,66.73,19.58,0.293,-0.041,-0.072,0.8466,,True
28,8,Jun (T),CDD,11.47,8.77,0.765,0.178,0.286,0.3955,,True
28,9,Jul (T),MeanT,18.01,1.11,0.062,0.156,0.095,0.456,,False
28,9,Jul (T),HDD,27.81,16.13,0.58,-0.075,-0.038,0.723,,False
28,9,Jul (T),CDD,28.26,19.92,0.705,0.165,0.133,0.4317,,False
44,0,Oct (T-1),MeanT,11.79,1.68,0.142,0.101,0.106,0.6317,,False
44,0,Oct (T-1),HDD,193.41,51.41,0.266,-0.106,-0.104,0.6135,,False
44,0,Oct (T-1),CDD,0.84,1.39,1.649,0.083,0.107,0.6924,,False
44,1,Nov (T-1),MeanT,6.68,1.44,0.215,-0.268,-0.347,0.1958,,False
44,1,Nov (T-1),HDD,339.51,43.05,0.127,0.268,0.347,0.1958,,False
44,1,Nov (T-1),CDD,0.0,0.0,,,,,,False
44,2,Dec (T-1),MeanT,3.75,1.88,0.501,-0.357,-0.418,0.0799,.,False
44,2,Dec (T-1),HDD,441.84,58.25,0.132,0.357,0.418,0.0799,.,False
44,2,Dec (T-1),CDD,0.0,0.0,,,,,,False
44,3,Jan (T),MeanT,2.79,1.98,0.709,-0.106,-0.134,0.6135,,False
