region,calibration_year,calibration_end,prediction_year,train_start,train_end,prediction_start,prediction_end,n_calibration_rows,n_prediction_rows,fit_MAE,fit_MAPE,fit_Bias,fit_R2,fit_RMSE,pred_year_MAE,pred_year_MAPE,pred_year_Bias,pred_year_R2,pred_year_RMSE,export_path
11,2014,2014-12-31,2015,1975-01-01,2014-12-31,2015-01-01,2015-12-31,14600,365,1.5943772027824086,0.16314387672546118,-0.03699662620546371,0.6132420494400215,1.99619413471272,1.7576767887910374,0.16242713014662669,0.14000448459373183,0.44355954075309345,2.205648141290098,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2014_predict_2015.pkl
11,2015,2015-12-31,2016,1975-01-01,2015-12-31,2016-01-01,2016-12-31,14965,365,1.5910165203186764,0.16182431672690795,-0.06204811749492007,0.6122103155042248,1.9961787076494342,1.5885168713182123,0.14491479881463104,0.08903574931724549,0.5535209894506046,1.9672283934407415,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2015_predict_2016.pkl
11,2016,2016-12-31,2017,1975-01-01,2016-12-31,2017-01-01,2017-12-31,15330,365,1.5947388291800484,0.1604500236763515,0.05725420671441649,0.6119169609475097,1.994622275400562,1.7331643603832674,0.15315860737540615,0.2683310040250819,0.5652901540861721,2.1059951295546364,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2016_predict_2017.pkl
11,2017,2017-12-31,2018,1975-01-01,2017-12-31,2018-01-01,2018-12-31,15695,365,1.6077661117876214,0.1634237120122844,0.01622505710048407,0.6078920186023398,2.0067246920741555,1.6359671539193712,0.15124375086025904,0.15416434691697511,0.6501457159248131,2.0172626330818733,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2017_predict_2018.pkl
11,2018,2018-12-31,2019,1975-01-01,2018-12-31,2019-01-01,2019-12-31,16060,365,1.6096375524051931,0.16325184211385538,-0.03755187074508981,0.6071245053274972,2.0126516423663015,1.5463835974554931,0.1433789955171301,0.0954775791038971,0.5579209476568272,1.95901543937164,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2018_predict_2019.pkl
11,2019,2019-12-31,2020,1975-01-01,2019-12-31,2020-01-01,2020-12-31,16425,365,1.5953977458288229,0.1630811900690091,-0.07779852402589436,0.6131691619504975,1.9953181610117845,1.688023453947232,0.15263079381032704,0.009001371951448857,0.506721839156432,2.1426256173367237,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2019_predict_2020.pkl
11,2020,2020-12-31,2021,1975-01-01,2020-12-31,2021-01-01,2021-12-31,16790,365,1.59414829612424,0.1619005523545423,-0.035326628930014516,0.6135500302719248,1.9934791343302827,1.4621290343245215,0.1309195630720703,0.11526347739753912,0.6145719002950122,1.8643153174664644,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2020_predict_2021.pkl
11,2021,2021-12-31,2022,1975-01-01,2021-12-31,2022-01-01,2022-12-31,17155,365,1.5920885425178595,0.15982669809625183,0.03874465910730658,0.6135124566015537,1.9924644009749692,1.5105645613675553,0.13542576836021988,0.20723889374946236,0.6446069840394724,1.9200308934091144,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2021_predict_2022.pkl
11,2022,2022-12-31,2023,1975-01-01,2022-12-31,2023-01-01,2023-12-31,17520,365,1.5922936618306185,0.160784575300465,-0.05802547145670615,0.6128249230605256,1.996328964296757,1.6028440114313205,0.1394149431175741,0.07579265033853066,0.5383849964551345,1.9992252229919285,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2022_predict_2023.pkl
11,2023,2023-12-31,2024,1975-01-01,2023-12-31,2024-01-01,2024-12-30,17885,364,1.5950859729373998,0.15913486712764102,0.05354601833509068,0.6117515957989179,1.9969413144546566,1.6003574174283064,0.1385113463974079,0.25156868169149343,0.5441344732547082,2.020569935655012,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_11_calib_2023_predict_2024.pkl
