,knn__algorithm,knn__leaf_size,knn__n_neighbors,knn__weights,model,region,fold
11_fold1,auto,1,50,distance,paper_knn,11,1
11_fold2,auto,1,50,distance,paper_knn,11,2
11_fold3,auto,1,50,distance,paper_knn,11,3
11_fold4,auto,1,50,distance,paper_knn,11,4
11_fold5,auto,1,50,distance,paper_knn,11,5
24_fold1,auto,1,50,distance,paper_knn,24,1
24_fold2,auto,1,50,distance,paper_knn,24,2
24_fold3,auto,1,50,distance,paper_knn,24,3
24_fold4,auto,1,50,distance,paper_knn,24,4
24_fold5,auto,1,50,distance,paper_knn,24,5
27_fold1,auto,1,50,distance,paper_knn,27,1
27_fold2,auto,1,50,distance,paper_knn,27,2
27_fold3,auto,1,50,distance,paper_knn,27,3
27_fold4,auto,1,50,distance,paper_knn,27,4
27_fold5,ball_tree,1,50,distance,paper_knn,27,5
28_fold1,auto,1,50,distance,paper_knn,28,1
28_fold2,auto,1,50,distance,paper_knn,28,2
28_fold3,auto,1,50,distance,paper_knn,28,3
28_fold4,auto,1,50,distance,paper_knn,28,4
28_fold5,auto,1,50,distance,paper_knn,28,5
32_fold1,ball_tree,1,15,distance,paper_knn,32,1
32_fold2,auto,1,15,distance,paper_knn,32,2
32_fold3,auto,1,50,distance,paper_knn,32,3
32_fold4,auto,1,50,distance,paper_knn,32,4
32_fold5,auto,1,50,distance,paper_knn,32,5
44_fold1,ball_tree,1,15,distance,paper_knn,44,1
44_fold2,auto,1,15,distance,paper_knn,44,2
44_fold3,auto,1,15,distance,paper_knn,44,3
44_fold4,auto,1,15,distance,paper_knn,44,4
44_fold5,auto,1,15,distance,paper_knn,44,5
52_fold1,auto,1,50,distance,paper_knn,52,1
52_fold2,auto,1,50,distance,paper_knn,52,2
52_fold3,auto,1,50,distance,paper_knn,52,3
52_fold4,auto,1,50,distance,paper_knn,52,4
52_fold5,auto,1,50,distance,paper_knn,52,5
53_fold1,auto,1,50,distance,paper_knn,53,1
53_fold2,ball_tree,1,50,distance,paper_knn,53,2
53_fold3,auto,1,50,distance,paper_knn,53,3
53_fold4,auto,1,50,distance,paper_knn,53,4
53_fold5,auto,1,50,distance,paper_knn,53,5
