,rf__n_estimators,rf__min_samples_split,rf__min_samples_leaf,rf__max_features,rf__max_depth,rf__criterion,model,region,fold
11_fold1,400,10,10,0.5,20,squared_error,paper_rf,11,1
11_fold2,100,5,5,0.5,8,squared_error,paper_rf,11,2
11_fold3,400,10,10,0.5,20,squared_error,paper_rf,11,3
11_fold4,100,10,10,0.5,8,squared_error,paper_rf,11,4
11_fold5,200,10,10,0.5,12,squared_error,paper_rf,11,5
24_fold1,200,10,10,0.5,12,squared_error,paper_rf,24,1
24_fold2,400,10,10,0.5,20,squared_error,paper_rf,24,2
24_fold3,400,10,10,0.5,20,squared_error,paper_rf,24,3
24_fold4,200,10,10,0.5,12,squared_error,paper_rf,24,4
24_fold5,400,10,10,0.5,20,squared_error,paper_rf,24,5
27_fold1,400,20,10,0.3,20,squared_error,paper_rf,27,1
27_fold2,400,20,10,0.3,20,squared_error,paper_rf,27,2
27_fold3,400,20,10,0.3,20,squared_error,paper_rf,27,3
27_fold4,400,20,5,0.3,20,squared_error,paper_rf,27,4
27_fold5,400,20,5,0.3,20,squared_error,paper_rf,27,5
28_fold1,200,10,10,0.5,12,squared_error,paper_rf,28,1
28_fold2,100,10,10,0.5,8,squared_error,paper_rf,28,2
28_fold3,200,10,10,0.5,12,squared_error,paper_rf,28,3
28_fold4,100,10,10,0.5,8,squared_error,paper_rf,28,4
28_fold5,200,10,10,0.5,12,squared_error,paper_rf,28,5
32_fold1,400,10,1,0.5,12,squared_error,paper_rf,32,1
32_fold2,400,10,10,0.5,20,squared_error,paper_rf,32,2
32_fold3,100,10,10,0.5,8,squared_error,paper_rf,32,3
32_fold4,100,5,5,0.5,8,squared_error,paper_rf,32,4
32_fold5,400,10,10,0.5,20,squared_error,paper_rf,32,5
44_fold1,100,10,10,0.5,8,squared_error,paper_rf,44,1
44_fold2,100,10,10,0.5,8,squared_error,paper_rf,44,2
44_fold3,100,10,10,0.5,8,squared_error,paper_rf,44,3
44_fold4,100,10,10,0.5,8,squared_error,paper_rf,44,4
44_fold5,100,10,5,0.5,12,squared_error,paper_rf,44,5
52_fold1,100,10,10,0.5,8,squared_error,paper_rf,52,1
52_fold2,100,10,10,0.5,8,squared_error,paper_rf,52,2
52_fold3,400,10,10,0.5,20,squared_error,paper_rf,52,3
52_fold4,400,10,10,0.5,20,squared_error,paper_rf,52,4
52_fold5,400,10,10,0.5,20,squared_error,paper_rf,52,5
53_fold1,400,10,10,0.5,20,squared_error,paper_rf,53,1
53_fold2,400,10,10,0.5,20,squared_error,paper_rf,53,2
53_fold3,200,10,10,0.5,12,squared_error,paper_rf,53,3
53_fold4,400,10,10,0.5,20,squared_error,paper_rf,53,4
53_fold5,200,10,10,0.5,12,squared_error,paper_rf,53,5
