model,region,mape,r2,horizon,fold
paper_rf,11,0.1506310001322382,0.6061596299855243,1,1
paper_rf,11,0.13394223520840995,0.5943638772617512,1,2
paper_rf,11,0.13855913836471742,0.5551010236191847,1,3
paper_rf,11,0.14131118706664395,0.5359562811994283,1,4
paper_rf,11,0.15440661413494014,0.6202329987199662,1,5
paper_rf,24,0.1415271428841623,0.6218659015067483,1,1
paper_rf,24,0.132506409898184,0.5955598196636172,1,2
paper_rf,24,0.13758797416667065,0.510228089563938,1,3
paper_rf,24,0.14603259955358505,0.5096652445497633,1,4
paper_rf,24,0.15154429270075903,0.6115770434315708,1,5
paper_rf,27,0.17046795638844314,0.6009101732562606,1,1
paper_rf,27,0.15979118018163918,0.5929206652656385,1,2
paper_rf,27,0.14826833531156544,0.5811050159090159,1,3
paper_rf,27,0.16556821977337646,0.5273859702699497,1,4
paper_rf,27,0.1786618964820754,0.6146239518816443,1,5
paper_rf,28,0.1280724569940259,0.5698344375186728,1,1
paper_rf,28,0.1098631416430366,0.5898689423888102,1,2
paper_rf,28,0.11111486150967184,0.574366851393594,1,3
paper_rf,28,0.11692375655040421,0.49977660495071485,1,4
paper_rf,28,0.12012013842041704,0.609997688655995,1,5
paper_rf,32,0.1473001632845878,0.5908842317021299,1,1
paper_rf,32,0.1311237477848145,0.5659578550531152,1,2
paper_rf,32,0.14139356772195572,0.5734838630196706,1,3
paper_rf,32,0.14013779760329215,0.5225792648927902,1,4
paper_rf,32,0.15226891954165728,0.6227974225619206,1,5
paper_rf,44,0.14995451163793122,0.6656554911208483,1,1
paper_rf,44,0.1398988458726194,0.6637938395441085,1,2
paper_rf,44,0.14141196048251417,0.6151644694648634,1,3
paper_rf,44,0.1477250622464121,0.579157155447233,1,4
paper_rf,44,0.14402685104264604,0.6942352383423626,1,5
paper_rf,52,0.1253713490745122,0.623076050516445,1,1
paper_rf,52,0.1149285361023347,0.5829599820355595,1,2
paper_rf,52,0.11269966518456569,0.5356349027846847,1,3
paper_rf,52,0.11936356408569836,0.5622016519488,1,4
paper_rf,52,0.1270427092270412,0.6092379264873631,1,5
paper_rf,53,0.10469958623549909,0.5707100376028976,1,1
paper_rf,53,0.08759949426334801,0.6238232397920405,1,2
paper_rf,53,0.09000169386278827,0.5048614098467975,1,3
paper_rf,53,0.09415228475021686,0.5157233994120379,1,4
paper_rf,53,0.09629387848552415,0.5935108470894714,1,5
