,svr__C,svr__degree,svr__epsilon,svr__gamma,svr__kernel,svr__tol,model,region,fold
11_fold1,1.0,1,0.2,scale,linear,0.0001,paper_svm,11,1
11_fold2,1.0,1,0.1,scale,linear,0.0001,paper_svm,11,2
11_fold3,1.0,1,0.1,scale,linear,0.0001,paper_svm,11,3
11_fold4,1.0,1,0.1,scale,linear,0.0005,paper_svm,11,4
11_fold5,1.0,1,0.1,scale,linear,0.0001,paper_svm,11,5
24_fold1,1.0,1,1.0,scale,linear,0.0001,paper_svm,24,1
24_fold2,1.0,1,1.0,scale,linear,0.0001,paper_svm,24,2
24_fold3,1.0,1,1.0,scale,linear,0.0001,paper_svm,24,3
24_fold4,1.0,1,1.0,scale,linear,0.0005,paper_svm,24,4
24_fold5,1.0,1,1.0,scale,linear,0.0001,paper_svm,24,5
27_fold1,1.0,1,0.1,scale,poly,0.0001,paper_svm,27,1
27_fold2,1.0,1,0.1,scale,linear,0.0005,paper_svm,27,2
27_fold3,1.0,1,0.1,scale,linear,0.0001,paper_svm,27,3
27_fold4,1.0,1,0.1,scale,poly,0.0005,paper_svm,27,4
27_fold5,1.0,1,0.1,scale,linear,0.0005,paper_svm,27,5
28_fold1,1.0,1,1.0,scale,linear,0.0001,paper_svm,28,1
28_fold2,1.0,1,0.7,scale,poly,0.0005,paper_svm,28,2
28_fold3,1.0,1,0.2,scale,linear,0.0001,paper_svm,28,3
28_fold4,1.0,1,0.2,scale,poly,0.0001,paper_svm,28,4
28_fold5,1.0,1,0.7,scale,poly,0.0001,paper_svm,28,5
32_fold1,1.0,1,0.1,scale,linear,0.0005,paper_svm,32,1
32_fold2,1.0,1,0.1,scale,linear,0.0001,paper_svm,32,2
32_fold3,1.0,1,0.1,scale,linear,0.0001,paper_svm,32,3
32_fold4,1.0,1,0.1,scale,linear,0.0001,paper_svm,32,4
32_fold5,1.0,1,0.1,scale,poly,0.0005,paper_svm,32,5
44_fold1,1.0,1,0.2,scale,linear,0.0005,paper_svm,44,1
44_fold2,1.0,1,0.2,scale,linear,0.0005,paper_svm,44,2
44_fold3,1.0,1,0.2,scale,linear,0.0005,paper_svm,44,3
44_fold4,1.0,1,0.2,scale,linear,0.0001,paper_svm,44,4
44_fold5,1.0,1,0.2,scale,linear,0.0001,paper_svm,44,5
52_fold1,1.0,1,0.7,scale,linear,0.0005,paper_svm,52,1
52_fold2,1.0,1,0.7,scale,poly,0.0005,paper_svm,52,2
52_fold3,1.0,1,0.7,scale,poly,0.0005,paper_svm,52,3
52_fold4,1.0,1,0.7,scale,poly,0.0001,paper_svm,52,4
52_fold5,1.0,1,0.7,scale,poly,0.0005,paper_svm,52,5
53_fold1,1.0,1,0.1,scale,poly,0.0001,paper_svm,53,1
53_fold2,1.0,1,0.1,scale,linear,0.0005,paper_svm,53,2
53_fold3,1.0,1,0.1,scale,linear,0.0005,paper_svm,53,3
53_fold4,1.0,1,0.2,scale,linear,0.0001,paper_svm,53,4
53_fold5,1.0,1,0.1,auto,poly,0.0001,paper_svm,53,5
