,mlp__activation,mlp__early_stopping,mlp__hidden_layer_sizes,mlp__learning_rate,mlp__learning_rate_init,mlp__max_iter,mlp__tol,mlp__validation_fraction,wavelet__include_original,wavelet__n_wavelets,wavelet__wavelet,model,region,fold
11_fold1,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,11,1
11_fold2,relu,True,"(25, 10, 5)",constant,0.005,2000,0.0005,0.2,True,1,morlet,wavelet_fnn,11,2
11_fold3,relu,True,"(25, 10)",invscaling,0.005,2000,0.0005,0.2,True,2,mexican_hat,wavelet_fnn,11,3
11_fold4,relu,True,"(25, 10, 5)",invscaling,0.001,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,11,4
11_fold5,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0001,0.2,True,1,morlet,wavelet_fnn,11,5
24_fold1,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0001,0.2,True,1,morlet,wavelet_fnn,24,1
24_fold2,relu,True,"(25, 10)",adaptive,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,24,2
24_fold3,relu,True,"(25, 10)",invscaling,0.005,2000,0.0005,0.2,True,2,mexican_hat,wavelet_fnn,24,3
24_fold4,relu,True,"(25, 10, 5)",adaptive,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,24,4
24_fold5,relu,True,"(25, 10)",constant,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,24,5
27_fold1,relu,True,"(25, 10)",invscaling,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,27,1
27_fold2,relu,True,"(25, 10)",adaptive,0.005,2000,0.0005,0.2,True,2,mexican_hat,wavelet_fnn,27,2
27_fold3,relu,True,"(25, 10, 5)",adaptive,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,27,3
27_fold4,relu,True,"(25, 10)",invscaling,0.005,2000,0.0005,0.2,True,2,mexican_hat,wavelet_fnn,27,4
27_fold5,relu,True,"(25, 10, 5)",adaptive,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,27,5
28_fold1,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,28,1
28_fold2,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,28,2
28_fold3,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,28,3
28_fold4,relu,True,"(25, 10, 5)",constant,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,28,4
28_fold5,relu,True,"(25, 10, 5)",adaptive,0.001,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,28,5
32_fold1,relu,True,"(25, 10, 5)",adaptive,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,32,1
32_fold2,relu,True,"(25, 10)",constant,0.005,2000,0.0005,0.2,True,2,mexican_hat,wavelet_fnn,32,2
32_fold3,relu,True,"(25, 10, 5)",invscaling,0.001,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,32,3
32_fold4,relu,True,"(25, 10, 5)",constant,0.001,2000,0.0005,0.2,True,1,morlet,wavelet_fnn,32,4
32_fold5,relu,True,"(25, 10, 5)",invscaling,0.001,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,32,5
44_fold1,relu,True,"(50,)",adaptive,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,44,1
44_fold2,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,44,2
44_fold3,relu,True,"(25, 10)",invscaling,0.001,2000,0.0001,0.2,True,2,morlet,wavelet_fnn,44,3
44_fold4,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,44,4
44_fold5,relu,True,"(25, 10)",invscaling,0.005,2000,0.0001,0.2,True,1,morlet,wavelet_fnn,44,5
52_fold1,relu,True,"(25, 10, 5)",constant,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,52,1
52_fold2,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,52,2
52_fold3,relu,True,"(50,)",adaptive,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,52,3
52_fold4,relu,True,"(25, 10, 5)",adaptive,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,52,4
52_fold5,relu,True,"(25, 10, 5)",invscaling,0.001,2000,0.0005,0.2,True,1,morlet,wavelet_fnn,52,5
53_fold1,relu,True,"(25, 10)",constant,0.005,2000,0.0001,0.2,True,1,mexican_hat,wavelet_fnn,53,1
53_fold2,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,53,2
53_fold3,relu,True,"(25, 10)",invscaling,0.005,2000,0.0001,0.2,True,2,mexican_hat,wavelet_fnn,53,3
53_fold4,relu,True,"(25, 10, 5)",invscaling,0.005,2000,0.0005,0.2,True,1,mexican_hat,wavelet_fnn,53,4
53_fold5,relu,True,"(25, 10)",constant,0.005,2000,0.0005,0.2,True,1,morlet,wavelet_fnn,53,5
