model,region,mape,r2,horizon,fold
wavelet_fnn,11,0.1544097678116253,0.47907625221015493,1,1
wavelet_fnn,11,0.1363414848249118,0.5829413269563571,1,2
wavelet_fnn,11,0.1411790032720506,0.5833649706475033,1,3
wavelet_fnn,11,0.1410735433995839,0.5197555208037157,1,4
wavelet_fnn,11,0.14523450859588855,0.5012812071436175,1,5
wavelet_fnn,24,0.15147707052096082,0.47635001895337037,1,1
wavelet_fnn,24,0.14093759099079556,0.5668503679181619,1,2
wavelet_fnn,24,0.14744417239743654,0.5343544157837331,1,3
wavelet_fnn,24,0.13529964644960304,0.5609514495995908,1,4
wavelet_fnn,24,0.1439090590659142,0.4999668550475994,1,5
wavelet_fnn,27,0.1612273193884047,0.49062521630354494,1,1
wavelet_fnn,27,0.16244397896192994,0.49517492884771197,1,2
wavelet_fnn,27,0.1426206099603909,0.6519911712381943,1,3
wavelet_fnn,27,0.14963896456166043,0.5365991566794976,1,4
wavelet_fnn,27,0.14505655976826698,0.5506513900198204,1,5
wavelet_fnn,28,0.13289818680608162,0.4927019884609949,1,1
wavelet_fnn,28,0.12179772269487599,0.5387834904839465,1,2
wavelet_fnn,28,0.11942044780036767,0.5442304032356253,1,3
wavelet_fnn,28,0.12069249402869578,0.4731349361942687,1,4
wavelet_fnn,28,0.12015584900702787,0.5221014565545412,1,5
wavelet_fnn,32,0.16355975884052895,0.5034386582520995,1,1
wavelet_fnn,32,0.15008912683929487,0.4959147614995748,1,2
wavelet_fnn,32,0.14574365927053762,0.5652212926952942,1,3
wavelet_fnn,32,0.14044616444445987,0.5463526291713254,1,4
wavelet_fnn,32,0.1321860189657435,0.559007086687783,1,5
wavelet_fnn,44,0.14959078426926553,0.5237127190680153,1,1
wavelet_fnn,44,0.13260807184172255,0.6298289966537869,1,2
wavelet_fnn,44,0.13953280625196174,0.6359442189387381,1,3
wavelet_fnn,44,0.1290961397529967,0.6264911483492304,1,4
wavelet_fnn,44,0.1373594444020288,0.5932217720491231,1,5
wavelet_fnn,52,0.13239228177873474,0.49447760268331453,1,1
wavelet_fnn,52,0.12744353228466154,0.5717839013034363,1,2
wavelet_fnn,52,0.1333487967046375,0.5895881099517905,1,3
wavelet_fnn,52,0.11547006162524685,0.5720748758929264,1,4
wavelet_fnn,52,0.12545843246666705,0.46306272648142943,1,5
wavelet_fnn,53,0.10590228496529841,0.4831211273045416,1,1
wavelet_fnn,53,0.10782737586732,0.5830580260877631,1,2
wavelet_fnn,53,0.112622686130973,0.5150257195849659,1,3
wavelet_fnn,53,0.09423059457159769,0.4862162984046745,1,4
wavelet_fnn,53,0.1033679659968269,0.4612504404450609,1,5
