region,horizon,model,method,n_paths,mu_C,sigma_C,strike_ATM,price,payoff_mean,payoff_std,payoff_skew,payoff_kurt,var5
11,90day,HBA,block_bootstrap_unified,10000,32.61,17.98,25.82,214.41,214.94,281.87,1.541,2.277,0.0
11,90day,Alaton,block_bootstrap_unified,10000,24.1,14.81,25.82,103.31,103.57,189.45,2.484,8.033,0.0
11,90day,Benth,block_bootstrap_unified,10000,24.5,14.71,25.82,105.28,105.54,190.55,2.366,6.445,0.0
11,90day,XGB,block_bootstrap_unified,10000,29.13,16.24,25.82,161.0,161.4,239.77,1.81,3.368,0.0
11,90day,WaveletFNN,block_bootstrap_unified,10000,27.54,16.61,25.82,148.56,148.93,234.58,1.914,3.699,0.0
11,90day,LSTM,block_bootstrap_unified,10000,26.23,13.65,25.82,113.15,113.43,181.49,1.943,3.951,0.0
11,90day,FeedForwardNN,block_bootstrap_unified,10000,31.19,17.31,25.82,191.19,191.66,267.69,1.664,2.633,0.0
11,mid90day,HBA,block_bootstrap_unified,10000,818.56,65.8,820.52,503.97,507.09,755.93,1.664,2.418,0.0
11,mid90day,Alaton,block_bootstrap_unified,10000,822.24,66.44,820.52,545.05,548.42,792.0,1.594,2.138,0.0
11,mid90day,Benth,block_bootstrap_unified,10000,820.21,66.34,820.52,523.22,526.45,776.11,1.671,2.547,0.0
11,mid90day,XGB,block_bootstrap_unified,10000,815.78,65.57,820.52,476.84,479.79,732.86,1.706,2.564,0.0
11,mid90day,WaveletFNN,block_bootstrap_unified,10000,839.09,72.11,820.52,775.11,779.9,972.34,1.321,1.365,0.0
11,mid90day,LSTM,block_bootstrap_unified,10000,818.43,59.36,820.52,450.49,453.28,672.2,1.648,2.42,0.0
11,mid90day,FeedForwardNN,block_bootstrap_unified,10000,840.79,63.71,820.52,731.81,736.34,881.59,1.258,1.158,0.0
24,90day,HBA,block_bootstrap_unified,10000,32.97,17.68,24.36,234.28,234.86,289.29,1.455,2.039,0.0
24,90day,Alaton,block_bootstrap_unified,10000,22.45,13.81,24.36,94.57,94.8,173.13,2.286,5.69,0.0
24,90day,Benth,block_bootstrap_unified,10000,22.31,13.74,24.36,92.8,93.03,171.29,2.381,6.612,0.0
24,90day,XGB,block_bootstrap_unified,10000,29.27,16.33,24.36,179.67,180.12,249.44,1.663,2.776,0.0
24,90day,WaveletFNN,block_bootstrap_unified,10000,34.28,19.52,24.36,262.73,263.38,324.78,1.482,2.235,0.0
24,90day,LSTM,block_bootstrap_unified,10000,23.69,13.17,24.36,98.76,99.01,172.71,2.237,5.66,0.0
24,90day,FeedForwardNN,block_bootstrap_unified,10000,25.73,13.63,24.36,120.68,120.98,191.29,1.966,4.068,0.0
24,mid90day,HBA,block_bootstrap_unified,10000,813.76,66.26,820.19,466.16,469.05,731.97,1.8,3.104,0.0
24,mid90day,Alaton,block_bootstrap_unified,10000,816.94,67.75,820.19,507.29,510.42,770.15,1.682,2.453,0.0
24,mid90day,Benth,block_bootstrap_unified,10000,816.26,67.47,820.19,500.86,503.96,754.59,1.644,2.3,0.0
24,mid90day,XGB,block_bootstrap_unified,10000,811.23,65.6,820.19,438.4,441.11,709.95,1.814,2.981,0.0
24,mid90day,WaveletFNN,block_bootstrap_unified,10000,825.94,73.44,820.19,643.1,647.08,906.22,1.547,2.051,0.0
24,mid90day,LSTM,block_bootstrap_unified,10000,836.29,52.53,820.19,594.37,598.04,729.71,1.275,1.208,0.0
24,mid90day,FeedForwardNN,block_bootstrap_unified,10000,837.1,54.47,820.19,620.78,624.62,750.51,1.231,0.975,0.0
27,90day,HBA,block_bootstrap_unified,10000,24.36,15.51,18.32,184.66,185.12,250.1,1.61,2.602,0.0
27,90day,Alaton,block_bootstrap_unified,10000,546.84,191.56,18.32,10544.35,10570.38,3831.15,0.21,-0.094,4475.85
27,90day,Benth,block_bootstrap_unified,10000,15.08,11.36,18.32,65.76,65.92,138.16,2.71,8.4,0.0
27,90day,XGB,block_bootstrap_unified,10000,20.54,13.93,18.32,130.72,131.04,206.42,1.937,3.859,0.0
