horizon,model,bias,mae,rmse,std,n_obs
90day,Alaton,1469.56,1558.69,3754.14,3476.35,80
90day,Benth,-7.1,109.59,133.21,133.86,80
90day,FeedForwardNN,152.76,187.93,257.57,208.68,80
90day,HBA,84.03,148.38,167.35,145.64,80
90day,LSTM,95.87,149.4,214.39,192.97,80
90day,WaveletFNN,200.67,243.3,339.22,275.23,80
90day,XGB,37.59,121.55,139.51,135.2,80
mid90day,Alaton,-283.64,729.73,1040.28,1007.19,80
mid90day,Benth,-138.9,726.91,978.84,975.05,80
mid90day,FeedForwardNN,348.43,442.4,686.83,595.63,80
mid90day,HBA,-168.81,719.49,984.21,975.75,80
mid90day,LSTM,113.01,281.0,406.4,392.84,80
mid90day,WaveletFNN,221.78,956.6,1336.99,1326.79,80
mid90day,XGB,-184.78,730.35,1011.43,1000.68,80
