region,horizon,model,year,model_price,realized_payoff,pricing_error,mu_C,sigma_C
11,90day,HBA,2015,191.84,0.0,191.84,31.19,17.18
11,90day,HBA,2016,215.67,0.0,215.67,32.85,17.83
11,90day,HBA,2017,201.44,228.69,-27.24,31.71,17.8
11,90day,HBA,2018,194.23,0.0,194.23,31.3,17.56
11,90day,HBA,2019,204.23,0.0,204.23,32.05,17.57
11,90day,HBA,2020,198.14,32.05,166.08,31.41,17.66
11,90day,HBA,2021,230.23,171.86,58.37,34.05,17.67
11,90day,HBA,2022,209.51,18.41,191.09,32.44,17.65
11,90day,HBA,2023,211.25,357.64,-146.39,32.58,17.66
11,90day,HBA,2024,232.81,414.64,-181.82,34.04,18.13
11,90day,Alaton,2015,68.55,0.0,68.55,20.83,13.24
11,90day,Alaton,2016,107.14,0.0,107.14,24.7,14.69
11,90day,Alaton,2017,76.74,228.69,-151.95,21.31,13.91
11,90day,Alaton,2018,115.41,0.0,115.41,25.46,14.86
11,90day,Alaton,2019,107.0,0.0,107.0,24.63,14.7
11,90day,Alaton,2020,83.32,32.05,51.27,22.23,13.95
11,90day,Alaton,2021,117.49,171.86,-54.37,25.64,14.89
11,90day,Alaton,2022,141.53,18.41,123.11,27.64,15.59
11,90day,Alaton,2023,223.2,357.64,-134.43,33.7,17.19
11,90day,Alaton,2024,154.24,414.64,-260.39,28.45,16.25
11,90day,Benth,2015,79.67,0.0,79.67,21.9,13.79
11,90day,Benth,2016,118.03,0.0,118.03,25.82,14.79
11,90day,Benth,2017,83.34,228.69,-145.35,21.82,14.27
11,90day,Benth,2018,138.71,0.0,138.71,27.57,15.42
11,90day,Benth,2019,111.96,0.0,111.96,25.19,14.81
11,90day,Benth,2020,79.18,32.05,47.13,21.72,13.83
11,90day,Benth,2021,102.0,171.86,-69.86,24.32,14.33
11,90day,Benth,2022,146.05,18.41,127.64,28.06,15.8
11,90day,Benth,2023,230.14,357.64,-127.5,34.2,17.28
11,90day,Benth,2024,132.72,414.64,-281.92,27.07,15.19
11,90day,XGB,2015,144.87,0.0,144.87,27.86,15.74
11,90day,XGB,2016,176.28,0.0,176.28,30.14,16.81
11,90day,XGB,2017,122.04,228.69,-106.65,25.82,15.32
11,90day,XGB,2018,122.79,0.0,122.79,26.05,15.19
11,90day,XGB,2019,152.56,0.0,152.56,28.37,16.17
11,90day,XGB,2020,147.47,32.05,115.42,27.93,16.06
11,90day,XGB,2021,172.12,171.86,0.27,29.95,16.49
11,90day,XGB,2022,189.05,18.41,170.63,31.18,16.92
11,90day,XGB,2023,149.21,357.64,-208.43,28.31,15.67
11,90day,XGB,2024,248.55,414.64,-166.09,35.15,18.36
11,90day,WaveletFNN,2015,230.61,0.0,230.61,33.83,18.19
11,90day,WaveletFNN,2016,91.13,0.0,91.13,22.55,14.64
11,90day,WaveletFNN,2017,275.28,228.69,46.59,36.18,20.2
11,90day,WaveletFNN,2018,410.15,0.0,410.15,44.5,22.61
11,90day,WaveletFNN,2019,76.59,0.0,76.59,21.75,13.58
11,90day,WaveletFNN,2020,342.41,32.05,310.36,40.58,21.26
11,90day,WaveletFNN,2021,219.01,171.86,47.15,32.85,18.51
11,90day,WaveletFNN,2022,148.19,18.41,129.78,27.51,16.76
11,90day,WaveletFNN,2023,201.71,357.64,-155.93,31.6,17.93
11,90day,WaveletFNN,2024,133.15,414.64,-281.49,26.87,15.57
11,90day,LSTM,2015,30.91,0.0,30.91,16.65,10.74
11,90day,LSTM,2016,55.09,0.0,55.09,20.55,11.79
11,90day,LSTM,2017,266.74,228.69,38.05,36.66,17.58
11,90day,LSTM,2018,30.46,0.0,30.46,17.1,10.51
11,90day,LSTM,2019,205.67,0.0,205.67,33.05,15.89
11,90day,LSTM,2020,360.84,32.05,328.79,42.47,18.95
11,90day,LSTM,2021,30.11,171.86,-141.75,17.71,10.17
11,90day,LSTM,2022,579.24,18.41,560.82,54.39,21.08
11,90day,LSTM,2023,94.56,357.64,-263.08,24.78,13.04
11,90day,LSTM,2024,408.81,414.64,-5.82,45.1,19.96
11,90day,FeedForwardNN,2015,80.84,0.0,80.84,21.83,14.04
11,90day,FeedForwardNN,2016,261.43,0.0,261.43,36.18,18.24
11,90day,FeedForwardNN,2017,524.02,228.69,295.33,51.08,23.45
11,90day,FeedForwardNN,2018,60.43,0.0,60.43,20.08,12.73
11,90day,FeedForwardNN,2019,221.32,0.0,221.32,33.57,17.54
11,90day,FeedForwardNN,2020,495.55,32.05,463.49,49.64,22.95
11,90day,FeedForwardNN,2021,59.86,171.86,-112.0,19.89,12.82
11,90day,FeedForwardNN,2022,269.7,18.41,251.29,36.59,18.63
11,90day,FeedForwardNN,2023,415.44,357.64,57.8,45.39,20.8
11,90day,FeedForwardNN,2024,834.16,414.64,419.53,67.4,27.31
11,mid90day,HBA,2015,417.71,0.0,417.71,809.35,65.77
11,mid90day,HBA,2016,513.89,0.0,513.89,819.61,66.03
11,mid90day,HBA,2017,450.12,815.62,-365.5,812.88,65.77
11,mid90day,HBA,2018,417.95,3049.83,-2631.88,810.13,64.84
11,mid90day,HBA,2019,520.87,669.19,-148.32,819.28,67.04
11,mid90day,HBA,2020,488.85,20.42,468.43,816.53,66.3
11,mid90day,HBA,2021,651.71,0.0,651.71,833.36,64.72
11,mid90day,HBA,2022,486.39,1874.63,-1388.24,816.43,66.12
11,mid90day,HBA,2023,515.36,256.06,259.3,819.39,66.27
11,mid90day,HBA,2024,622.05,0.0,622.05,829.1,66.72
11,mid90day,Alaton,2015,384.63,0.0,384.63,804.95,66.47
11,mid90day,Alaton,2016,482.9,0.0,482.9,815.25,67.21
11,mid90day,Alaton,2017,406.26,815.62,-409.36,807.67,66.05
11,mid90day,Alaton,2018,395.59,3049.83,-2654.24,806.47,65.81
11,mid90day,Alaton,2019,519.44,669.19,-149.75,819.45,66.5
11,mid90day,Alaton,2020,520.02,20.42,499.6,819.22,66.85
11,mid90day,Alaton,2021,771.37,0.0,771.37,842.76,65.6
11,mid90day,Alaton,2022,535.88,1874.63,-1338.75,821.42,66.22
11,mid90day,Alaton,2023,641.12,256.06,385.06,831.15,66.45
11,mid90day,Alaton,2024,780.53,0.0,780.53,843.32,65.82
11,mid90day,Benth,2015,446.82,0.0,446.82,812.87,65.7
11,mid90day,Benth,2016,530.16,0.0,530.16,820.76,66.73
11,mid90day,Benth,2017,471.15,815.62,-344.47,814.88,66.35
