region,horizon,model,method,n_paths,mu_H,sigma_H,strike_ATM,price,payoff_mean,payoff_std,payoff_skew,payoff_kurt,var5
11,90day,HBA,burn_analysis,54,1119.67,124.27,1034.69,1963.92,1968.77,2179.43,1.239,0.967,0.0
11,90day,Alaton,ou_gaussian,100000,1085.11,50.38,1034.69,1088.08,1090.76,877.54,0.587,-0.26,0.0
11,90day,Benth,ou_benth,100000,1156.35,94.43,1034.69,2513.02,2519.22,1734.67,0.43,-0.263,0.0
11,90day,XGB,block_bootstrap,10000,1040.7,65.99,1034.69,588.61,590.07,808.24,1.522,2.057,0.0
11,90day,WaveletFNN,block_bootstrap,10000,1080.3,72.02,1034.69,1142.39,1145.21,1120.01,0.822,0.01,0.0
11,90day,LSTM,block_bootstrap,10000,1016.35,59.56,1034.69,314.92,315.7,585.69,2.311,5.898,0.0
11,90day,FeedForwardNN,block_bootstrap,10000,1026.96,64.69,1034.69,440.1,441.18,703.93,1.866,3.455,0.0
11,mid90day,HBA,burn_analysis,54,128.49,47.99,91.1,834.85,840.01,843.61,1.078,0.331,0.0
11,mid90day,Alaton,ou_gaussian,100000,46.7,19.57,91.1,4.29,4.32,38.79,12.475,194.214,0.0
11,mid90day,Benth,ou_benth,100000,133.42,51.42,91.1,932.34,938.11,912.42,1.089,1.093,0.0
11,mid90day,XGB,block_bootstrap,10000,0.0,0.0,91.1,0.0,0.0,0.0,,,0.0
11,mid90day,WaveletFNN,block_bootstrap,10000,0.0,0.0,91.1,0.0,0.0,0.0,,,0.0
11,mid90day,LSTM,block_bootstrap,10000,0.0,0.0,91.1,0.0,0.0,0.0,,,0.0
11,mid90day,FeedForwardNN,block_bootstrap,10000,0.0,0.0,91.1,0.0,0.0,0.0,,,0.0
24,90day,HBA,burn_analysis,54,1113.9,113.26,1040.78,1724.13,1728.39,1961.55,1.17,0.695,0.0
24,90day,Alaton,ou_gaussian,100000,1104.14,51.38,1040.78,1316.99,1320.24,935.0,0.422,-0.383,0.0
24,90day,Benth,ou_benth,100000,1163.2,95.84,1040.78,2529.45,2535.7,1762.45,0.446,-0.266,0.0
24,90day,XGB,block_bootstrap,10000,1041.02,66.17,1040.78,530.52,531.83,766.59,1.591,2.174,0.0
24,90day,WaveletFNN,block_bootstrap,10000,1042.0,73.08,1040.78,595.29,596.76,861.21,1.56,1.965,0.0
24,90day,LSTM,block_bootstrap,10000,1041.24,52.83,1040.78,423.64,424.69,609.64,1.573,2.075,0.0
24,90day,FeedForwardNN,block_bootstrap,10000,1030.66,55.16,1040.78,344.7,345.56,576.62,1.985,3.966,0.0
24,mid90day,HBA,burn_analysis,54,128.61,45.99,95.56,756.85,761.53,787.8,1.274,0.984,0.0
24,mid90day,Alaton,ou_gaussian,100000,51.51,20.78,95.56,5.8,5.83,47.3,11.528,167.497,0.0
24,mid90day,Benth,ou_benth,100000,134.54,52.13,95.56,884.39,889.85,907.77,1.173,1.38,0.0
24,mid90day,XGB,block_bootstrap,10000,0.0,0.0,95.56,0.0,0.0,0.0,,,0.0
24,mid90day,WaveletFNN,block_bootstrap,10000,0.0,0.0,95.56,0.0,0.0,0.0,,,0.0
24,mid90day,LSTM,block_bootstrap,10000,0.0,0.0,95.56,0.0,0.0,0.0,,,0.0
24,mid90day,FeedForwardNN,block_bootstrap,10000,0.0,0.0,95.56,0.0,0.0,0.0,,,0.0
27,90day,HBA,burn_analysis,31,1120.14,120.63,1113.22,1028.93,1031.47,1377.69,1.29,0.265,0.0
27,90day,Alaton,ou_gaussian,100000,416.35,135.48,1113.22,0.0,0.0,0.0,,,0.0
27,90day,Benth,ou_benth,100000,1201.0,90.03,1113.22,1907.35,1912.06,1553.44,0.605,-0.208,0.0
27,90day,XGB,block_bootstrap,10000,1138.61,68.84,1113.22,838.78,840.85,968.16,1.141,0.763,0.0
27,90day,WaveletFNN,block_bootstrap,10000,1074.07,93.12,1113.22,409.53,410.54,805.88,2.393,6.075,0.0
