region,calib_year,prediction_year,n_train_rows,fit_MAE,fit_RMSE,fit_R2,best_params,pkl_path
11,2014,2015,14599,2.214615702723233,3.758813848406477,0.034578800781600916,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2014.pkl
11,2015,2016,14964,2.2086629710590144,3.75359578656219,0.03451520292769217,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2015.pkl
11,2016,2017,15329,2.212401753524016,3.765198931283481,0.0345451747584723,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2016.pkl
11,2017,2018,15694,2.2164950473491976,3.774174149544993,0.03428092452857956,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2017.pkl
11,2018,2019,16059,2.2244768739646927,3.809590187762188,0.03520616291035927,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2018.pkl
11,2019,2020,16424,2.225385161389196,3.823605971401516,0.035456496068356214,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2019.pkl
11,2020,2021,16789,2.224108085195833,3.8238867148783675,0.03537922201024546,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2020.pkl
11,2021,2022,17154,2.2245385026885534,3.8112980386378257,0.0366204140434383,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2021.pkl
11,2022,2023,17519,2.223341728165568,3.8044367048358327,0.03674426570068445,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2022.pkl
11,2023,2024,17884,2.2273221877982823,3.7990809341242944,0.03696730605163556,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_11_calib_2023.pkl
24,2014,2015,14599,2.4255435856717074,4.1185516530843,0.06322359195965499,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2014.pkl
24,2015,2016,14964,2.417006749057055,4.105782947490671,0.06369064503036959,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2015.pkl
24,2016,2017,15329,2.415327400220535,4.093174800153339,0.06490220746114983,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2016.pkl
24,2017,2018,15694,2.408656418594488,4.076241676906172,0.06400800276246332,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2017.pkl
24,2018,2019,16059,2.4053977138543314,4.061848000837682,0.0637701360220958,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2018.pkl
24,2019,2020,16424,2.390725413217845,4.038567709791288,0.06361467957872158,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2019.pkl
24,2020,2021,16789,2.3844380524126967,4.022399381101869,0.06396693407951493,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2020.pkl
24,2021,2022,17154,2.3854179843151724,4.014906641440388,0.06500474641827647,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2021.pkl
24,2022,2023,17519,2.3738775918660733,3.992662148650856,0.06507220930550095,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2022.pkl
24,2023,2024,17884,2.369196907484819,3.975136667917925,0.06550000647337173,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_24_calib_2023.pkl
27,2014,2015,13028,2.068071921661953,4.294627178167053,0.028834059741693396,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2014.pkl
27,2015,2016,13393,2.0586942161843833,4.267799416914883,0.028577487720684358,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2015.pkl
27,2016,2017,13758,2.0688100802645626,4.271817141965438,0.028707595868283975,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2016.pkl
27,2017,2018,14123,2.062686869615899,4.2502525693829485,0.028758655865496308,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2017.pkl
27,2018,2019,14488,2.0690674227950434,4.245602404128926,0.028638027742095118,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2018.pkl
27,2019,2020,14853,2.061289746792157,4.22791390491032,0.028631112604821318,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2019.pkl
27,2020,2021,15218,2.0506264331198145,4.201382418853985,0.02883735132305487,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2020.pkl
27,2021,2022,15583,2.0834422124153313,4.219494771304551,0.030676309046473116,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2021.pkl
27,2022,2023,15948,2.0962405191667126,4.211436055093247,0.03107007902966652,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2022.pkl
27,2023,2024,16313,2.122605515437574,4.21930055437419,0.03188716899128874,"{'learning_rate': 0.09, 'max_depth': 2, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_27_calib_2023.pkl
28,2014,2015,14599,2.098180776153344,3.2008915176742163,0.1588387874017687,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2014.pkl
28,2015,2016,14964,2.0922917994595345,3.198281112464585,0.15320031844147508,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2015.pkl
28,2016,2017,15329,2.0825191375346406,3.1752055653452533,0.15838083775136702,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2016.pkl
28,2017,2018,15694,2.077621561988981,3.1684523710285393,0.15601733200609058,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2017.pkl
28,2018,2019,16059,2.077869156387492,3.1691934852616797,0.15235414178029272,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2018.pkl
28,2019,2020,16424,2.0749795659427197,3.1591612303064425,0.15203640390393913,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2019.pkl
28,2020,2021,16789,2.074274917504772,3.151968619830138,0.15491497028390766,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2020.pkl
28,2021,2022,17154,2.072054646295341,3.1462720162671185,0.15491644932068327,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2021.pkl
28,2022,2023,17519,2.0657572179609724,3.1382309751146917,0.15330817952687004,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2022.pkl
28,2023,2024,17884,2.0676058205679158,3.1365835167108496,0.15393625349231244,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_28_calib_2023.pkl
32,2014,2015,13474,2.4733054714401597,4.250427894798512,0.0604824775975078,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2014.pkl
32,2015,2016,13839,2.4673344454816286,4.236570382657567,0.058145598431058376,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2015.pkl
32,2016,2017,14204,2.469292106019234,4.229469435689734,0.05806994713085356,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2016.pkl
32,2017,2018,14569,2.471646561765468,4.226867563737337,0.0577588641598723,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2017.pkl
32,2018,2019,14934,2.4674553023929273,4.216251247711818,0.05716590559283519,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2018.pkl
32,2019,2020,15299,2.4583135447902316,4.196948792751635,0.05572017263069928,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2019.pkl
32,2020,2021,15664,2.452868394078341,4.176507944422145,0.05597980102710243,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2020.pkl
32,2021,2022,16029,2.4455802568424785,4.1479994968793115,0.06033489760440269,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2021.pkl
32,2022,2023,16394,2.4284141755524087,4.120543975840849,0.05940079943343313,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2022.pkl
32,2023,2024,16759,2.4281607428717287,4.106043598165213,0.06053419868896415,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_32_calib_2023.pkl
44,2014,2015,14599,2.1138975039897048,3.4322639909076575,0.1437424474592569,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2014.pkl
44,2015,2016,14964,2.100179145641888,3.4023383579879813,0.15029083792591091,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2015.pkl
44,2016,2017,15329,2.097206799829462,3.395420006103439,0.14794773518454885,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2016.pkl
44,2017,2018,15694,2.0926106591937224,3.3970368052784172,0.1403960531864844,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2017.pkl
44,2018,2019,16059,2.090056523495625,3.3837715319451522,0.14108171137900738,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2018.pkl
44,2019,2020,16424,2.078420551963385,3.359636323789676,0.14210861854266243,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2019.pkl
44,2020,2021,16789,2.072589577834188,3.3446880435261988,0.14195747377740198,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2020.pkl
44,2021,2022,17154,2.073256998943142,3.3416391584436504,0.1415006706425881,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2021.pkl
44,2022,2023,17519,2.0674687686588173,3.324012785203715,0.14443503965952265,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2022.pkl
44,2023,2024,17884,2.071794648725529,3.32090405362147,0.1437566265133705,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_44_calib_2023.pkl
52,2014,2015,14599,2.8004865620507413,4.599053535843393,0.06311285911013609,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2014.pkl
52,2015,2016,14964,2.8002032421149345,4.6028346808296545,0.06278995892589279,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2015.pkl
52,2016,2017,15329,2.7959247470435393,4.605265812489791,0.06263515991195057,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2016.pkl
52,2017,2018,15694,2.786195158128894,4.59105814961471,0.0621885494174248,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2017.pkl
52,2018,2019,16059,2.8038732521704333,4.6542110992844465,0.06044631557296187,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2018.pkl
52,2019,2020,16424,2.7984379175637932,4.637896895387998,0.06043817020546349,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2019.pkl
52,2020,2021,16789,2.8019405038177556,4.6495262427495465,0.05999934756388725,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2020.pkl
52,2021,2022,17154,2.7881767886748103,4.6326326746831,0.060880616515373576,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2021.pkl
52,2022,2023,17519,2.770554688158125,4.6041862991689255,0.06105057629397748,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2022.pkl
52,2023,2024,17884,2.7621270719703506,4.582288315778349,0.062139526977604276,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_52_calib_2023.pkl
53,2014,2015,14599,2.2925989915608413,3.453229471782747,0.10959991456235241,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_53_calib_2014.pkl
53,2015,2016,14964,2.2873831373275655,3.4458200999046023,0.11016592543538517,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_53_calib_2015.pkl
53,2016,2017,15329,2.2884099548220758,3.4452256100894156,0.10954070393500748,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_53_calib_2016.pkl
53,2017,2018,15694,2.283183054838825,3.4324097990859426,0.1096918359961293,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_53_calib_2017.pkl
53,2018,2019,16059,2.2774393775968447,3.4287976771272506,0.10867800372076875,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_53_calib_2018.pkl
53,2019,2020,16424,2.2791736126327273,3.426680990556183,0.10890978741249802,"{'learning_rate': 0.09, 'max_depth': 3, 'n_estimators': 5}",Outputs\xgBoost_precip_rolling_exports\paper_xgb_precip_region_53_calib_2019.pkl
