region,calib_year,prediction_year,n_train_rows,fit_MAE,fit_RMSE,fit_R2,best_params,pkl_path
11,2014,2015,14599,2.146878484973559,2.653807827312649,0.38873627702781033,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2014.pkl
11,2015,2016,14964,2.1469748050587976,2.653587689680433,0.3878522662846574,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2015.pkl
11,2016,2017,15329,2.1411292799708335,2.6484147141356393,0.38758202749689996,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2016.pkl
11,2017,2018,15694,2.142431204143501,2.6482301568573976,0.3870533270332631,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2017.pkl
11,2018,2019,16059,2.144810699248041,2.649991971939778,0.38826079371826405,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2018.pkl
11,2019,2020,16424,2.138955278055046,2.6447986819296188,0.3878737147260183,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2019.pkl
11,2020,2021,16789,2.1390212614147965,2.643058934908911,0.3869988268133808,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2020.pkl
11,2021,2022,17154,2.1356778725079786,2.63915791998697,0.3874679276749007,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2021.pkl
11,2022,2023,17519,2.133053645007185,2.637355675878103,0.38750502381238716,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2022.pkl
11,2023,2024,17884,2.131847246480261,2.6341511787494456,0.387181448359992,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_11_calib_2023.pkl
24,2014,2015,14599,2.151287400913612,2.665824509673776,0.3904970704605071,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2014.pkl
24,2015,2016,14964,2.150698069253685,2.663908803094966,0.3897580837381598,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2015.pkl
24,2016,2017,15329,2.146376772224117,2.658224750886022,0.3891774899361087,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2016.pkl
24,2017,2018,15694,2.147744657637272,2.659031405962781,0.3887991036050342,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2017.pkl
24,2018,2019,16059,2.1493479908199484,2.659687068781321,0.38976733804159935,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2018.pkl
24,2019,2020,16424,2.1446050810843427,2.6551362028877743,0.38950427455429903,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2019.pkl
24,2020,2021,16789,2.143425697528106,2.6531775764116,0.388788112937695,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2020.pkl
24,2021,2022,17154,2.1415496719068567,2.6497395083554207,0.38922561660978794,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2021.pkl
24,2022,2023,17519,2.14135959104946,2.6494077093506707,0.3894863925334614,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2022.pkl
24,2023,2024,17884,2.1405805335410557,2.6465664207927264,0.3896734379210668,"{'learning_rate': 0.09, 'max_depth': 5, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_24_calib_2023.pkl
27,2014,2015,13028,1.892571445766093,2.5190487952394767,0.31846561257614325,"{'learning_rate': 0.09, 'max_depth': 4, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_27_calib_2014.pkl
27,2015,2016,13393,1.897474640265772,2.520213671704825,0.32078085824794567,"{'learning_rate': 0.09, 'max_depth': 4, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_27_calib_2015.pkl
27,2016,2017,13758,1.9008974545541961,2.518889235543885,0.32166667513859704,"{'learning_rate': 0.09, 'max_depth': 4, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_27_calib_2016.pkl
27,2017,2018,14123,1.9093779497910104,2.5238522165235993,0.32388524954458275,"{'learning_rate': 0.09, 'max_depth': 4, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_27_calib_2017.pkl
27,2018,2019,14488,1.9169858961396604,2.528274587692346,0.32710842018694675,"{'learning_rate': 0.09, 'max_depth': 4, 'n_estimators': 5}",Outputs\xgBoost_rolling_exports\paper_xgb_region_27_calib_2018.pkl
