model,region,he_sv_realized,n_obs
HBA,11,-0.3217,10
HBA,24,-0.391,10
HBA,27,-0.6638,10
HBA,28,-0.279,10
HBA,32,-0.0121,10
HBA,44,-0.1188,10
HBA,52,-0.0377,10
HBA,53,0.1631,10
Alaton,11,-0.3731,10
Alaton,24,-0.4124,10
Alaton,27,-0.9509,10
Alaton,28,-0.2346,10
Alaton,32,-0.0192,10
Alaton,44,-0.1,10
Alaton,52,-0.1118,10
Alaton,53,0.1466,10
Benth,11,-0.4086,10
Benth,24,-0.4305,10
Benth,27,-0.6558,10
Benth,28,-0.2553,10
Benth,32,-0.0112,10
Benth,44,-0.1278,10
Benth,52,-0.0739,10
Benth,53,0.1855,10
XGB,11,-0.37,10
XGB,24,-0.2756,10
XGB,27,-0.6655,10
XGB,28,-0.2617,10
XGB,32,-0.0075,10
XGB,44,-0.1054,10
XGB,52,-0.059,10
XGB,53,0.1224,10
WaveletFNN,11,-0.2205,10
WaveletFNN,24,-0.3986,10
WaveletFNN,27,-1.0834,10
WaveletFNN,28,-0.3526,10
WaveletFNN,32,-0.0201,10
WaveletFNN,44,-0.6985,10
WaveletFNN,52,-0.6937,10
WaveletFNN,53,0.2157,10
LSTM,11,0.0043,10
LSTM,24,-0.0253,10
LSTM,27,-0.0329,10
LSTM,28,0.0452,10
LSTM,32,-0.0129,10
LSTM,44,-0.1298,10
LSTM,52,-0.0335,10
LSTM,53,0.1402,10
FeedForwardNN,11,-0.0463,10
FeedForwardNN,24,-0.0274,10
FeedForwardNN,27,0.0227,10
FeedForwardNN,28,-0.0353,10
FeedForwardNN,32,-0.0234,10
FeedForwardNN,44,-0.0519,10
FeedForwardNN,52,0.0063,10
FeedForwardNN,53,0.0977,10
