model,region,oos_year,instrument,act_revenue,act_cCDD,K,N_sv,V_sv,act_payoff,hedged_revenue,revenue_change
HBA,11,2015,call,1456.0,446.56,409.3,0.05266,1399.6721,745.2,1421.17,-34.83
HBA,11,2016,call,800.0,354.65,410.1,0.05262,1586.0135,0.0,716.13,-83.87
HBA,11,2017,call,1312.0,468.58,347.3,0.05674,893.1396,2425.6,1398.7,86.7
HBA,11,2018,call,1232.0,580.07,411.5,0.0092,1181.0549,3371.4,1252.1,20.1
HBA,11,2019,call,1408.0,459.04,415.0,0.01055,1405.612,880.8,1402.39,-5.61
HBA,11,2020,call,1248.0,288.82,195.8,0.01356,649.2953,1860.4,1264.39,16.39
HBA,11,2021,call,1328.0,110.89,197.6,0.01113,930.1174,0.0,1317.6,-10.4
HBA,11,2022,call,1376.0,274.67,195.9,0.02112,683.3551,1575.4,1394.78,18.78
HBA,11,2023,call,1343.98,204.18,197.4,0.01731,805.7693,135.6,1332.33,-11.66
HBA,11,2024,call,1052.32,249.74,197.5,0.01748,672.3084,1044.8,1058.78,6.46
HBA,24,2015,call,1216.0,803.34,694.5,0.04388,1867.9609,2176.8,1229.07,13.07
HBA,24,2016,call,576.0,627.85,696.8,0.03922,2306.5078,0.0,485.01,-90.99
HBA,24,2017,call,1104.0,444.36,341.5,0.01635,963.2375,2057.2,1121.81,17.81
HBA,24,2018,call,1104.0,279.59,182.4,0.00152,621.0185,1943.8,1106.01,2.01
HBA,24,2019,call,1224.0,151.65,184.4,-0.00594,787.4315,0.0,1228.7,4.7
HBA,24,2020,call,976.0,284.4,183.7,0.00136,603.836,2014.0,977.91,1.91
HBA,24,2021,call,1168.0,115.78,185.7,0.00471,866.577,0.0,1163.9,-4.1
HBA,24,2022,call,1128.0,282.26,184.3,0.01905,602.7116,1959.2,1153.79,25.79
HBA,24,2023,call,1104.0,214.72,186.2,0.00756,733.144,570.4,1102.75,-1.25
HBA,24,2024,call,1008.0,237.81,186.7,0.01002,645.4593,1022.2,1011.75,3.75
HBA,27,2015,call,1088.0,806.22,539.2,0.04358,4076.2147,5340.4,1142.06,54.06
HBA,27,2016,call,800.0,630.8,545.4,0.03792,4473.4075,1708.0,694.15,-105.85
HBA,27,2017,call,1286.61,775.38,547.3,0.02877,4041.7405,4561.6,1300.89,14.28
HBA,27,2018,call,1040.0,751.13,498.2,0.03113,3284.4703,5058.6,1094.55,54.55
HBA,27,2019,call,1264.0,711.41,503.7,0.02607,3439.2908,4154.2,1282.04,18.04
HBA,27,2020,call,1344.0,257.25,148.9,0.01319,846.448,2167.0,1361.37,17.37
HBA,27,2021,call,976.0,531.65,511.8,0.02626,3688.1866,397.0,888.93,-87.07
HBA,27,2022,call,1072.0,672.79,456.1,0.01822,3099.3271,4333.8,1094.16,22.16
HBA,27,2023,put,1040.0,27.65,39.3,0.01175,40.9822,233.0,1042.25,2.25
HBA,27,2024,put,848.0,67.27,39.1,0.00775,55.7484,0.0,847.57,-0.43
HBA,28,2015,call,1536.0,538.55,479.6,0.03792,2035.5732,1179.0,1503.07,-32.93
HBA,28,2016,call,1040.0,510.95,480.8,0.03777,2182.9545,603.0,979.84,-60.16
HBA,28,2017,call,1520.0,854.54,692.2,0.0283,2300.2509,3246.8,1546.35,26.35
HBA,28,2018,put,1376.0,70.76,29.7,0.05662,29.8962,0.0,1374.3,-1.7
HBA,28,2019,call,1568.0,820.71,700.0,0.01383,2425.3337,2414.2,1567.62,-0.38
HBA,28,2020,call,1344.0,801.23,702.5,0.01353,2429.0053,1974.6,1337.63,-6.37
HBA,28,2021,call,1248.0,72.93,114.0,0.01119,919.081,0.0,1237.67,-10.33
HBA,28,2022,put,1568.0,46.95,31.6,0.02926,32.2676,0.0,1567.05,-0.95
HBA,28,2023,put,1424.0,41.95,31.9,0.03832,30.4542,0.0,1422.83,-1.17
HBA,28,2024,put,1200.0,47.77,24.7,-0.05198,41.8135,0.0,1202.18,2.18
HBA,32,2015,call,1584.0,180.19,137.9,0.08172,1472.5322,845.8,1532.19,-51.81
HBA,32,2016,put,944.0,274.87,206.3,0.41108,0.1852,0.0,943.92,-0.08
HBA,32,2017,call,1408.0,399.87,224.5,0.07351,1567.8831,3507.4,1550.0,142.0
HBA,32,2018,call,1344.0,357.94,228.4,0.02246,1715.8112,2590.8,1363.46,19.46
HBA,32,2019,call,1520.0,299.53,231.2,0.022,1873.477,1366.6,1508.64,-11.36
HBA,32,2020,call,1456.0,313.49,232.7,0.0256,1785.8493,1615.8,1451.42,-4.58
HBA,32,2021,call,1328.0,269.67,234.4,0.02427,1844.8906,705.4,1300.12,-27.88
HBA,32,2022,call,1472.0,355.29,235.1,0.01706,1648.4588,2403.8,1484.75,12.75
HBA,32,2023,put,1424.0,255.37,216.4,0.05932,1.3259,0.0,1423.92,-0.08
HBA,32,2024,put,1200.0,295.19,217.2,0.0428,1.4881,0.0,1199.94,-0.06
HBA,44,2015,call,1152.0,1.52,10.4,0.42641,46.367,0.0,1132.18,-19.82
HBA,44,2016,call,668.8,0.4,10.2,0.45807,48.1667,0.0,646.68,-22.12
HBA,44,2017,put,992.0,16.73,38.8,0.05873,73.8136,441.4,1013.57,21.57
HBA,44,2018,put,1000.0,934.84,675.2,0.01401,128.6998,0.0,998.19,-1.81
HBA,44,2019,put,1088.0,761.65,680.5,0.02962,68.5804,0.0,1085.96,-2.04
HBA,44,2020,put,1120.0,734.69,682.1,0.03314,76.5626,0.0,1117.45,-2.55
HBA,44,2021,put,992.0,853.28,976.6,0.02963,18.3721,2466.4,1064.53,72.53
HBA,44,2022,put,1008.0,1245.06,974.3,0.00623,79.0378,0.0,1007.5,-0.5
HBA,44,2023,put,1008.0,1126.7,979.4,0.00604,63.2753,0.0,1007.62,-0.38
HBA,44,2024,put,832.0,1109.1,982.1,0.01353,59.7099,0.0,831.19,-0.81
HBA,52,2015,call,1152.0,456.61,415.4,0.03834,1430.8453,824.2,1128.47,-23.53
HBA,52,2016,call,992.0,358.21,416.3,0.03754,1627.2685,0.0,930.61,-61.39
HBA,52,2017,call,1136.0,534.04,415.1,0.02897,1228.6294,2378.8,1169.14,33.14
HBA,52,2018,call,912.0,264.24,178.0,0.05576,653.5573,1724.8,971.58,59.58
HBA,52,2019,call,1190.4,428.52,420.3,0.03119,1492.441,164.4,1148.75,-41.65
HBA,52,2020,call,784.0,498.41,420.5,0.03427,1274.8425,1558.2,793.49,9.49
HBA,52,2021,call,1072.0,131.77,181.6,0.08191,930.9536,0.0,995.43,-76.57
HBA,52,2022,call,1068.8,277.52,180.6,0.08221,604.1583,1938.4,1178.28,109.48
