oos_year,HBA,Alaton,Benth,XGB,WaveletFNN,LSTM,FeedForwardNN
2015,0.0606,-0.1926,0.0163,0.114,-0.8984,-0.2708,-0.1497
2016,-0.8706,-1.0502,-0.9568,-0.7311,-1.397,-0.1079,-0.0641
2017,0.2208,0.1962,0.1901,0.2382,0.3155,0.0342,-0.1183
2018,0.3744,0.369,0.3638,0.3667,0.6793,0.1685,0.1002
2019,-0.1503,-0.1823,-0.1729,-0.1529,-0.0759,-0.088,-0.1038
2020,0.0571,0.0172,0.0237,0.0857,-0.0576,-0.0629,0.1346
2021,-0.5588,-0.4906,-0.76,-0.6309,-0.6768,-0.2316,-0.0815
2022,0.3137,0.304,0.2938,0.3128,0.0969,0.0786,0.1173
2023,0.0228,-0.0022,0.0081,0.0025,-0.0241,-0.2969,-0.3113
2024,-0.1039,-0.1511,-0.0964,-0.1756,-0.7885,0.0017,-0.1514
