region,oos_year,win_label,win_start,win_end,win_corr,K
11,2015,Mar–Jun,60,181,-0.743,409.3
11,2016,Mar–Jun,60,181,-0.635,410.1
11,2017,May–Jun,121,181,-0.475,347.3
11,2018,Mar–Jun,60,181,-0.43,411.5
11,2019,Mar–Jun,60,181,-0.447,415.0
11,2020,Mar–May,60,151,-0.505,195.8
11,2021,Mar–May,60,151,-0.517,197.6
11,2022,Mar–May,60,151,-0.534,195.9
11,2023,Mar–May,60,151,-0.45,197.4
11,2024,Mar–May,60,151,-0.472,197.5
24,2015,Mar–Jul,60,212,-0.8,694.5
24,2016,Mar–Jul,60,212,-0.668,696.8
24,2017,May–Jun,121,181,-0.419,341.5
24,2018,Mar–May,60,151,-0.319,182.4
24,2019,Mar–May,60,151,-0.311,184.4
24,2020,Mar–May,60,151,-0.411,183.7
24,2021,Mar–May,60,151,-0.439,185.7
24,2022,Mar–May,60,151,-0.479,184.3
24,2023,Mar–May,60,151,-0.465,186.2
24,2024,Mar–May,60,151,-0.485,186.7
27,2015,May–Jul,121,212,-0.621,539.2
27,2016,May–Jul,121,212,-0.588,545.4
27,2017,May–Jul,121,212,-0.373,547.3
27,2018,Jul–Aug,182,243,-0.292,498.2
27,2019,Jul–Aug,182,243,-0.304,503.7
27,2020,Apr–May,91,151,-0.256,148.9
27,2021,Jul–Aug,182,243,-0.204,511.8
27,2022,Jun–Jul,152,212,-0.123,456.1
27,2023,Apr,91,120,0.108,39.3
27,2024,Apr,91,120,0.167,39.1
28,2015,Apr–Jul,91,212,-0.436,479.6
28,2016,Apr–Jul,91,212,-0.418,480.8
28,2017,May–Aug,121,243,-0.39,692.2
28,2018,Mar–Apr,60,120,0.259,29.7
28,2019,May–Aug,121,243,-0.267,700.0
28,2020,May–Aug,121,243,-0.247,702.5
28,2021,Mar–May,60,151,-0.24,114.0
28,2022,Mar–Apr,60,120,0.224,31.6
28,2023,Mar–Apr,60,120,0.196,31.9
28,2024,Apr,91,120,0.218,24.7
32,2015,Jun,152,181,-0.532,137.9
32,2016,Aug,213,243,0.55,206.3
32,2017,May–Jun,121,181,-0.561,224.5
32,2018,May–Jun,121,181,-0.447,228.4
32,2019,May–Jun,121,181,-0.425,231.2
32,2020,May–Jun,121,181,-0.438,232.7
32,2021,May–Jun,121,181,-0.409,234.4
32,2022,May–Jun,121,181,-0.333,235.1
32,2023,Aug,213,243,0.315,216.4
32,2024,Aug,213,243,0.312,217.2
44,2015,Mar,60,90,-0.352,10.4
44,2016,Mar,60,90,-0.349,10.2
44,2017,Apr,91,120,0.365,38.8
44,2018,Apr–Jul,91,212,0.352,675.2
44,2019,Apr–Jul,91,212,0.377,680.5
44,2020,Apr–Jul,91,212,0.403,682.1
44,2021,Mar–Aug,60,243,0.322,976.6
44,2022,Mar–Aug,60,243,0.25,974.3
44,2023,Mar–Aug,60,243,0.264,979.4
44,2024,Mar–Aug,60,243,0.3,982.1
52,2015,Mar–Jun,60,181,-0.643,415.4
52,2016,Mar–Jun,60,181,-0.579,416.3
52,2017,Mar–Jun,60,181,-0.395,415.1
52,2018,Apr–May,91,151,-0.358,178.0
52,2019,Mar–Jun,60,181,-0.507,420.3
52,2020,Mar–Jun,60,181,-0.525,420.5
52,2021,Apr–May,91,151,-0.557,181.6
52,2022,Apr–May,91,151,-0.537,180.6
52,2023,Apr–May,91,151,-0.518,182.5
52,2024,Apr–May,91,151,-0.49,183.2
53,2015,Mar–May,60,151,-0.389,142.6
53,2016,May,121,151,-0.403,99.1
53,2017,May,121,151,-0.505,99.3
53,2018,May,121,151,-0.377,100.1
53,2019,May,121,151,-0.411,100.5
53,2020,May,121,151,-0.456,100.2
53,2021,May,121,151,-0.506,101.0
53,2022,May,121,151,-0.459,100.1
53,2023,May,121,151,-0.453,100.8
53,2024,May,121,151,-0.432,101.2
