model_a,model_b,p_value,significant
HBA,Alaton,0.8458,False
HBA,Benth,0.932,False
HBA,XGB,0.9144,False
HBA,WaveletFNN,0.5312,False
HBA,LSTM,0.598,False
HBA,FeedForwardNN,0.7316,False
Alaton,Benth,0.9646,False
Alaton,XGB,0.7665,False
Alaton,WaveletFNN,0.6243,False
Alaton,LSTM,0.5379,False
Alaton,FeedForwardNN,0.578,False
Benth,XGB,0.8138,False
Benth,WaveletFNN,0.6111,False
Benth,LSTM,0.547,False
Benth,FeedForwardNN,0.6268,False
XGB,WaveletFNN,0.459,False
XGB,LSTM,0.6847,False
XGB,FeedForwardNN,0.7993,False
WaveletFNN,LSTM,0.2391,False
WaveletFNN,FeedForwardNN,0.3367,False
LSTM,FeedForwardNN,0.8712,False
