model_a,model_b,p_value,n_pairs,mean_diff,significant,p_holm,sig_holm
HBA,Alaton,0.2126,80,-0.0125,False,0.6378,False
HBA,Benth,0.0617,80,-0.0025,False,0.4137,False
HBA,XGB,0.7498,80,0.0015,False,1.0,False
HBA,WaveletFNN,0.0,80,-0.0326,True,0.0,True
HBA,LSTM,0.0001,80,0.015,True,0.0017,True
HBA,FeedForwardNN,0.122,80,0.0087,False,0.539,False
Alaton,Benth,0.8377,80,0.0101,False,1.0,False
Alaton,XGB,0.1078,80,0.014,False,0.539,False
Alaton,WaveletFNN,0.001,80,-0.0201,True,0.012,True
Alaton,LSTM,0.0003,80,0.0276,True,0.0042,True
Alaton,FeedForwardNN,0.0098,80,0.0212,False,0.098,False
Benth,XGB,0.0591,80,0.004,False,0.4137,False
Benth,WaveletFNN,0.0002,80,-0.0301,True,0.003,True
Benth,LSTM,0.0,80,0.0175,True,0.0,True
Benth,FeedForwardNN,0.0263,80,0.0111,False,0.2367,False
XGB,WaveletFNN,0.0,80,-0.0341,True,0.0,True
XGB,LSTM,0.0003,80,0.0135,True,0.0042,True
XGB,FeedForwardNN,0.0371,80,0.0072,False,0.2968,False
WaveletFNN,LSTM,0.0,80,0.0476,True,0.0,True
WaveletFNN,FeedForwardNN,0.0001,80,0.0413,True,0.0017,True
LSTM,FeedForwardNN,0.0036,80,-0.0064,True,0.0396,True
