region,oos_year,calib_start,calib_end,n_calib,win_label,win_start,win_end,win_corr,instrument,strike,premium,x_star,rev_actual,cdd_actual,payoff_actual,rev_hedged,is_he_mrsl
11,2015,2000,2014,15,Mar–Jun,60,181,-0.743,call,464.0,532.79,0.07483,1456.0,446.56,0.0,1416.13,0.3182
11,2016,2000,2015,16,Mar–Jun,60,181,-0.635,call,462.9,507.67,0.07687,800.0,354.65,0.0,760.97,0.321
11,2017,2000,2016,17,May–Jun,121,181,-0.475,call,377.2,381.79,0.05622,1312.0,468.58,1827.83,1393.3,0.0124
11,2018,2000,2017,18,Mar–Jun,60,181,-0.43,call,460.9,546.5,0.02948,1232.0,580.07,2384.18,1286.17,0.0137
11,2019,2000,2018,19,Mar–Jun,60,181,-0.447,call,467.1,590.39,0.02049,1408.0,459.04,0.0,1395.9,0.0084
11,2020,2000,2019,20,Mar–May,60,151,-0.505,call,223.5,395.89,0.01468,1248.0,288.82,1306.63,1261.37,0.0032
11,2021,2000,2020,21,Mar–May,60,151,-0.517,call,226.6,411.53,0.01116,1328.0,110.89,0.0,1323.41,0.0018
11,2022,2000,2021,22,Mar–May,60,151,-0.534,call,221.3,438.82,0.01369,1376.0,274.67,1066.64,1384.6,0.003
11,2023,2000,2022,23,Mar–May,60,151,-0.45,call,223.7,443.94,0.01361,1343.98,204.18,0.0,1337.94,0.0027
11,2024,2000,2023,24,Mar–May,60,151,-0.472,call,222.8,432.88,0.01691,1052.32,249.74,537.93,1054.09,0.0042
24,2015,2000,2014,15,Mar–Jul,60,212,-0.8,call,744.7,633.21,0.04899,1216.0,803.34,1172.48,1242.42,0.3078
24,2016,2000,2015,16,Mar–Jul,60,212,-0.668,call,748.4,639.43,0.04916,576.0,627.85,0.0,544.57,0.2704
24,2017,2000,2016,17,May–Jun,121,181,-0.419,call,371.9,375.55,0.03434,1104.0,444.36,1449.25,1140.87,0.0076
24,2018,2000,2017,18,Mar–May,60,151,-0.319,call,201.9,352.71,0.01571,1104.0,279.59,1553.46,1122.86,0.0026
24,2019,2000,2018,19,Mar–May,60,151,-0.311,call,206.0,367.27,0.01111,1224.0,151.65,0.0,1219.92,0.0012
24,2020,2000,2019,20,Mar–May,60,151,-0.411,call,203.3,377.66,0.01485,976.0,284.4,1622.4,994.49,0.0021
24,2021,2000,2020,21,Mar–May,60,151,-0.439,call,207.1,397.14,0.02523,1168.0,115.78,0.0,1157.98,0.0063
24,2022,2000,2021,22,Mar–May,60,151,-0.479,call,203.0,420.5,0.02662,1128.0,282.26,1585.4,1159.01,0.0075
24,2023,2000,2022,23,Mar–May,60,151,-0.465,call,206.4,434.07,0.02241,1104.0,214.72,165.57,1097.98,0.0051
24,2024,2000,2023,24,Mar–May,60,151,-0.485,call,206.8,419.72,0.02426,1008.0,237.81,620.47,1012.87,0.006
27,2015,2000,2014,15,May–Jul,121,212,-0.621,call,694.2,548.67,0.05121,1088.0,806.22,2240.53,1174.64,0.2316
27,2016,2000,2015,16,May–Jul,121,212,-0.588,call,701.2,602.79,0.04903,800.0,630.8,0.0,770.44,0.1932
27,2017,2000,2016,17,May–Jul,121,212,-0.373,call,697.1,595.72,0.03696,1286.61,775.38,1566.57,1322.5,0.0714
27,2018,2000,2017,18,Jul–Aug,182,243,-0.292,call,603.2,617.78,0.04939,1040.0,751.13,2958.33,1155.59,0.0948
27,2019,2000,2018,19,Jul–Aug,182,243,-0.304,call,611.0,669.93,0.04097,1264.0,711.41,2008.31,1318.83,0.0608
27,2020,2000,2019,20,Apr–May,91,151,-0.256,call,196.6,458.43,0.01517,1344.0,257.25,1212.28,1355.43,0.0042
27,2021,2000,2020,21,Jul–Aug,182,243,-0.204,call,619.4,693.92,0.02883,976.0,531.65,0.0,955.99,0.0266
27,2022,2000,2021,22,Jun–Jul,152,212,-0.123,call,568.8,628.92,0.02506,1072.0,672.79,2079.83,1108.36,0.0252
27,2023,2000,2022,23,Apr,91,120,0.108,put,56.5,245.58,0.11631,1040.0,27.65,576.8,1078.52,0.036
27,2024,2000,2023,24,Apr,91,120,0.167,put,55.3,244.36,0.10943,848.0,67.27,0.0,821.26,0.0328
28,2015,2000,2014,15,Apr–Jul,91,212,-0.436,call,546.0,363.45,0.03578,1536.0,538.55,0.0,1523.0,0.0356
28,2016,2000,2015,16,Apr–Jul,91,212,-0.418,call,545.5,344.8,0.04335,1040.0,510.95,0.0,1025.05,0.0453
28,2017,2000,2016,17,May–Aug,121,243,-0.39,call,754.2,416.79,0.01981,1520.0,854.54,2007.5,1551.51,0.0129
28,2018,2000,2017,18,Mar–Apr,60,120,0.259,put,42.1,163.33,0.28654,1376.0,70.76,0.0,1329.2,0.0678
28,2019,2000,2018,19,May–Aug,121,243,-0.267,call,768.0,539.66,0.0,1568.0,820.71,1054.31,1568.0,-0.0
28,2020,2000,2019,20,May–Aug,121,243,-0.247,call,770.6,546.94,0.0,1344.0,801.23,612.14,1344.0,-0.0
