region,oos_year,model,resid_sd,cdd_sd_own,payoff_sd_own,cdd_sd_common,cov_rpi,corr_rpi,N_star,V_own,K,TTM,he_sv_own,he_sv_common,win_corr,actual_cCDD,actual_revenue
11,2015,HBA,3.135,58.47,1054.11,55.02,-61940.56,-0.7252,0.05574,1416.0738,409.3,0.4959,0.4621,0.3055,-0.743,446.56,1456.0
11,2015,Alaton,3.179,58.47,1075.25,56.85,-64075.09,-0.7297,0.05542,1578.4664,409.3,0.4959,0.4634,0.4717,-0.743,446.56,1456.0
11,2015,Benth,3.175,58.28,1100.77,55.0,-66064.77,-0.7379,0.05452,1732.2411,409.3,0.4959,0.4768,0.3518,-0.743,446.56,1456.0
11,2015,XGB,3.129,57.53,1056.26,58.14,-61549.85,-0.7201,0.05517,1503.2664,409.3,0.4959,0.4563,0.47,-0.743,446.56,1456.0
11,2015,WaveletFNN,3.347,66.48,1321.07,58.73,-96376.56,-0.8162,0.05522,2992.7797,409.3,0.4959,0.6139,0.5099,-0.743,446.56,1456.0
11,2015,LSTM,2.978,51.16,1012.48,60.03,-55119.99,-0.7118,0.05377,2186.784,409.3,0.4959,0.4447,0.604,-0.743,446.56,1456.0
11,2015,FeedForwardNN,3.082,53.27,1056.99,58.61,-61261.01,-0.7418,0.05483,2559.9814,409.3,0.4959,0.4809,0.5646,-0.743,446.56,1456.0
11,2016,HBA,3.092,57.04,1075.58,54.1,-64229.75,-0.6993,0.05552,1633.9406,410.1,0.4959,0.4466,0.2897,-0.635,354.65,800.0
11,2016,Alaton,3.143,58.77,1119.2,56.58,-69042.16,-0.712,0.05512,1837.5512,410.1,0.4959,0.4637,0.4593,-0.635,354.65,800.0
11,2016,Benth,3.135,58.0,1117.75,53.78,-69893.99,-0.7217,0.05594,1963.2722,410.1,0.4959,0.4799,0.3503,-0.635,354.65,800.0
11,2016,XGB,3.083,57.29,1091.28,56.69,-65432.08,-0.7047,0.05494,1785.4958,410.1,0.4959,0.4509,0.4496,-0.635,354.65,800.0
11,2016,WaveletFNN,3.35,63.39,1055.19,54.89,-66125.55,-0.698,0.05939,1136.2935,410.1,0.4959,0.4508,0.3218,-0.635,354.65,800.0
11,2016,LSTM,2.987,45.13,107.36,52.41,-1895.82,-0.2306,0.16449,18.4588,410.1,0.4959,0.0577,0.2934,-0.635,354.65,800.0
11,2016,FeedForwardNN,3.096,49.58,349.86,52.72,-11333.34,-0.407,0.09259,137.5426,410.1,0.4959,0.1597,0.2712,-0.635,354.65,800.0
11,2017,HBA,2.963,45.37,782.38,43.86,-36641.34,-0.3225,0.05986,901.9926,347.3,0.4959,0.0524,0.039,-0.475,468.58,1312.0
11,2017,Alaton,2.969,45.3,753.38,45.63,-34968.02,-0.3237,0.06161,814.5289,347.3,0.4959,0.0652,0.0874,-0.475,468.58,1312.0
11,2017,Benth,2.967,45.32,780.09,44.85,-37296.11,-0.3271,0.06129,902.3276,347.3,0.4959,0.0635,0.0413,-0.475,468.58,1312.0
11,2017,XGB,2.956,45.3,745.61,45.32,-33562.85,-0.3143,0.06037,772.5708,347.3,0.4959,0.0524,0.0623,-0.475,468.58,1312.0
11,2017,WaveletFNN,3.163,50.28,965.53,45.68,-53174.33,-0.3939,0.05704,1547.189,347.3,0.4959,0.0902,0.0747,-0.475,468.58,1312.0
11,2017,LSTM,2.849,41.89,829.54,45.61,-39865.01,-0.3447,0.05793,1731.1981,347.3,0.4959,0.0738,0.0886,-0.475,468.58,1312.0
11,2017,FeedForwardNN,2.929,43.6,870.37,44.95,-44425.28,-0.3747,0.05864,2130.5354,347.3,0.4959,0.0792,0.098,-0.475,468.58,1312.0
11,2018,HBA,3.042,55.61,981.34,52.04,-14309.3,-0.1044,0.01486,1230.3492,411.5,0.4959,0.0068,0.0005,-0.43,580.07,1232.0
11,2018,Alaton,3.101,56.42,1034.11,55.72,-13157.74,-0.0894,0.0123,1454.6226,411.5,0.4959,0.0024,0.0053,-0.43,580.07,1232.0
11,2018,Benth,3.099,56.98,1056.42,52.76,-14143.2,-0.0956,0.01267,1577.1195,411.5,0.4959,0.0029,0.0054,-0.43,580.07,1232.0
11,2018,XGB,3.034,54.99,947.25,54.73,-11948.92,-0.0898,0.01332,1113.5805,411.5,0.4959,0.0039,0.0027,-0.43,580.07,1232.0
11,2018,WaveletFNN,3.269,62.51,1161.56,54.02,-19537.48,-0.1227,0.01448,1687.9874,411.5,0.4959,0.0099,0.0013,-0.43,580.07,1232.0
11,2018,LSTM,2.908,50.84,1016.84,58.25,-17276.49,-0.1234,0.01671,3988.9424,411.5,0.4959,0.0084,0.0102,-0.43,580.07,1232.0
11,2018,FeedForwardNN,3.053,54.47,1088.47,56.0,-17432.01,-0.1177,0.01471,3576.2889,411.5,0.4959,0.0061,0.0062,-0.43,580.07,1232.0
11,2019,HBA,3.08,56.2,1023.38,53.18,-13068.01,-0.0942,0.01248,1381.3676,415.0,0.4959,0.0047,0.002,-0.447,459.04,1408.0
11,2019,Alaton,3.105,57.1,1072.91,56.28,-11041.46,-0.0754,0.00959,1662.0703,415.0,0.4959,0.0014,0.0045,-0.447,459.04,1408.0
11,2019,Benth,3.101,56.92,1074.0,53.41,-10232.52,-0.0693,0.00887,1680.3802,415.0,0.4959,0.0015,0.0042,-0.447,459.04,1408.0
11,2019,XGB,3.066,55.74,1009.39,55.78,-11429.58,-0.0832,0.01122,1351.3779,415.0,0.4959,0.0029,0.004,-0.447,459.04,1408.0
11,2019,WaveletFNN,3.236,59.42,981.24,53.67,-12513.39,-0.0924,0.013,1026.4088,415.0,0.4959,0.0061,0.0008,-0.447,459.04,1408.0
11,2019,LSTM,2.954,50.26,859.01,57.56,-5931.37,-0.0503,0.00804,1017.4261,415.0,0.4959,-0.0004,0.0066,-0.447,459.04,1408.0
11,2019,FeedForwardNN,3.028,50.68,831.95,54.56,-9055.09,-0.0786,0.01308,869.4193,415.0,0.4959,0.0034,0.0008,-0.447,459.04,1408.0
11,2020,HBA,3.035,42.88,672.21,38.67,-8663.18,-0.0934,0.01917,642.6281,195.8,0.4137,0.0051,0.0017,-0.505,288.82,1248.0
11,2020,Alaton,3.118,44.63,773.16,42.91,-11075.09,-0.104,0.01853,925.4491,195.8,0.4137,0.0029,0.0043,-0.505,288.82,1248.0
11,2020,Benth,3.114,44.51,770.6,39.91,-10009.86,-0.0949,0.01686,901.3984,195.8,0.4137,0.0024,0.0019,-0.505,288.82,1248.0
11,2020,XGB,3.033,42.48,668.34,42.57,-10517.44,-0.1139,0.02355,636.1657,195.8,0.4137,0.0087,0.0065,-0.505,288.82,1248.0
11,2020,WaveletFNN,3.266,49.25,916.23,41.35,-15768.49,-0.1243,0.01878,1266.5741,195.8,0.4137,0.0077,0.0048,-0.505,288.82,1248.0
11,2020,LSTM,2.906,42.36,775.91,48.92,-9980.2,-0.0928,0.01658,1048.4792,195.8,0.4137,0.0021,0.0042,-0.505,288.82,1248.0
11,2020,FeedForwardNN,2.974,39.73,654.85,44.59,-8960.8,-0.0985,0.0209,682.4213,195.8,0.4137,0.0067,0.0115,-0.505,288.82,1248.0
11,2021,HBA,3.038,42.96,756.79,39.48,-9677.93,-0.0956,0.0169,912.1076,197.6,0.4137,0.0029,0.0036,-0.517,110.89,1328.0
11,2021,Alaton,3.081,44.73,838.88,43.02,-12186.17,-0.1094,0.01732,1262.4716,197.6,0.4137,0.0063,0.0013,-0.517,110.89,1328.0
11,2021,Benth,3.082,44.42,819.02,39.71,-12625.47,-0.1146,0.01882,1162.6815,197.6,0.4137,0.0063,0.0015,-0.517,110.89,1328.0
11,2021,XGB,3.02,42.65,738.43,43.16,-9765.31,-0.0995,0.01791,862.6719,197.6,0.4137,0.0065,0.0081,-0.517,110.89,1328.0
11,2021,WaveletFNN,3.293,49.75,936.72,42.1,-16160.9,-0.1308,0.01842,1400.2171,197.6,0.4137,0.0081,0.0039,-0.517,110.89,1328.0
11,2021,LSTM,2.959,33.78,128.04,39.78,-449.96,-0.0257,0.02745,28.592,197.6,0.4137,0.0002,0.001,-0.517,110.89,1328.0
11,2021,FeedForwardNN,3.054,32.99,76.83,35.76,-212.07,-0.0199,0.03593,12.0943,197.6,0.4137,0.0,0.0003,-0.517,110.89,1328.0
11,2022,HBA,3.079,44.21,713.78,40.43,-9994.9,-0.1085,0.01962,690.9718,195.9,0.4137,0.0039,0.0024,-0.534,274.67,1376.0
11,2022,Alaton,3.155,45.65,802.73,44.07,-14330.7,-0.1349,0.02224,978.3148,195.9,0.4137,0.0086,0.008,-0.534,274.67,1376.0
11,2022,Benth,3.15,46.01,805.7,41.18,-13133.82,-0.1258,0.02023,959.3901,195.9,0.4137,0.0071,0.0038,-0.534,274.67,1376.0
11,2022,XGB,3.068,43.85,734.46,44.59,-10508.29,-0.1089,0.01948,786.0945,195.9,0.4137,0.0042,0.0031,-0.534,274.67,1376.0
11,2022,WaveletFNN,3.346,50.27,845.85,41.44,-15591.79,-0.1397,0.02179,893.3232,195.9,0.4137,0.0082,0.0048,-0.534,274.67,1376.0
11,2022,LSTM,2.931,44.67,892.46,51.56,-18865.89,-0.1657,0.02369,2392.4448,195.9,0.4137,0.0124,0.0218,-0.534,274.67,1376.0
11,2022,FeedForwardNN,3.019,42.27,783.34,46.58,-11211.07,-0.1105,0.01827,1101.0612,195.9,0.4137,0.003,0.006,-0.534,274.67,1376.0
11,2023,HBA,3.132,44.98,746.84,41.18,-8495.44,-0.0864,0.01523,803.9487,197.4,0.4137,0.0031,0.0009,-0.45,204.18,1343.98
