model,region,he_sv_sim,he_sv_realized,n_calls,n_puts,n_obs
HBA,11,0.099,-0.3551,10,0,10
HBA,24,0.1052,-0.4036,10,0,10
HBA,27,0.0862,-0.7248,8,2,10
HBA,28,0.0314,-0.2877,6,4,10
HBA,32,0.0751,0.4091,7,3,10
HBA,44,0.0459,-0.0925,2,8,10
HBA,52,0.1949,-0.0563,10,0,10
HBA,53,0.0337,0.16,10,0,10
Alaton,11,0.1029,-0.4139,10,0,10
Alaton,24,0.1079,-0.4304,10,0,10
Alaton,27,0.1888,-0.9967,8,2,10
Alaton,28,0.0338,-0.271,6,4,10
Alaton,32,0.0702,0.3413,7,3,10
Alaton,44,0.0314,-0.0515,2,8,10
Alaton,52,0.1984,-0.1476,10,0,10
Alaton,53,0.0357,0.156,10,0,10
Benth,11,0.1053,-0.4474,10,0,10
Benth,24,0.1116,-0.4751,10,0,10
Benth,27,0.088,-0.7318,8,2,10
Benth,28,0.0329,-0.2746,6,4,10
Benth,32,0.0725,0.4048,7,3,10
Benth,44,0.041,-0.0649,2,8,10
Benth,52,0.2034,-0.1143,10,0,10
Benth,53,0.0368,0.1522,10,0,10
XGB,11,0.0996,-0.3937,10,0,10
XGB,24,0.1016,-0.2795,10,0,10
XGB,27,0.0804,-0.684,8,2,10
XGB,28,0.0326,-0.2794,6,4,10
XGB,32,0.0684,0.4117,7,3,10
XGB,44,0.0311,-0.0478,2,8,10
XGB,52,0.1984,-0.0677,10,0,10
XGB,53,0.0325,0.1302,10,0,10
WaveletFNN,11,0.1204,-0.2287,10,0,10
WaveletFNN,24,0.1339,-0.4257,10,0,10
WaveletFNN,27,0.1276,-1.2076,8,2,10
WaveletFNN,28,0.0428,-0.4071,6,4,10
WaveletFNN,32,0.0922,0.6582,7,3,10
WaveletFNN,44,0.1357,-0.6403,2,8,10
WaveletFNN,52,0.2634,-0.8272,10,0,10
WaveletFNN,53,0.0374,0.2394,10,0,10
LSTM,11,0.0602,0.0107,10,0,10
LSTM,24,0.0609,-0.025,10,0,10
LSTM,27,0.0602,-0.0105,8,2,10
LSTM,28,0.0181,0.0365,6,4,10
LSTM,32,0.0733,0.432,7,3,10
LSTM,44,0.0887,-0.057,2,8,10
LSTM,52,0.1574,-0.041,10,0,10
LSTM,53,0.0223,0.1303,10,0,10
FeedForwardNN,11,0.0749,-0.0492,10,0,10
FeedForwardNN,24,0.0622,-0.029,10,0,10
FeedForwardNN,27,0.0765,0.0467,8,2,10
FeedForwardNN,28,0.0221,-0.0654,6,4,10
FeedForwardNN,32,0.095,0.5437,7,3,10
FeedForwardNN,44,0.0806,-0.0173,2,8,10
FeedForwardNN,52,0.1809,0.0065,10,0,10
FeedForwardNN,53,0.0217,0.0573,10,0,10
