region,oos_year,model,win_label,win_start,win_end,win_corr,instrument,n_win_days,K,yield_r2,yield_c,cdd_mean,cdd_std,rev_mean,rev_std,N_var,V_var,HE_var_sd,N_sv,V_sv,HE_sd,HE_var5,HE_var10,HE_es5,HE_es10,HE_sv,actual_cCDD,actual_payoff
11,2015,HBA,Mar–Jun,60,181,-0.743,call,122,409.3,0.636,-8.22558e-07,475.95,59.11,1295.11,81.02,0.05546,1399.6721,0.5278,0.05266,1399.6721,0.3118,0.3232,0.1736,0.435,0.3584,0.4712,446.56,745.4
11,2015,Alaton,Mar–Jun,60,181,-0.743,call,122,409.3,0.636,-8.22558e-07,484.56,59.45,1286.1,81.98,0.05511,1552.9925,0.5395,0.05222,1552.9925,0.3203,0.3471,0.1971,0.437,0.371,0.4792,446.56,745.4
11,2015,Benth,Mar–Jun,60,181,-0.743,call,122,409.3,0.636,-8.22558e-07,493.27,59.49,1278.84,83.09,0.05623,1711.3068,0.5691,0.05401,1711.3068,0.3429,0.3457,0.2251,0.4418,0.3776,0.5087,446.56,745.4
11,2015,XGB,Mar–Jun,60,181,-0.743,call,122,409.3,0.636,-8.22558e-07,481.78,58.7,1288.94,81.65,0.05539,1500.7558,0.5296,0.05267,1500.7558,0.3132,0.3291,0.1801,0.4363,0.3622,0.4692,446.56,745.4
11,2015,WaveletFNN,Mar–Jun,60,181,-0.743,call,122,409.3,0.636,-8.22558e-07,558.79,66.24,1207.8,89.97,0.0561,2979.3162,0.6716,0.05415,2979.3162,0.4262,0.4471,0.3077,0.5312,0.4686,0.6245,446.56,745.4
11,2015,LSTM,Mar–Jun,60,181,-0.743,call,122,409.3,0.636,-8.22558e-07,521.23,51.94,1249.58,77.19,0.05434,2232.5819,0.522,0.05216,2232.5819,0.308,0.3237,0.1566,0.4319,0.3529,0.4511,446.56,745.4
11,2015,FeedForwardNN,Mar–Jun,60,181,-0.743,call,122,409.3,0.636,-8.22558e-07,541.06,53.0,1228.57,77.94,0.05503,2624.2563,0.5546,0.05281,2624.2563,0.3319,0.3429,0.1856,0.4492,0.3745,0.4884,446.56,745.4
11,2016,HBA,Mar–Jun,60,181,-0.635,call,122,410.1,0.626,-8.1363e-07,487.59,57.39,1318.28,84.97,0.05526,1586.0135,0.4817,0.05262,1586.0135,0.2793,0.3206,0.2141,0.4346,0.3639,0.4482,354.65,0.0
11,2016,Alaton,Mar–Jun,60,181,-0.635,call,122,410.1,0.626,-8.1363e-07,497.54,58.35,1307.75,86.12,0.05506,1771.8407,0.4998,0.05211,1771.8407,0.2917,0.3416,0.2299,0.4395,0.3744,0.4588,354.65,0.0
11,2016,Benth,Mar–Jun,60,181,-0.635,call,122,410.1,0.626,-8.1363e-07,504.75,58.68,1298.53,87.1,0.05588,1909.2402,0.5174,0.05304,1909.2402,0.3044,0.3657,0.2513,0.4562,0.3915,0.4822,354.65,0.0
