region,year,contract,itype,model,timing,Y_actual,Y_pred,delta,delta_sq
11,2005,Summer,CDD,HBA,180,249.87857142857143,196.79291666666668,-0.21244580701102433,0.045133220916565395
11,2005,Summer,CDD,Alaton,180,249.87857142857143,204.2093609077509,-0.18276561395291643,0.03340326964358648
11,2005,Summer,CDD,Benth,180,249.87857142857143,211.58849715985224,-0.15323472537005653,0.023480881059236645
11,2005,Summer,CDD,HBA,mid,249.87857142857143,270.1821726190476,0.0812538709277839,0.006602191540748965
11,2005,Summer,CDD,Alaton,mid,249.87857142857143,257.95291170230587,0.03231305600785584,0.0010441335885668283
11,2005,Summer,CDD,Benth,mid,249.87857142857143,276.45388722686994,0.10635292032592375,0.011310943661852285
11,2006,Summer,CDD,HBA,180,292.6610714285714,204.04059523809525,-0.3028092385430407,0.09169343494701612
11,2006,Summer,CDD,Alaton,180,292.6610714285714,208.65765367798795,-0.2870331108286324,0.08238800671196198
11,2006,Summer,CDD,Benth,180,292.6610714285714,215.42665364524302,-0.2639039671601102,0.06964530388284454
11,2006,Summer,CDD,HBA,mid,292.6610714285714,254.81636904761905,-0.12931238922969965,0.01672169400829334
11,2006,Summer,CDD,Alaton,mid,292.6610714285714,227.75164062662134,-0.22179045024712912,0.04919100382082426
11,2006,Summer,CDD,Benth,mid,292.6610714285714,250.5010332622422,-0.14405755422315888,0.020752578928758363
11,2007,Summer,CDD,HBA,180,87.52595238095236,210.37489880952384,1.403571661738424,1.970013409635161
11,2007,Summer,CDD,Alaton,180,87.52595238095236,210.79010437217485,1.4083154611642659,1.9833524381543188
11,2007,Summer,CDD,Benth,180,87.52595238095236,219.18246813304884,1.5041997507101441,2.2626168900364596
11,2007,Summer,CDD,HBA,mid,87.52595238095236,189.9723273809524,1.1704685549048046,1.3699966380209416
11,2007,Summer,CDD,Alaton,mid,87.52595238095236,168.23419791425965,0.922106453432562,0.8502803114619777
11,2007,Summer,CDD,Benth,mid,87.52595238095236,188.33012324202107,1.1517060725294774,1.326426877501274
11,2008,Summer,CDD,HBA,180,141.61190476190475,207.5891130952381,0.4659015669922829,0.21706427012586468
11,2008,Summer,CDD,Alaton,180,141.61190476190475,214.67758366880548,0.5159571790927301,0.2662118106573276
11,2008,Summer,CDD,Benth,180,141.61190476190475,220.45729027690817,0.5567708848176848,0.3099938181806676
11,2008,Summer,CDD,HBA,mid,141.61190476190475,188.33837500000004,0.329961455688754,0.10887456224024158
11,2008,Summer,CDD,Alaton,mid,141.61190476190475,146.11322026291714,0.031786278904874184,0.0010103675266184494
11,2008,Summer,CDD,Benth,mid,141.61190476190475,173.535575255233,0.22543069770159666,0.050818999466228656
11,2009,Summer,CDD,HBA,180,194.51011904761904,209.62429166666666,0.07770378576215586,0.006037878321771016
11,2009,Summer,CDD,Alaton,180,194.51011904761904,217.95201565955523,0.12051761999177664,0.014524496728482281
11,2009,Summer,CDD,Benth,180,194.51011904761904,224.81683179287455,0.15581046833782444,0.024276902043652192
11,2009,Summer,CDD,HBA,mid,194.51011904761904,207.01426785714287,0.06428533831940446,0.004132604722840291
11,2009,Summer,CDD,Alaton,mid,194.51011904761904,168.3470314555296,-0.13450759127695733,0.018092292111129008
11,2009,Summer,CDD,Benth,mid,194.51011904761904,196.5362896761947,0.010416787766602686,0.00010850946737444337
11,2010,Summer,CDD,HBA,180,187.83083333333332,207.17354761904767,0.10297944135395423,0.0106047653415725
11,2010,Summer,CDD,Alaton,180,187.83083333333332,221.22728086149004,0.17780066741699346,0.03161307733392832
11,2010,Summer,CDD,Benth,180,187.83083333333332,226.94756224325326,0.20825509963266564,0.04337018652301149
11,2010,Summer,CDD,HBA,mid,187.83083333333332,249.44427380952376,0.32802623181066537,0.10760120875590437
11,2010,Summer,CDD,Alaton,mid,187.83083333333332,208.97610614431184,0.1125761539557946,0.012673390439478767
11,2010,Summer,CDD,Benth,mid,187.83083333333332,238.04692745364508,0.2673474489206783,0.0714746584443947
11,2011,Summer,CDD,HBA,180,139.0723214285714,204.64800595238097,0.47152218248898464,0.22233316857917534
11,2011,Summer,CDD,Alaton,180,139.0723214285714,224.89295137487446,0.6170935313708787,0.3808044264597817
11,2011,Summer,CDD,Benth,180,139.0723214285714,231.51517607436563,0.6647106605844182,0.4418402622945736
11,2011,Summer,CDD,HBA,mid,139.0723214285714,182.77461607142854,0.31424149819274405,0.09874771918642036
11,2011,Summer,CDD,Alaton,mid,139.0723214285714,145.04450398985833,0.04294299900900329,0.0018441011638872572
11,2011,Summer,CDD,Benth,mid,139.0723214285714,175.93490894343597,0.2650605608377471,0.07025710091162103
11,2012,Summer,CDD,HBA,180,158.8070238095238,202.5245386904762,0.27528703600281573,0.07578295219121557
11,2012,Summer,CDD,Alaton,180,158.8070238095238,228.28136377620086,0.4374764937979439,0.19138568262574246
11,2012,Summer,CDD,Benth,180,158.8070238095238,234.13530139615773,0.474338450401187,0.22499696552899934
11,2012,Summer,CDD,HBA,mid,158.8070238095238,166.76838095238094,0.05013227344658347,0.002513244840923018
11,2012,Summer,CDD,Alaton,mid,158.8070238095238,124.44841405657284,-0.21635447179062642,0.04680925746380096
11,2012,Summer,CDD,Benth,mid,158.8070238095238,158.83873081358445,0.0001996574414660621,3.986309393277401e-08
11,2013,Summer,CDD,HBA,180,204.3125,199.17738988095238,-0.025133607190199445,0.0006316982103912452
11,2013,Summer,CDD,Alaton,180,204.3125,231.8056328655588,0.13456412537440834,0.01810750383777949
11,2013,Summer,CDD,Benth,180,204.3125,239.70265970429378,0.1732158321409301,0.030003724504274867
11,2013,Summer,CDD,HBA,mid,204.3125,172.3150267857143,-0.15661045317484584,0.024526834043630583
11,2013,Summer,CDD,Alaton,mid,204.3125,158.34196266953143,-0.22500110042444085,0.05062549519220932
11,2013,Summer,CDD,Benth,mid,204.3125,187.10479447291004,-0.08422248040178626,0.00709342620502927
11,2014,Summer,CDD,HBA,180,138.64488095238093,203.40426488095238,0.4670881714761164,0.21817135993290193
11,2014,Summer,CDD,Alaton,180,138.64488095238093,235.38114852445884,0.6977269330650803,0.486822873124403
11,2014,Summer,CDD,Benth,180,138.64488095238093,241.52072994995058,0.7420097178553853,0.5505784213918284
11,2014,Summer,CDD,HBA,mid,138.64488095238093,165.18297321428577,0.19141054526938955,0.03663799684032503
11,2014,Summer,CDD,Alaton,mid,138.64488095238093,131.64974576108108,-0.050453613168036156,0.0025455670817098315
11,2014,Summer,CDD,Benth,mid,138.64488095238093,164.99378095391555,0.19004596361970572,0.03611746828814251
11,2015,Summer,CDD,HBA,180,239.63440476190476,197.4390089285714,-0.17608237796762835,0.03100500383073473
11,2015,Summer,CDD,Alaton,180,239.63440476190476,237.39546362603232,-0.009343153951941909,8.729452576968771e-05
11,2015,Summer,CDD,Benth,180,239.63440476190476,246.50467885601768,0.02866981517507497,0.000821958302172959
11,2015,Summer,CDD,HBA,mid,239.63440476190476,233.04789583333334,-0.027485656473725563,0.000755461311791652
11,2015,Summer,CDD,Alaton,mid,239.63440476190476,222.74492789163082,-0.07048018370757293,0.004967456295453229
11,2015,Summer,CDD,Benth,mid,239.63440476190476,253.06233084456386,0.05603505096023577,0.0031399269361162196
11,2016,Summer,CDD,HBA,180,222.2175595238095,194.19822916666666,-0.12608963223781924,0.015898595357868507
11,2016,Summer,CDD,Alaton,180,222.2175595238095,241.08790666722072,0.08491834391417365,0.007211125133125873
