region,year,model,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
11,2010,HBA,,,,,,,,,,,,,,,,,
11,2010,Alaton,,,,,,,,,,,,,,,,,
11,2010,Benth,,,,,,,,,,,,,,,,,
11,2010,XGB,,,,,,,,,,,,,,,,,
11,2010,RandomForest,,,,,,,,,,,,,,,,,
11,2010,SVM,,,,,,,,,,,,,,,,,
11,2010,KNN,,,,,,,,,,,,,,,,,
11,2010,LSTM,,,,,,,,,,,,,,,,,
11,2010,FeedForwardNN,,,,,,,,,,,,,,,,,
11,2011,HBA,,,,,,,,,,,,,,,,,
11,2011,Alaton,,,,,,,,,,,,,,,,,
11,2011,Benth,,,,,,,,,,,,,,,,,
11,2011,XGB,,,,,,,,,,,,,,,,,
11,2011,RandomForest,,,,,,,,,,,,,,,,,
11,2011,SVM,2.2530093058893286,2.0446393778391005,1.6662604627795827,1.3507272502677015,0.9937043883388604,0.769448158324218,0.8461126793871532,0.8544203465364834,0.7178074417037392,0.48912995820643307,0.5001081891562046,0.7316595501043088,0.7565478120742251,0.9948313406821411,1.2219465019265963,1.521522639356866,1.8808709116177744
11,2011,KNN,2.5340402807821794,2.2775724279818923,1.8645110392397095,1.5226083273129132,1.1291676820376773,0.8874069756807575,0.9608613796357167,0.9683763454310219,0.8275140434928641,0.5852083430686288,0.6028009079906655,0.8316052711773052,0.8524649748539668,1.0910699115709264,1.3228974877925717,1.6206060280832926,1.9152984307786278
11,2011,LSTM,0.2767476433426048,0.057122629821706045,0.05886459287680277,0.037958461482481526,0.040340216918897685,0.04115308415924786,0.04745369872737871,0.04747595562688147,0.03274112004157459,0.04216916064343215,0.058792522569966026,0.04564890702508721,0.05063014470845875,0.05729541229804739,0.1018933386265416,0.06821251864647092,0.02277630135313527
11,2011,FeedForwardNN,0.4714747443633591,0.1889846016253109,0.06453066170617554,0.018823267152397898,0.01293173843725447,0.03221542129899641,0.03699482417892249,0.03690514588751689,0.008235248109396692,0.08864895073481,0.07280824713935695,0.04966279039801675,0.07269663061216651,0.06483277005670442,0.07986331999186215,0.006795106257906168,0.03424809072401392
11,2012,HBA,,,,,,,,,,,,,,,,,
11,2012,Alaton,,,,,,,,,,,,,,,,,
11,2012,Benth,,,,,,,,,,,,,,,,,
11,2012,XGB,,,,,,,,,,,,,,,,,
11,2012,RandomForest,,,,,,,,,,,,,,,,,
11,2012,SVM,1.6427153218006885,2.018171035547739,1.5356876519475497,1.2822470657070566,0.9060854231221377,0.7113393712636674,0.7839646210558554,0.7929603216808784,0.6267899636063015,0.5015743298506002,0.5067542514652138,0.6804134323040238,0.7199929244279042,0.941072954498026,1.1776573984458367,1.5228636778045488,1.8059346941314456
11,2012,KNN,2.1076983115299246,2.659759858273465,1.9301570846042015,1.6384992286637639,1.1384514123872662,0.8715093590121284,0.9455562660605437,0.9539795080437756,0.7872458584684932,0.5839804959273003,0.6006919616071844,0.8056885060898276,0.8299238208224657,1.085349818447405,1.345434600248257,1.7161681698025038,1.968741636958206
11,2012,LSTM,0.11479753811099086,0.40773239465365113,0.07961422256966538,0.13761177297453323,0.08569326698282864,0.06129372365204679,0.06856457337761479,0.06311467394727509,0.08838996884482661,0.035012465734885034,0.05669615704039565,0.05955462954752992,0.04765422541704363,0.06939401546745663,0.062394931929129864,0.08993468579924628,0.031233368748189487
11,2012,FeedForwardNN,0.2509885216923167,0.21112155552434894,0.09341098955303441,0.025808409451719395,0.03700518619725502,0.042285297753941,0.04248462478459354,0.03623515745913168,0.09485861184733416,0.047972616232462954,0.06317056620516824,0.05520982961528535,0.03979520995199137,0.032356221369490165,0.003984795334873497,0.02430228635344642,0.1495920780894127
11,2013,HBA,,,,,,,,,,,,,,,,,
11,2013,Alaton,,,,,,,,,,,,,,,,,
11,2013,Benth,,,,,,,,,,,,,,,,,
11,2013,XGB,,,,,,,,,,,,,,,,,
11,2013,RandomForest,,,,,,,,,,,,,,,,,
11,2013,SVM,2.2349973301292025,2.426821430369758,1.8998096468557752,1.397882778405469,0.8950273658775957,0.6878489889259561,0.7718901511535519,0.7801558039517408,0.6114381981405909,0.5120409438038471,0.5007213637257509,0.6822527312670247,0.7241834219570426,0.9391492476675917,1.1672602622013744,1.5538188211146642,1.8410009334917492
11,2013,KNN,3.242850903669437,3.205009076818213,2.545870503124238,1.8318466157453377,1.1629596358898342,0.8621525209243948,0.9403447070019998,0.9484719554217467,0.7726476754602885,0.6068927220060941,0.6069382711233363,0.8066873254044109,0.8361576760972236,1.0724402582952743,1.3191528804201056,1.7288822995988642,1.9876217469947708
11,2013,LSTM,0.8911907288756715,0.8217699901951985,0.6029260108971929,0.27786359724181314,0.18894805417267507,0.10832236340106541,0.10425176993408691,0.10412416048869581,0.072107155968658,0.03990477422145186,0.07257855268917938,0.0566035353959721,0.05283221088119949,0.07967920388215795,0.1109680339685128,0.29009496738283636,0.22988021115191035
11,2013,FeedForwardNN,0.9136388747114041,0.45550807407319427,0.3412757900512198,0.13683022548019544,0.15944884387909922,0.10484061373006012,0.10132571043919888,0.09865583198791562,0.10813011213662291,0.05850099889505316,0.09280505040956936,0.07237333427361421,0.060792119908062305,0.08265237606656126,0.0907279229846222,0.2517109472388636,0.12888282493211772
11,2014,HBA,,,,,,,,,,,,,,,,,
11,2014,Alaton,,,,,,,,,,,,,,,,,
11,2014,Benth,,,,,,,,,,,,,,,,,
11,2014,XGB,,,,,,,,,,,,,,,,,
