region,year,model,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
11,2010,HBA,,,,,,,,,,,,,,,,,
11,2010,Alaton,,,,,,,,,,,,,,,,,
11,2010,Benth,,,,,,,,,,,,,,,,,
11,2010,XGB,,,,,,,,,,,,,,,,,
11,2010,RandomForest,,,,,,,,,,,,,,,,,
11,2010,SVM,,,,,,,,,,,,,,,,,
11,2010,KNN,,,,,,,,,,,,,,,,,
11,2010,LSTM,,,,,,,,,,,,,,,,,
11,2010,FeedForwardNN,,,,,,,,,,,,,,,,,
11,2011,HBA,,,,,,,,,,,,,,,,,
11,2011,Alaton,,,,,,,,,,,,,,,,,
11,2011,Benth,,,,,,,,,,,,,,,,,
11,2011,XGB,,,,,,,,,,,,,,,,,
11,2011,RandomForest,,,,,,,,,,,,,,,,,
11,2011,SVM,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
11,2011,KNN,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
11,2011,LSTM,,,,,0.9010825653540017,0.4393992169392498,0.49274967002630066,0.49274967002630066,0.9010825653540017,0.19636201090184102,0.211192499034312,0.49274967002630066,0.3326089408331233,0.9441783602682788,,,
11,2011,FeedForwardNN,,,,,0.874025251290087,0.09023799467028792,0.013516214645674582,0.013516214645674582,0.874025251290087,0.5978409783764342,0.5542896964665385,0.013516214645674773,0.32269785954694663,0.32854286673253563,,,
11,2012,HBA,,,,,,,,,,,,,,,,,
11,2012,Alaton,,,,,,,,,,,,,,,,,
11,2012,Benth,,,,,,,,,,,,,,,,,
11,2012,XGB,,,,,,,,,,,,,,,,,
11,2012,RandomForest,,,,,,,,,,,,,,,,,
11,2012,SVM,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
11,2012,KNN,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
11,2012,LSTM,,,,,0.6998169929328644,0.2485455400236257,0.25019805308711773,0.25019805308711773,0.6998169929328644,0.1349659203672077,0.12312172880830512,0.25019805308711773,0.15424813241946206,,,,
11,2012,FeedForwardNN,,,,,0.8096727525078532,0.1445504729093502,0.1464316800802008,0.1464316800802008,0.8096727525078532,0.02285283845632918,0.2155370965836599,0.146431680080201,0.06376588912724832,,,,
11,2013,HBA,,,,,,,,,,,,,,,,,
11,2013,Alaton,,,,,,,,,,,,,,,,,
11,2013,Benth,,,,,,,,,,,,,,,,,
11,2013,XGB,,,,,,,,,,,,,,,,,
11,2013,RandomForest,,,,,,,,,,,,,,,,,
11,2013,SVM,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
11,2013,KNN,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
11,2013,LSTM,,,,,0.3351167182431838,0.036437965194374415,0.027391089912954407,0.027391089912954407,0.3351167182431838,0.07824392310959746,0.05451537431214832,0.027391089912954126,0.01552342900192793,,,,
11,2013,FeedForwardNN,,,,,0.13298118112891932,0.24877532229313826,0.2378749934990433,0.2378749934990433,0.13298118112891932,0.26180405052111716,0.03923900878781057,0.23787499349904298,0.19240405879037878,,,,
11,2014,HBA,,,,,,,,,,,,,,,,,
11,2014,Alaton,,,,,,,,,,,,,,,,,
11,2014,Benth,,,,,,,,,,,,,,,,,
11,2014,XGB,,,,,,,,,,,,,,,,,
11,2014,RandomForest,,,,,,,,,,,,,,,,,
11,2014,SVM,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
11,2014,KNN,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
11,2014,LSTM,,,,,0.7152546410154375,0.11252327828951175,0.1277690488243074,0.1277690488243074,0.7152546410154375,0.0075865718177833075,0.26770322467218405,0.1277690488243074,0.015181955641954578,0.7516628904508518,,,
11,2014,FeedForwardNN,,,,,0.8591397197513988,0.026542952199305938,0.04326576014816661,0.04326576014816661,0.8591397197513988,0.13937353918455758,0.024820459879041815,0.04326576014816661,0.14620955345872322,0.9526710885874289,,,
11,2015,HBA,,,,,,,,,,,,,,,,,
11,2015,Alaton,,,,,,,,,,,,,,,,,
11,2015,Benth,,,,,,,,,,,,,,,,,
11,2015,XGB,,,,,0.6494163140991663,0.3443552091245013,0.3443552091245014,0.3443552091245014,0.6494163140991663,0.28732519553212127,0.4052024049738489,0.3443552091245012,0.15382794484154577,,,,
11,2015,RandomForest,,,,,,,,,,,,,,,,,
11,2015,SVM,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
11,2015,KNN,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
11,2015,LSTM,,,,,0.4274614113038511,0.12105859532441138,0.12105859532441149,0.12105859532441149,0.42746141130385074,0.22360232483820866,0.05789308189195623,0.12105859532441127,0.11775950845005113,,,,
11,2015,FeedForwardNN,,,,,0.7504430188364136,0.0008092722346328636,0.0008092722346328636,0.0008092722346328636,0.7504430188364136,0.14125303144361673,0.15640316630076237,0.0008092722346327451,0.03579952535197296,,,,
11,2016,HBA,,,,,,,,,,,,,,,,,
11,2016,Alaton,,,,,,,,,,,,,,,,,
11,2016,Benth,,,,,,,,,,,,,,,,,
