,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CAT,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,HDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD,CDD
,n_obs,control_model,HBA_avg_rank,Alaton_avg_rank,Benth_avg_rank,XGB_avg_rank,RandomForest_avg_rank,SVM_avg_rank,KNN_avg_rank,LSTM_avg_rank,FeedForwardNN_avg_rank,HBA_wilcoxon_p,Alaton_wilcoxon_p,Benth_wilcoxon_p,XGB_wilcoxon_p,RandomForest_wilcoxon_p,SVM_wilcoxon_p,KNN_wilcoxon_p,LSTM_wilcoxon_p,FeedForwardNN_wilcoxon_p,n_obs,control_model,HBA_avg_rank,Alaton_avg_rank,Benth_avg_rank,XGB_avg_rank,RandomForest_avg_rank,SVM_avg_rank,KNN_avg_rank,LSTM_avg_rank,FeedForwardNN_avg_rank,HBA_wilcoxon_p,Alaton_wilcoxon_p,Benth_wilcoxon_p,XGB_wilcoxon_p,RandomForest_wilcoxon_p,SVM_wilcoxon_p,KNN_wilcoxon_p,LSTM_wilcoxon_p,FeedForwardNN_wilcoxon_p,n_obs,control_model,HBA_avg_rank,Alaton_avg_rank,Benth_avg_rank,XGB_avg_rank,RandomForest_avg_rank,SVM_avg_rank,KNN_avg_rank,LSTM_avg_rank,FeedForwardNN_avg_rank,HBA_wilcoxon_p,Alaton_wilcoxon_p,Benth_wilcoxon_p,XGB_wilcoxon_p,RandomForest_wilcoxon_p,SVM_wilcoxon_p,KNN_wilcoxon_p,LSTM_wilcoxon_p,FeedForwardNN_wilcoxon_p
horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,120,HBA,,,,1.898,,3.748,4.678,1.992,1.794,,,,,,,,,,120,HBA,,,,1.898,,3.748,4.678,1.992,1.794,,,,,,,,,,120,HBA,,,,,,,,,,,,,,,,,,
60,120,HBA,,,,1.975,,3.776,4.652,2.142,1.589,,,,,,,,,,120,HBA,,,,1.975,,3.776,4.652,2.142,1.589,,,,,,,,,,120,HBA,,,,,,,,,,,,,,,,,,
90,120,HBA,,,,1.92,,3.784,4.64,2.079,1.69,,,,,,,,,,120,HBA,,,,1.92,,3.784,4.64,2.079,1.69,,,,,,,,,,120,HBA,,,,,,,,,,,,,,,,,,
120,120,HBA,,,,1.773,,3.803,4.623,2.215,1.66,,,,,,,,,,120,HBA,,,,1.773,,3.803,4.623,2.215,1.66,,,,,,,,,,120,HBA,,,,,,,,,,,,,,,,,,
180,120,HBA,,,,1.836,,3.829,4.597,2.206,1.624,,,,,,,,,,120,HBA,,,,1.66,,3.829,4.597,2.338,1.617,,,,,,,,,,120,HBA,,,,2.378,,3.592,4.592,1.464,2.347,,,,,,,,,
270,120,HBA,,,,1.777,,3.848,4.579,2.269,1.603,,,,,,,,,,120,HBA,,,,1.539,,3.848,4.579,2.475,1.568,,,,,,,,,,120,HBA,,,,2.623,,3.668,4.668,1.395,1.965,,,,,,,,,
360,120,HBA,,,,1.862,,3.848,4.58,2.232,1.581,,,,,,,,,,120,HBA,,,,1.562,,3.848,4.58,2.429,1.598,,,,,,,,,,120,HBA,,,,2.637,,3.671,4.671,1.375,1.972,,,,,,,,,
365,120,HBA,,,,1.904,,3.853,4.585,2.234,1.554,,,,,,,,,,120,HBA,,,,1.55,,3.853,4.585,2.45,1.593,,,,,,,,,,120,HBA,,,,2.642,,3.674,4.674,1.375,1.972,,,,,,,,,
ISL,120,HBA,,,,2.241,,3.84,4.591,1.971,1.572,,,,,,,,,,120,HBA,,,,1.939,,3.84,4.591,2.224,1.536,,,,,,,,,,120,HBA,,,,2.373,,3.597,4.597,1.465,2.342,,,,,,,,,
IISL,120,HBA,,,,1.945,,3.867,4.564,2.028,1.727,,,,,,,,,,120,HBA,,,,1.914,,3.867,4.564,2.259,1.517,,,,,,,,,,120,HBA,,,,2.471,,3.668,4.668,1.549,1.94,,,,,,,,,
mid90,120,HBA,,,,2.165,,3.859,4.573,2.017,1.58,,,,,,,,,,120,HBA,,,,1.974,,3.859,4.573,2.33,1.404,,,,,,,,,,120,HBA,,,,2.4,,3.679,4.679,1.55,1.972,,,,,,,,,
-270,120,HBA,,,,2.014,,3.853,4.583,2.041,1.667,,,,,,,,,,120,HBA,,,,1.761,,3.853,4.583,2.328,1.561,,,,,,,,,,120,HBA,,,,2.637,,3.672,4.672,1.38,1.972,,,,,,,,,
-180,120,HBA,,,,1.92,,3.876,4.568,2.039,1.741,,,,,,,,,,120,HBA,,,,1.86,,3.876,4.568,2.226,1.597,,,,,,,,,,120,HBA,,,,2.549,,3.658,4.658,1.495,1.958,,,,,,,,,
-120,120,HBA,,,,1.948,,3.866,4.576,1.993,1.765,,,,,,,,,,120,HBA,,,,1.835,,3.866,4.576,2.137,1.703,,,,,,,,,,120,HBA,,,,2.5,,3.34,4.34,1.635,2.553,,,,,,,,,
