region,year,model,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
11,2010,HBA,,,,,,,,,,,,,,,,,
11,2010,Alaton,,,,,,,,,,,,,,,,,
11,2010,Benth,,,,,,,,,,,,,,,,,
11,2010,XGB,,,,,,,,,,,,,,,,,
11,2010,RandomForest,,,,,,,,,,,,,,,,,
11,2010,SVM,,,,,,,,,,,,,,,,,
11,2010,KNN,,,,,,,,,,,,,,,,,
11,2010,LSTM,,,,,,,,,,,,,,,,,
11,2010,FeedForwardNN,,,,,,,,,,,,,,,,,
11,2011,HBA,,,,,,,,,,,,,,,,,
11,2011,Alaton,,,,,,,,,,,,,,,,,
11,2011,Benth,,,,,,,,,,,,,,,,,
11,2011,XGB,,,,,,,,,,,,,,,,,
11,2011,RandomForest,,,,,,,,,,,,,,,,,
11,2011,SVM,5.8215531130805855,3.8542939319984555,3.009167746994484,2.4862460422210964,1.8669259841504953,1.405210155906555,1.3819946595793917,1.3985044890969096,0.7246842213065068,0.48177849941867523,0.4943534306376216,0.8691081052150582,0.9573890930626793,1.2145674171937828,1.414262356162857,1.7026320847853176,2.0964594803864136
11,2011,KNN,7.655552098926398,4.879407225504951,3.753486053517565,3.080219233829505,2.297128186726728,1.7247700919611366,1.6491644773647351,1.6611750950488713,0.8407703199358916,0.5800539024299529,0.5997125286639327,0.9721869215380978,1.056069515201988,1.3135278505583272,1.5162940084733774,1.8005166757982167,2.1190650737680943
11,2011,LSTM,2.957651518402227,1.8199283194683882,1.330803684041006,1.046493027616538,0.7482885112772824,0.539906023506853,0.47850283479916217,0.4805432610572633,0.16577333851355872,0.12314104796599425,0.12948153856796774,0.20325559843193444,0.22223371067336292,0.2737446847817206,0.31866192270518856,0.34335734001577667,0.3983581440696685
11,2011,FeedForwardNN,2.0233653416724455,1.3652676016802003,1.0216217753098007,0.8131312697993575,0.5871167222742082,0.4451660970305977,0.41356706669267707,0.41563482549170844,0.15261166923861558,0.16126484654337664,0.1460706771670355,0.21694285146468104,0.25083662185076494,0.3008073202330246,0.34121869115404785,0.3663696257542273,0.3937465848211055
11,2012,HBA,,,,,,,,,,,,,,,,,
11,2012,Alaton,,,,,,,,,,,,,,,,,
11,2012,Benth,,,,,,,,,,,,,,,,,
11,2012,XGB,,,,,,,,,,,,,,,,,
11,2012,RandomForest,,,,,,,,,,,,,,,,,
11,2012,SVM,3.066311556687304,2.2561309388078423,1.9041520778848353,1.621995154657164,1.2727628820349284,1.0131591260701986,1.1832269545447887,1.1893486024724607,0.6413736861850214,0.49395161414073907,0.4994936041842176,0.9554989019066631,1.1250024159232386,1.4501962968790958,1.7522301577047787,2.223657197393964,3.084963177644846
11,2012,KNN,3.928734286625425,2.9488388657938094,2.4411390934780237,2.09883913767512,1.6349914311499882,1.2829738918688267,1.4660948896927828,1.4698414907448876,0.8288437688219534,0.5789388133065031,0.5972718335983401,1.1511599434051902,1.3285383340823285,1.7180949616719274,2.0732392708131266,2.63054990133864,3.6430887664708256
11,2012,LSTM,1.576611596839164,1.5646832567108226,1.1298602300364033,0.9327777350122577,0.6803398524712958,0.49649660603941576,0.6271221839419623,0.6245285117418211,0.23081947490618807,0.1288101131756558,0.14435968722914339,0.46386272482193225,0.5837212282368482,0.8123959118343884,1.0311990617441096,1.407140744924422,2.375166048374116
11,2012,FeedForwardNN,1.0097623975203822,1.2004407219807602,0.9250410838733566,0.7821028938176634,0.5892581775343648,0.4398982056432676,0.6004896567168104,0.5996499284299281,0.253475271195373,0.141178261861073,0.16799878787266267,0.49935570782928707,0.624804929053731,0.8677712004151243,1.0992421797643896,1.5415759664670268,2.6719586950116954
11,2013,HBA,,,,,,,,,,,,,,,,,
11,2013,Alaton,,,,,,,,,,,,,,,,,
11,2013,Benth,,,,,,,,,,,,,,,,,
11,2013,XGB,,,,,,,,,,,,,,,,,
11,2013,RandomForest,,,,,,,,,,,,,,,,,
11,2013,SVM,2.901207531133599,7.13022843765393,5.17013987320598,4.088836666691369,2.897839830844332,2.09998098024432,1.9299025069147513,1.9287629919971911,0.6255397884826834,0.5042632790442958,0.4854251383041049,0.8676814578139999,1.0005730001551285,1.2542081428108909,1.4833464646934378,1.8203222421746668,2.2211289166434383
11,2013,KNN,4.183159627122612,8.860310146244627,6.541894215029676,5.18481554453978,3.6787406155582354,2.653382639844916,2.3920907457306515,2.3868758019994214,0.8155870160867958,0.6026666884182771,0.6006236693750303,1.019217341325566,1.145495540879651,1.4252177951648832,1.6757336231742548,2.037440024108733,2.4199592923018405
11,2013,LSTM,2.519082671907908,6.332596178340258,4.647452100228351,3.57986056392829,2.465172862711682,1.688857566120996,1.4042991064222146,1.3883726354615358,0.28289362519501277,0.13622697293962371,0.19934863083156304,0.3123716028086265,0.3458399231031216,0.4592091315290475,0.5578568182183957,0.729296331203935,0.8224830255188618
11,2013,FeedForwardNN,2.7405793341975837,4.5655474220009635,3.4306971579336234,2.6849829556903284,1.8831948511617642,1.310600099567025,1.1218274115700417,1.1092686234323796,0.33569254438990515,0.16541059637754676,0.23644010937002416,0.3376649502786364,0.3614994316044464,0.46808435323584924,0.563334843794287,0.7284262494509475,0.7883871259662887
11,2014,HBA,,,,,,,,,,,,,,,,,
11,2014,Alaton,,,,,,,,,,,,,,,,,
11,2014,Benth,,,,,,,,,,,,,,,,,
11,2014,XGB,,,,,,,,,,,,,,,,,
11,2014,RandomForest,,,,,,,,,,,,,,,,,
