region,year
11,2015
11,2016
11,2017
11,2018
11,2019
11,2020
11,2021
11,2022
11,2023
11,2024
24,2015
24,2016
24,2017
24,2018
24,2019
24,2020
24,2021
24,2022
24,2023
24,2024
27,2015
27,2016
27,2017
27,2018
27,2019
27,2020
27,2021
27,2022
27,2023
27,2024
28,2015
28,2016
28,2017
28,2018
28,2019
28,2020
28,2021
28,2022
28,2023
28,2024
32,2015
32,2016
32,2017
32,2018
32,2019
32,2020
32,2021
32,2022
32,2023
32,2024
44,2015
44,2016
44,2017
44,2018
44,2019
44,2020
44,2021
44,2022
44,2023
44,2024
52,2015
52,2016
52,2017
52,2018
52,2019
52,2020
52,2021
52,2022
52,2023
52,2024
53,2015
53,2016
53,2017
53,2018
53,2019
53,2020
53,2021
53,2022
53,2023
53,2024
