region,year,model,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
11,2010,HBA,,,,,,,,,,,,,,,,,
11,2010,Alaton,,,,,,,,,,,,,,,,,
11,2010,Benth,,,,,,,,,,,,,,,,,
11,2010,XGB,,,,,,,,,,,,,,,,,
11,2010,RandomForest,,,,,,,,,,,,,,,,,
11,2010,SVM,,,,,,,,,,,,,,,,,
11,2010,KNN,,,,,,,,,,,,,,,,,
11,2010,LSTM,,,,,,,,,,,,,,,,,
11,2010,FeedForwardNN,,,,,,,,,,,,,,,,,
11,2011,HBA,,,,,,,,,,,,,,,,,
11,2011,Alaton,,,,,,,,,,,,,,,,,
11,2011,Benth,,,,,,,,,,,,,,,,,
11,2011,XGB,,,,,,,,,,,,,,,,,
11,2011,RandomForest,,,,,,,,,,,,,,,,,
11,2011,SVM,2.186191759770775,1.9453296106777753,1.6223420907788555,1.3299091364839803,0.9859403883764936,0.7660966178406258,0.8431837807435361,0.8514807880215189,0.717807441703739,0.4891299582064332,0.5001081891562046,0.7316595501043088,0.7565478120742251,0.9948313406821411,1.2219465019265963,1.5215226393568662,1.8808709116177746
11,2011,KNN,2.458888192912484,2.1669489165854805,1.8153672881576053,1.4991410926067505,1.1203452817909583,0.8835416335232125,0.9575352675704096,0.9650447312630765,0.827514043492864,0.5852083430686291,0.6028009079906654,0.8316052711773052,0.8524649748539668,1.0910699115709264,1.3228974877925712,1.6206060280832928,1.9152984307786278
11,2011,LSTM,0.6796668949668048,0.5568918847555261,0.4128331991267527,0.3134483587646762,0.23024536691317785,0.18083172864099376,0.18518224159681637,0.18645267635044027,0.15331626176904528,0.11857874644704862,0.12400878145900483,0.1525752009836947,0.15251960199520107,0.18267993201640395,0.2097299320267686,0.21746102301913398,0.2417327319593272
11,2011,FeedForwardNN,0.6821633137974399,0.5886828700736088,0.43483001696916007,0.3209659775773344,0.22962529369318257,0.1953023214756542,0.2023516829945728,0.20335484754970184,0.1431670914045164,0.15206107365391963,0.1420635149666667,0.16781711460004442,0.18311664464579544,0.2152900756782255,0.24222396535343788,0.2629484597039646,0.27340160451161544
11,2012,HBA,,,,,,,,,,,,,,,,,
11,2012,Alaton,,,,,,,,,,,,,,,,,
11,2012,Benth,,,,,,,,,,,,,,,,,
11,2012,XGB,,,,,,,,,,,,,,,,,
11,2012,RandomForest,,,,,,,,,,,,,,,,,
11,2012,SVM,1.6397210309455688,1.3961250654623811,1.2843739914892476,1.136149457702468,0.8567444466674689,0.6913458592227224,0.7649762250022165,0.773923125741484,0.6267899636063012,0.5015743298506004,0.5067542514652136,0.6797131006232722,0.7188540229715785,0.9381804549859187,1.1718593576241942,1.5085212685035447,1.7696025250455498
11,2012,KNN,2.103856464013309,1.7971849449674862,1.5922677393769602,1.4360051513289005,1.068758764238442,0.8430031699300498,0.9194229438732381,0.9278872608487503,0.787245858468493,0.5839804959273003,0.6006919616071842,0.8048592320648844,0.8286110281322805,1.0820138668558525,1.3388105305099913,1.7000052087447235,1.9291340839980418
11,2012,LSTM,0.39279953718345795,0.663299189878604,0.4791485107754963,0.42035624293100643,0.2894508143714513,0.2114584186520468,0.2289542777563242,0.2311646539559094,0.18744234408985144,0.1219731549401575,0.13301783885105703,0.18695022695083194,0.19076466825027688,0.2552304105869114,0.32430973257931905,0.4261900927554622,0.5754411088124353
11,2012,FeedForwardNN,0.445283172150006,0.6802188215571416,0.5476203560082951,0.47235912148114056,0.3279009815567417,0.2369270219031498,0.25148132710414667,0.254506307832656,0.2097485859088045,0.13254724621572325,0.15460482659344774,0.20283842054680998,0.20348341029106093,0.27026139301040925,0.3386628710235072,0.47803708558149716,0.7037530924540345
11,2013,HBA,,,,,,,,,,,,,,,,,
11,2013,Alaton,,,,,,,,,,,,,,,,,
11,2013,Benth,,,,,,,,,,,,,,,,,
11,2013,XGB,,,,,,,,,,,,,,,,,
11,2013,RandomForest,,,,,,,,,,,,,,,,,
11,2013,SVM,1.587016621780376,1.8999967257263362,1.6154253100930134,1.2820008094543074,0.8640502175411449,0.6770885095336352,0.7621060014238192,0.7703311503030907,0.6131476357018629,0.512040943803847,0.501941674092249,0.6827790102274819,0.7241834219570427,0.9391492476675914,1.1672602622013746,1.5538188211146642,1.8410009334917488
11,2013,KNN,2.302668650517537,2.5092520923346124,2.1518185332626962,1.6728855464638803,1.1178988347563659,0.8464895771884282,0.9267414210331841,0.9348606429460891,0.7726476754602885,0.6068927220060941,0.6069382711233364,0.8066873254044109,0.8361576760972236,1.0724402582952743,1.3191528804201056,1.728882299598864,1.9876217469947703
11,2013,LSTM,0.8818804476687194,0.8880334525983846,0.8142467887454911,0.603867276772374,0.3836122570625991,0.24744435113604105,0.25422036982853735,0.2536893302939439,0.23981281933911747,0.1272369480094155,0.16459138593182487,0.19277955547233872,0.17817088825148458,0.24071584650259636,0.2952016042185313,0.39444890182990056,0.33244574317718967
11,2013,FeedForwardNN,1.0657168249201343,1.024777768058988,0.8592419921948924,0.6551717291049535,0.4262111695575068,0.28201728801635506,0.28362414275672926,0.28318637629098314,0.2816115514803238,0.1547246493518613,0.19608407078042914,0.219870867148329,0.2002788805267404,0.2569786062095059,0.3119907857574379,0.4085720469068689,0.3371884747800236
11,2014,HBA,,,,,,,,,,,,,,,,,
11,2014,Alaton,,,,,,,,,,,,,,,,,
11,2014,Benth,,,,,,,,,,,,,,,,,
11,2014,XGB,,,,,,,,,,,,,,,,,
11,2014,RandomForest,,,,,,,,,,,,,,,,,
