region,calib_year,winter_Y_bar,winter_s,summer_Y_bar,summer_s,n_contracts,pkl_path
11,2010,1873.7,149.5,173.8,77.7,12,Outputs/hba_models/hba_model_11_calib_2010.pkl
11,2011,1874.9,147.77,173.0,76.92,12,Outputs/hba_models/hba_model_11_calib_2011.pkl
11,2012,1870.3,148.95,172.7,76.01,12,Outputs/hba_models/hba_model_11_calib_2012.pkl
11,2013,1873.2,148.29,173.4,75.25,12,Outputs/hba_models/hba_model_11_calib_2013.pkl
11,2014,1867.8,150.81,172.6,74.55,12,Outputs/hba_models/hba_model_11_calib_2014.pkl
11,2015,1865.9,149.64,174.1,74.38,12,Outputs/hba_models/hba_model_11_calib_2015.pkl
11,2016,1859.8,153.7,175.1,73.89,12,Outputs/hba_models/hba_model_11_calib_2016.pkl
11,2017,1858.3,152.31,176.4,73.65,12,Outputs/hba_models/hba_model_11_calib_2017.pkl
11,2018,1857.9,150.68,179.8,76.67,12,Outputs/hba_models/hba_model_11_calib_2018.pkl
11,2019,1853.9,151.69,181.7,77.06,12,Outputs/hba_models/hba_model_11_calib_2019.pkl
11,2020,1849.0,154.08,183.3,77.2,12,Outputs/hba_models/hba_model_11_calib_2020.pkl
11,2021,1846.1,154.0,182.4,76.74,12,Outputs/hba_models/hba_model_11_calib_2021.pkl
11,2022,1843.1,153.92,185.2,78.73,12,Outputs/hba_models/hba_model_11_calib_2022.pkl
11,2023,1839.6,154.56,187.5,79.84,12,Outputs/hba_models/hba_model_11_calib_2023.pkl
24,2010,1870.0,144.97,179.7,77.09,12,Outputs/hba_models/hba_model_24_calib_2010.pkl
24,2011,1871.2,143.31,178.7,76.35,12,Outputs/hba_models/hba_model_24_calib_2011.pkl
24,2012,1867.7,143.33,178.4,75.46,12,Outputs/hba_models/hba_model_24_calib_2012.pkl
24,2013,1869.4,142.0,178.8,74.62,12,Outputs/hba_models/hba_model_24_calib_2013.pkl
24,2014,1865.0,143.27,178.0,73.96,12,Outputs/hba_models/hba_model_24_calib_2014.pkl
24,2015,1863.2,142.12,179.3,73.65,12,Outputs/hba_models/hba_model_24_calib_2015.pkl
24,2016,1858.0,145.07,180.1,73.05,12,Outputs/hba_models/hba_model_24_calib_2016.pkl
24,2017,1857.1,143.56,181.5,72.89,12,Outputs/hba_models/hba_model_24_calib_2017.pkl
24,2018,1856.8,142.01,184.4,75.06,12,Outputs/hba_models/hba_model_24_calib_2018.pkl
24,2019,1853.4,142.55,186.9,76.36,12,Outputs/hba_models/hba_model_24_calib_2019.pkl
24,2020,1848.0,146.27,188.2,76.14,12,Outputs/hba_models/hba_model_24_calib_2020.pkl
24,2021,1845.3,146.08,187.5,75.55,12,Outputs/hba_models/hba_model_24_calib_2021.pkl
24,2022,1843.7,145.06,190.7,78.6,12,Outputs/hba_models/hba_model_24_calib_2022.pkl
24,2023,1840.7,145.37,193.6,80.63,12,Outputs/hba_models/hba_model_24_calib_2023.pkl
27,2010,1944.2,196.25,203.5,98.53,12,Outputs/hba_models/hba_model_27_calib_2010.pkl
27,2011,1951.1,187.83,201.9,95.84,12,Outputs/hba_models/hba_model_27_calib_2011.pkl
27,2012,1947.3,179.66,201.4,93.18,12,Outputs/hba_models/hba_model_27_calib_2012.pkl
27,2013,1949.2,172.17,202.2,90.79,12,Outputs/hba_models/hba_model_27_calib_2013.pkl
27,2014,1940.7,168.89,199.4,89.57,12,Outputs/hba_models/hba_model_27_calib_2014.pkl
27,2015,1938.4,163.04,204.3,90.69,12,Outputs/hba_models/hba_model_27_calib_2015.pkl
27,2016,1928.7,162.84,205.2,88.72,12,Outputs/hba_models/hba_model_27_calib_2016.pkl
27,2017,1932.8,158.7,208.0,88.0,12,Outputs/hba_models/hba_model_27_calib_2017.pkl
27,2018,1934.6,154.17,214.0,91.56,12,Outputs/hba_models/hba_model_27_calib_2018.pkl
27,2019,1929.2,151.81,218.1,92.29,12,Outputs/hba_models/hba_model_27_calib_2019.pkl
27,2020,1919.2,155.08,220.2,91.21,12,Outputs/hba_models/hba_model_27_calib_2020.pkl
27,2021,1915.8,152.03,217.8,90.44,12,Outputs/hba_models/hba_model_27_calib_2021.pkl
27,2022,1917.3,148.54,223.2,93.75,12,Outputs/hba_models/hba_model_27_calib_2022.pkl
27,2023,1911.8,147.72,227.7,95.59,12,Outputs/hba_models/hba_model_27_calib_2023.pkl
28,2010,1665.7,131.24,48.9,39.49,12,Outputs/hba_models/hba_model_28_calib_2010.pkl
28,2011,1670.4,132.98,48.7,39.0,12,Outputs/hba_models/hba_model_28_calib_2011.pkl
28,2012,1669.7,131.38,48.8,38.53,12,Outputs/hba_models/hba_model_28_calib_2012.pkl
28,2013,1674.9,134.25,49.4,38.28,12,Outputs/hba_models/hba_model_28_calib_2013.pkl
28,2014,1672.9,133.31,49.2,37.87,12,Outputs/hba_models/hba_model_28_calib_2014.pkl
28,2015,1673.7,131.85,49.5,37.51,12,Outputs/hba_models/hba_model_28_calib_2015.pkl
28,2016,1670.6,132.09,50.3,37.48,12,Outputs/hba_models/hba_model_28_calib_2016.pkl
28,2017,1671.4,130.73,51.2,37.6,12,Outputs/hba_models/hba_model_28_calib_2017.pkl
28,2018,1673.2,129.9,52.7,38.77,12,Outputs/hba_models/hba_model_28_calib_2018.pkl
28,2019,1671.8,128.89,53.9,39.22,12,Outputs/hba_models/hba_model_28_calib_2019.pkl
28,2020,1670.4,127.95,55.0,39.61,12,Outputs/hba_models/hba_model_28_calib_2020.pkl
28,2021,1669.8,126.71,54.8,39.24,12,Outputs/hba_models/hba_model_28_calib_2021.pkl
28,2022,1667.7,126.33,56.8,41.71,12,Outputs/hba_models/hba_model_28_calib_2022.pkl
28,2023,1666.0,125.75,58.1,42.36,12,Outputs/hba_models/hba_model_28_calib_2023.pkl
32,2010,1781.4,176.6,86.9,50.65,12,Outputs/hba_models/hba_model_32_calib_2010.pkl
32,2011,1798.3,180.02,85.7,49.71,12,Outputs/hba_models/hba_model_32_calib_2011.pkl
32,2012,1796.7,172.47,85.2,48.58,12,Outputs/hba_models/hba_model_32_calib_2012.pkl
32,2013,1814.2,180.02,86.0,47.66,12,Outputs/hba_models/hba_model_32_calib_2013.pkl
32,2014,1805.2,177.47,85.3,46.78,12,Outputs/hba_models/hba_model_32_calib_2014.pkl
32,2015,1807.1,171.65,85.8,45.89,12,Outputs/hba_models/hba_model_32_calib_2015.pkl
32,2016,1795.8,173.33,86.7,45.21,12,Outputs/hba_models/hba_model_32_calib_2016.pkl
32,2017,1798.0,168.45,87.8,44.71,12,Outputs/hba_models/hba_model_32_calib_2017.pkl
32,2018,1802.5,165.0,90.9,47.07,12,Outputs/hba_models/hba_model_32_calib_2018.pkl
32,2019,1798.0,161.98,92.5,47.1,12,Outputs/hba_models/hba_model_32_calib_2019.pkl
32,2020,1792.9,159.77,94.4,47.54,12,Outputs/hba_models/hba_model_32_calib_2020.pkl
32,2021,1791.7,156.04,93.3,47.2,12,Outputs/hba_models/hba_model_32_calib_2021.pkl
32,2022,1787.8,153.71,96.5,50.11,12,Outputs/hba_models/hba_model_32_calib_2022.pkl
32,2023,1784.4,151.3,98.4,50.52,12,Outputs/hba_models/hba_model_32_calib_2023.pkl
44,2010,2114.6,173.31,160.4,63.24,12,Outputs/hba_models/hba_model_44_calib_2010.pkl
44,2011,2114.2,171.1,159.8,62.54,12,Outputs/hba_models/hba_model_44_calib_2011.pkl
44,2012,2110.6,170.61,159.5,61.83,12,Outputs/hba_models/hba_model_44_calib_2012.pkl
44,2013,2112.2,168.87,160.0,61.18,12,Outputs/hba_models/hba_model_44_calib_2013.pkl
44,2014,2106.4,171.4,159.1,60.76,12,Outputs/hba_models/hba_model_44_calib_2014.pkl
44,2015,2103.4,170.63,161.1,61.63,12,Outputs/hba_models/hba_model_44_calib_2015.pkl
