region,rho,crra,farmer_type,wtp_insample,wtp_oos_unc,wtp_oos_xgb,iv_xgb
11,0.4054,0.5,Large commercial,0.0,-3.0799,-3.0799,0.0
11,0.4054,1.0,Commercial,0.0,-3.4051,-3.4051,0.0
11,0.4054,2.0,Medium farm,0.0,-4.2343,-4.2343,0.0
11,0.4054,4.0,Smallholder,-0.0,-6.5851,-6.5851,0.0
11,0.4054,6.0,Risk-averse,-0.0,-9.4693,-9.4693,0.0
11,0.4054,8.0,Very risk-averse,-0.0,-12.1473,-12.1473,0.0
24,-0.3408,0.5,Large commercial,0.122,-0.9004,-0.1032,0.7972
24,-0.3408,1.0,Commercial,0.1374,-1.2708,-0.1033,1.1675
24,-0.3408,2.0,Medium farm,0.1414,-2.2148,-0.1005,2.1143
24,-0.3408,4.0,Smallholder,-0.0055,-4.8095,-0.0831,4.7264
24,-0.3408,6.0,Risk-averse,-0.4058,-7.5097,-0.0587,7.451
24,-0.3408,8.0,Very risk-averse,-0.9462,-9.3298,-0.0392,9.2906
27,0.5524,0.5,Large commercial,4.611,6.9519,6.9519,0.0
27,0.5524,1.0,Commercial,5.8062,4.7877,4.7877,0.0
27,0.5524,2.0,Medium farm,8.5701,1.5213,1.5213,0.0
27,0.5524,4.0,Smallholder,15.147,-1.5089,-1.5089,0.0
27,0.5524,6.0,Risk-averse,22.4257,-1.2971,-1.2971,0.0
27,0.5524,8.0,Very risk-averse,29.8052,0.8052,0.8052,0.0
28,-0.2531,0.5,Large commercial,0.3979,0.6926,3.6812,2.9886
28,-0.2531,1.0,Commercial,0.4636,0.7385,3.8956,3.1571
28,-0.2531,2.0,Medium farm,0.5815,0.6938,4.175,3.4812
28,-0.2531,4.0,Smallholder,0.7596,0.1219,4.1501,4.0281
28,-0.2531,6.0,Risk-averse,0.8586,-0.8762,3.4863,4.3625
28,-0.2531,8.0,Very risk-averse,0.8829,-1.981,2.4645,4.4455
32,0.3077,0.5,Large commercial,6.3965,46.6677,46.6677,0.0
32,0.3077,1.0,Commercial,7.9654,44.2212,44.2212,0.0
32,0.3077,2.0,Medium farm,12.1305,39.9794,39.9794,0.0
32,0.3077,4.0,Smallholder,24.655,33.9591,33.9591,0.0
32,0.3077,6.0,Risk-averse,42.2432,30.822,30.822,0.0
32,0.3077,8.0,Very risk-averse,63.1385,29.9986,29.9986,0.0
44,-0.23,0.5,Large commercial,2.34,16.9415,0.0,-16.9415
44,-0.23,1.0,Commercial,2.7961,14.874,0.0,-14.874
44,-0.23,2.0,Medium farm,3.573,9.6068,0.0,-9.6068
44,-0.23,4.0,Smallholder,4.1393,-5.2938,0.0,5.2938
44,-0.23,6.0,Risk-averse,2.5286,-22.6281,0.0,22.6281
44,-0.23,8.0,Very risk-averse,-1.6605,-36.7764,0.0,36.7764
52,-0.3708,0.5,Large commercial,2.4474,20.2006,-2.3605,-22.5611
52,-0.3708,1.0,Commercial,3.2064,20.8712,-2.4862,-23.3574
52,-0.3708,2.0,Medium farm,4.7415,22.2277,-2.7274,-24.9551
52,-0.3708,4.0,Smallholder,7.7697,24.7807,-3.1523,-27.933
52,-0.3708,6.0,Risk-averse,10.5103,26.7107,-3.4837,-30.1944
52,-0.3708,8.0,Very risk-averse,12.7087,27.7054,-3.7257,-31.431
53,-0.3469,0.5,Large commercial,0.61,13.6278,10.6529,-2.9749
53,-0.3469,1.0,Commercial,0.6235,13.2888,10.221,-3.0677
53,-0.3469,2.0,Medium farm,0.6464,12.6273,9.3796,-3.2478
53,-0.3469,4.0,Smallholder,0.67,11.3811,7.8027,-3.5784
53,-0.3469,6.0,Risk-averse,0.6521,10.2524,6.3935,-3.8589
53,-0.3469,8.0,Very risk-averse,0.5784,9.2528,5.1719,-4.0809
