region,index_type,optimal_tref,best_abs_rho,best_window,fixed_tref
11,HDD,7,0.4073,May,18.0
11,CDD,11,0.5115,FebMarAprMay,18.0
24,HDD,14,0.3698,Jun,18.0
24,CDD,11,0.5569,FebMarAprMay,18.0
27,HDD,9,0.6,MarAprMayJunJul,18.0
27,CDD,19,0.6002,JanFebMarAprMay,18.0
28,HDD,10,0.2731,Jan,18.0
28,CDD,25,0.4235,JanFebMarAprMayJunJul,18.0
32,HDD,7,0.3163,MayJun,18.0
32,CDD,21,0.5175,MarAprMayJunJul,18.0
44,HDD,11,0.3308,Apr,18.0
44,CDD,17,0.3283,JanFebMarApr,18.0
52,HDD,21,0.3885,AprMay,18.0
52,CDD,12,0.4731,JanFebMarAprMay,18.0
53,HDD,20,0.3531,May,18.0
53,CDD,13,0.4415,JanFebMarAprMay,18.0
