region,eval_year,n_calib,window,option_type,index_type,spearman_rho,S,z_star,premium_EUR_ha,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,xgb_forecast,xgb_forecast_payoff,xgb_expected_net,xgb_hedge,xgb_forecast_vs_S,rev_hedged_xgb,net_benefit_xgb,better_off_xgb,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,better_off_perfect,mv_oracle_hedge,rev_hedged_mv,net_benefit_mv,better_off_mv
11,2015,15,MayJun,call,mixed_a8,-0.7571,-0.0,3.5753,13.99,-24.12,-24.12,0.0,False,1458.12,1408.08,-50.03,False,16.7,16.7,2.71,True,16.7,1408.08,-50.03,False,False,1458.12,0.0,False,False,1458.12,0.0,False
24,2015,15,AprMayJunJul,call,mixed_a7,-0.7214,-0.0,1.6595,20.15,34.81,34.81,34.81,True,1202.49,1226.81,24.32,True,67.12,67.12,46.97,True,67.12,1226.81,24.32,True,True,1226.81,24.32,True,True,1226.81,24.32,True
27,2015,15,MayJun,call,mixed_a3,-0.9,0.0,2.0399,26.39,-18.56,-18.56,0.0,False,1092.21,1038.39,-53.83,False,40.13,40.13,13.74,True,40.13,1038.39,-53.83,False,False,1092.21,0.0,False,False,1092.21,0.0,False
28,2015,15,MarAprMayJunJul,call,mixed_a4,-0.7607,0.0,2.0176,20.89,-85.03,-85.03,0.0,False,1603.82,1561.68,-42.14,False,87.11,87.11,66.22,True,87.11,1561.68,-42.14,False,False,1603.82,0.0,False,False,1603.82,0.0,False
32,2015,15,AprMayJun,call,cat,-0.9,1182.6,1.2681,36.28,1172.93,-9.67,0.0,False,1598.8,1552.79,-46.0,False,1205.42,22.82,-13.45,False,22.82,1598.8,0.0,False,False,1598.8,0.0,False,False,1598.8,0.0,False
44,2015,15,Mar,call,cat,-0.5893,210.34,3.4727,17.3,210.72,0.38,0.38,True,1044.35,985.6,-58.75,False,220.05,9.71,-7.59,False,9.71,1044.35,0.0,False,False,1044.35,0.0,False,False,1044.35,0.0,False
52,2015,15,JunJul,call,mixed_a3,-0.6679,-0.0,2.2584,16.28,-44.49,-44.49,0.0,False,1122.06,1085.3,-36.76,False,29.14,29.14,12.87,True,29.14,1085.3,-36.76,False,False,1122.06,0.0,False,False,1122.06,0.0,False
53,2015,15,May,call,mixed_a8,-0.4714,0.0,8.395,6.33,-10.56,-10.56,0.0,False,1287.77,1234.59,-53.18,False,7.71,7.71,1.38,True,7.71,1234.59,-53.18,False,False,1287.77,0.0,False,False,1287.77,0.0,False
11,2016,16,MayJun,call,mixed_a8,-0.7735,-0.0,3.6106,13.78,-21.48,-21.48,0.0,False,801.88,752.12,-49.77,False,12.2,12.2,-1.58,False,12.2,801.88,0.0,False,False,801.88,0.0,False,False,801.88,0.0,False
24,2016,16,JunJul,call,mixed_a4,-0.6118,-0.0,2.6679,13.74,-37.2,-37.2,0.0,False,563.99,527.35,-36.64,False,26.9,26.9,13.16,True,26.9,527.35,-36.64,False,False,563.99,0.0,False,False,563.99,0.0,False
27,2016,16,AprMayJun,call,mixed_a4,-1.0,-0.0,1.6746,31.63,18.62,18.62,18.62,True,803.75,781.96,-21.79,False,39.43,39.43,7.8,True,39.43,781.96,-21.79,False,False,803.75,0.0,False,False,803.75,0.0,False
28,2016,16,MarAprMayJunJul,call,mixed_a4,-0.7853,-0.0,2.2702,21.11,-33.11,-33.11,0.0,False,1100.29,1052.36,-47.92,False,75.3,75.3,54.18,True,75.3,1052.36,-47.92,False,False,1100.29,0.0,False,False,1100.29,0.0,False
