region,eval_year,n_calib,window,option_type,index_type,spearman_rho,p_holm_sig,S,z_star,premium_EUR_ha,idx_mean,idx_std,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,xgb_forecast,xgb_dev_sigma,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,better_off_perfect,xgb_hedge_t00,rev_hedged_xgb_t00,net_benefit_xgb_t00,better_off_xgb_t00,xgb_hedge_t05,rev_hedged_xgb_t05,net_benefit_xgb_t05,better_off_xgb_t05,xgb_hedge_t10,rev_hedged_xgb_t10,net_benefit_xgb_t10,better_off_xgb_t10,z_var,rev_hedged_xgb_var,net_benefit_xgb_var,better_off_xgb_var
11,2015,15,MarAprMayJunJul,call,cat,-0.6893,False,2178.02,1.1674,35.57,2178.02,99.04,2225.11,47.09,47.09,True,1449.31,1462.76,13.45,True,2236.2,0.587,True,1462.76,13.45,True,True,1462.76,13.45,True,True,1462.76,13.45,True,False,1449.31,0.0,False,0.6858,1457.21,7.9,True
24,2015,15,AprMayJunJul,call,cat,-0.7357,True,1912.48,1.0755,32.85,1912.48,83.93,1997.92,85.44,85.44,True,1212.34,1268.9,56.56,True,1978.6,0.788,True,1268.9,56.56,True,True,1268.9,56.56,True,True,1268.9,56.56,True,False,1212.34,0.0,False,0.8473,1256.9,44.56,True
27,2015,15,Feb,put,cat,0.619,False,104.48,0.6634,29.58,104.48,78.1,78.56,-25.93,25.93,True,1085.59,1083.16,-2.42,False,112.85,0.107,False,1085.59,0.0,False,False,1085.59,0.0,False,False,1085.59,0.0,False,False,1085.59,0.0,False,0.0711,1085.33,-0.26,False
28,2015,15,MayJunJul,call,cat,-0.4571,False,1426.12,0.2626,17.07,1426.12,49.1,1418.09,-8.03,0.0,False,1519.21,1514.72,-4.48,False,1409.84,-0.332,False,1519.21,0.0,False,False,1519.21,0.0,False,False,1519.21,0.0,False,False,1519.21,0.0,False,0.0871,1517.72,-1.49,False
32,2015,15,AprMayJun,call,cat,-0.7,False,1182.6,1.2336,36.28,1182.6,101.7,1172.93,-9.67,0.0,False,1576.22,1531.47,-44.75,False,1205.42,0.224,False,1576.22,0.0,False,True,1531.47,-44.75,False,False,1576.22,0.0,False,False,1576.22,0.0,False,0.2769,1566.17,-10.04,False
44,2015,15,Mar,call,cat,-0.7857,True,210.34,3.469,17.3,210.34,44.35,210.72,0.38,0.38,True,1172.99,1114.31,-58.68,False,220.05,0.219,False,1172.99,0.0,False,True,1114.31,-58.68,False,False,1172.99,0.0,False,False,1172.99,0.0,False,0.7595,1160.15,-12.85,False
52,2015,15,FebMarAprMayJunJul,call,cat,-0.5286,False,2358.86,0.9239,36.63,2358.86,102.66,2371.62,12.77,12.77,True,1146.74,1124.69,-22.05,False,2431.0,0.703,False,1146.74,0.0,False,True,1124.69,-22.05,False,True,1124.69,-22.05,False,False,1146.74,0.0,False,0.6493,1131.24,-15.5,False
53,2015,15,Jul,put,cat,0.3286,False,545.54,2.8949,14.89,545.54,37.76,545.68,0.14,0.0,False,1258.79,1215.69,-43.11,False,563.49,0.475,False,1258.79,0.0,False,False,1258.79,0.0,False,False,1258.79,0.0,False,False,1258.79,0.0,False,1.3763,1238.3,-20.49,False
11,2016,16,MarAprMayJunJul,call,cat,-0.6206,False,2180.96,1.1405,34.92,2180.96,96.41,2023.6,-157.36,0.0,False,790.62,750.79,-39.83,False,2225.43,0.461,False,790.62,0.0,False,True,750.79,-39.83,False,False,790.62,0.0,False,False,790.62,0.0,False,0.5261,772.25,-18.37,False
24,2016,16,AprMayJunJul,call,cat,-0.6206,False,1917.82,1.0378,33.65,1917.82,83.85,1777.73,-140.09,0.0,False,570.71,535.79,-34.93,False,1922.27,0.053,False,570.71,0.0,False,True,535.79,-34.93,False,False,570.71,0.0,False,False,570.71,0.0,False,0.0551,568.86,-1.85,False
27,2016,16,FebMarApr,put,cat,0.7,False,633.04,1.1799,33.13,633.04,97.23,618.71,-14.33,14.33,True,797.52,775.33,-22.19,False,648.36,0.158,False,797.52,0.0,False,False,797.52,0.0,False,False,797.52,0.0,False,False,797.52,0.0,False,0.1859,794.02,-3.5,False
28,2016,16,MayJunJul,call,cat,-0.4441,False,1425.62,0.2673,16.19,1425.62,47.48,1405.06,-20.56,0.0,False,1021.18,1016.85,-4.33,False,1405.97,-0.414,False,1021.18,0.0,False,False,1021.18,0.0,False,False,1021.18,0.0,False,False,1021.18,0.0,False,0.1107,1019.39,-1.79,False
32,2016,16,AprMayJun,call,cat,-0.6,False,1180.99,1.3393,31.0,1180.99,91.04,1128.55,-52.44,0.0,False,932.86,891.34,-41.52,False,1198.87,0.196,False,932.86,0.0,False,True,891.34,-41.52,False,False,932.86,0.0,False,False,932.86,0.0,False,0.2631,924.7,-8.16,False
44,2016,16,Mar,call,cat,-0.6294,False,210.37,3.5555,16.23,210.37,42.85,165.84,-44.53,0.0,False,685.21,627.52,-57.69,False,213.85,0.081,False,685.21,0.0,False,True,627.52,-57.69,False,False,685.21,0.0,False,False,685.21,0.0,False,0.2888,680.53,-4.69,False
