region,eval_year,window,index_type,option_type,decision_frac,n_actual_days,n_forecast_days,n_total_days,actual_index,S,actual_triggered,rev_unhedged,nb_full,idx_xgb,err_xgb,dir_correct_xgb,hedge_xgb,nb_xgb,idx_clim,err_clim,dir_correct_clim,hedge_clim,nb_clim,xgb_advantage
11,2015,MarAprMayJunJul,cat,call,0.0,0,153,153,2225.11,2178.02,True,1449.31,13.45,2236.2,11.09,True,True,13.45,2178.02,-47.09,False,False,0.0,13.45
11,2015,MarAprMayJunJul,cat,call,0.25,38,115,153,2225.11,2178.02,True,1449.31,13.45,2209.83,-15.28,True,True,13.45,2159.19,-65.92,False,False,0.0,13.45
11,2015,MarAprMayJunJul,cat,call,0.5,76,77,153,2225.11,2178.02,True,1449.31,13.45,2241.38,16.27,True,True,13.45,2200.01,-25.1,True,True,13.45,0.0
11,2015,MarAprMayJunJul,cat,call,0.75,114,39,153,2225.11,2178.02,True,1449.31,13.45,2199.97,-25.14,True,True,13.45,2176.27,-48.84,False,False,0.0,13.45
11,2015,MarAprMayJunJul,cat,call,1.0,153,0,153,2225.11,2178.02,True,1449.31,13.45,2225.11,-0.0,True,True,13.45,2225.11,-0.0,True,True,13.45,0.0
24,2015,AprMayJunJul,cat,call,0.0,0,122,122,1997.92,1912.48,True,1212.34,56.56,1978.6,-19.32,True,True,56.56,1912.48,-85.44,False,False,0.0,56.56
24,2015,AprMayJunJul,cat,call,0.25,30,92,122,1997.92,1912.48,True,1212.34,56.56,1993.74,-4.18,True,True,56.56,1940.87,-57.05,True,True,56.56,0.0
24,2015,AprMayJunJul,cat,call,0.5,61,61,122,1997.92,1912.48,True,1212.34,56.56,1973.36,-24.56,True,True,56.56,1936.5,-61.42,True,True,56.56,0.0
24,2015,AprMayJunJul,cat,call,0.75,91,31,122,1997.92,1912.48,True,1212.34,56.56,1979.83,-18.09,True,True,56.56,1950.65,-47.27,True,True,56.56,0.0
24,2015,AprMayJunJul,cat,call,1.0,122,0,122,1997.92,1912.48,True,1212.34,56.56,1997.92,-0.0,True,True,56.56,1997.92,-0.0,True,True,56.56,0.0
