region,rank,window,rho
11,1,HDD_May,0.405
11,2,CAT_May,-0.383
11,3,HDD_MayJun,0.332
11,4,HDD_MayJunJul,0.309
11,5,CAT_AprMay,-0.309
24,1,CAT_AprMay,-0.341
24,2,HDD_AprMay,0.319
24,3,HDD_May,0.304
24,4,HDD_AprMayJunJul,0.299
24,5,CAT_May,-0.299
27,1,CDD_AprMayJunJul,0.552
27,2,HDD_FebMarApr,-0.499
27,3,CAT_FebMarApr,0.499
27,4,HDD_FebMarAprMayJunJul,-0.467
27,5,CDD_MarAprMayJunJul,0.455
28,1,HDD_Jan,0.253
28,2,CAT_Jan,-0.253
28,3,HDD_JanFeb,0.237
28,4,CAT_JanFeb,-0.237
28,5,CDD_MarAprMayJun,0.178
32,1,CDD_MarAprMayJunJul,0.308
32,2,CDD_AprMayJunJul,0.308
32,3,CDD_MayJunJul,0.308
32,4,CDD_MayJun,0.296
32,5,CDD_MarAprMay,-0.283
44,1,HDD_Mar,0.23
44,2,CAT_Mar,-0.23
44,3,CAT_AprMayJunJul,0.191
44,4,CAT_Jun,0.158
44,5,HDD_Apr,-0.146
52,1,CAT_AprMay,-0.371
52,2,HDD_AprMay,0.363
52,3,CAT_JanFebMarAprMay,-0.356
52,4,HDD_JanFebMarAprMay,0.349
52,5,HDD_AprMayJunJul,0.345
53,1,CAT_May,-0.347
53,2,HDD_May,0.335
53,3,CDD_Jul,0.312
53,4,HDD_JanFeb,0.267
53,5,HDD_JanFebMarAprMay,0.267
