HE_ES,HE_VaR,HE_SD,ES_unhedged,ES_hedged,VaR_unhedged,VaR_hedged,SD_unhedged,SD_hedged,mean_unhedged,mean_hedged,region,instrument,ols_r2
0.0109,-0.0481,0.0461,28490.0799,28180.3169,24903.8119,26101.7051,11308.5181,11044.6468,159986.3774,160097.6195,11,single,0.0344
-0.0055,-0.0061,-0.0013,26133.8658,26278.5832,25573.5415,25730.4287,10848.9195,10856.0006,138948.8413,138961.4238,24,single,0.0013
0.566,0.4951,0.5538,15950.8154,6922.8747,13079.3803,6603.2824,8147.0886,5442.0774,134939.3855,135018.4615,27,single,0.1759
0.0883,0.0443,0.0637,21959.9367,20020.6917,19515.9459,18651.7946,12059.8137,11669.5027,165682.6641,165738.8098,28,single,0.0986
0.1068,0.021,0.0613,25072.6928,22395.441,21666.628,21212.4717,13702.8815,13276.079,191025.3424,191038.915,32,single,0.1433
0.0083,-0.0279,0.0148,29449.2703,29203.9068,26812.4424,27561.1132,13394.2994,13295.0575,130458.8712,130559.2198,44,single,0.0252
0.0461,-0.1587,0.1893,26264.3933,25052.4601,20755.9538,24050.1192,12128.4521,10920.336,128982.3346,129123.0654,52,single,0.1888
0.0179,-0.0557,0.0721,29240.8306,28718.3664,26060.508,27511.0942,10092.8355,9722.4311,141327.3152,141411.8646,53,single,0.075
0.0135,-0.0196,0.0377,28555.9491,28170.1843,25467.7459,25967.1593,11445.1653,11227.4539,159576.8322,159710.2935,11,straddle,0.0344
-0.0073,0.0061,-0.0062,26000.9386,26191.6627,25383.4331,25228.5177,10797.3413,10830.8854,138826.9561,138847.8448,24,straddle,0.0013
0.3457,0.2479,0.0536,15892.9964,10399.4578,13072.8569,9831.6071,8149.1675,7927.7892,134929.2192,135115.2377,27,straddle,0.1759
0.0856,0.0448,0.0603,21680.6384,19825.8485,19457.4426,18585.204,12134.3079,11762.7188,165500.6607,165562.8778,28,straddle,0.0986
0.0373,-0.0288,-0.0091,24811.2288,23885.9067,21391.9274,22008.0304,13790.9545,13853.4934,191107.6006,191187.1666,32,straddle,0.1433
-0.0084,-0.016,-0.0053,29705.7885,29956.0985,26838.9509,27268.0365,13417.4469,13453.2161,130877.5386,131010.6289,44,straddle,0.0252
0.036,-0.1365,0.163,26004.3948,25067.6269,20697.3864,23521.8593,12006.4152,10984.219,128991.8053,129143.7242,52,straddle,0.1888
0.0044,-0.0233,0.0302,29309.3284,29179.0662,25779.3242,26379.0311,10032.0631,9879.6369,141420.1783,141553.4299,53,straddle,0.075
