h_star,CE_unhedged,CE_hedged,CE_gain,lambda,region
-0.6934,153592.2482,149844.1228,-3748.1254,0.0001,11
-0.6934,96045.0862,82399.6448,-13645.4414,0.001,11
-0.6934,-159720.0784,-217353.5912,-57633.5128,0.005,11
-0.6934,-479426.5342,-592045.1361,-112618.602,0.01,11
-0.4401,133063.8886,132836.4582,-227.4304,0.0001,24
-0.4401,80099.3143,79536.2208,-563.0935,0.001,24
-0.4401,-155298.7939,-157353.723,-2054.9292,0.005,24
-0.4401,-449546.4291,-453466.1529,-3919.7238,0.01,24
-1.3905,131620.6329,121859.7327,-9760.9001,0.0001,27
-1.3905,101751.8588,38118.1907,-63633.6682,0.001,27
-1.3905,-30998.2479,-334066.4406,-303068.1928,0.005,27
-1.3905,-196935.8813,-799297.2298,-602361.3485,0.01,27
-2.0783,158410.7087,152503.3633,-5907.3454,0.0001,28
-2.0783,92963.1103,69946.5361,-23016.5742,0.001,28
-2.0783,-197915.1049,-296972.6957,-99057.5908,0.005,28
-2.0783,-561512.874,-755621.7355,-194108.8615,0.01,28
-4.0766,181636.8944,175724.4563,-5912.4381,0.0001,32
-4.0766,97140.8621,55113.5816,-42027.2806,0.001,32
-4.0766,-278397.0589,-480934.7505,-202537.6916,0.005,32
-4.0766,-747819.4603,-1150995.1657,-403175.7055,0.01,32
-0.6075,121488.5083,118713.4817,-2775.0266,0.0001,44
-0.6075,40755.2424,31841.5536,-8913.6888,0.001,44
-0.6075,-318059.2729,-354255.9047,-36196.6318,0.005,44
-0.6075,-766577.4169,-836877.7275,-70300.3105,0.01,44
-1.3339,121627.3671,110725.9726,-10901.3945,0.0001,52
-1.3339,55432.6595,4426.2541,-51006.4054,0.001,52
-1.3339,-238766.041,-468016.9394,-229250.8983,0.005,52
-1.3339,-606514.4167,-1058570.9312,-452056.5145,0.01,52
-0.8801,136234.0488,132557.5194,-3676.5295,0.0001,53
-0.8801,90394.6513,76622.1319,-13772.5194,0.001,53
-0.8801,-113336.0044,-171979.5902,-58643.5858,0.005,53
-0.8801,-367999.3241,-482731.7428,-114732.4188,0.01,53
