cl_ratio,REV,E_hba,E_xgb,E_perfect,p_hba,p_xgb,hedge_hba,hedge_xgb,region
0.02,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.03,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.04,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.05,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.06,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.07,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.08,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.09000000000000001,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.1,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.11,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.12000000000000001,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.13,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.13999999999999999,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.15,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.16,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.16999999999999998,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.18,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.19,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.19999999999999998,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.21,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.22,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.22999999999999998,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.24,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.25,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.26,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.27,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.28,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.29000000000000004,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.30000000000000004,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.31,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.32,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.33,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.34,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.35000000000000003,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.36000000000000004,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.37000000000000005,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.38,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.39,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.4,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.41000000000000003,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.42000000000000004,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.43000000000000005,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.44,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.45,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.46,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.47000000000000003,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.48000000000000004,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.49000000000000005,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.5,-0.0,-3708.07250997316,-3708.07250997316,-2224.8435059838957,0.56,0.697,1,1,11
0.02,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.03,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.04,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.05,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.06,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.07,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.08,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.09000000000000001,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.1,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.11,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.12000000000000001,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.13,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.13999999999999999,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.15,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.16,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.16999999999999998,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.18,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.19,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.19999999999999998,-0.0,-419.4154236873802,-419.4154236873802,-125.82462710621405,0.2,0.211,1,1,24
0.21,0.04694588926257431,-433.8772269255467,-419.4154236873802,-125.82462710621405,0.2,0.211,0,1,24
0.22,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.22999999999999998,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.24,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.25,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.26,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
