region,window,n,rho_precip,pval_precip,rho_cdd,pval_cdd,partial_rho_precip_given_cdd,pval_partial,r2_temp_only,r2_temp_plus_precip,incremental_r2,mean_precip_mm,std_precip_mm
11,Jan,25,-0.1131,0.5904,,,-0.1131,0.5904,0.0,0.0119,0.0119,50.0593,23.1196
11,Feb,25,-0.1762,0.3996,,,-0.1762,0.3996,0.0,0.032,0.032,43.0524,21.8064
11,Mar,25,-0.3915,0.0529,,,-0.3915,0.0529,0.0,0.0954,0.0954,49.3342,26.9543
11,Apr,25,-0.04,0.8494,-0.1473,0.4824,-0.08,0.7038,0.0041,0.0357,0.0316,40.0103,23.9514
11,May,25,-0.1366,0.5151,-0.2877,0.1632,-0.2654,0.1998,0.0001,0.1808,0.1807,64.5607,29.5748
11,Jun,25,-0.1115,0.5956,0.1169,0.5778,-0.1015,0.6291,0.0133,0.0325,0.0192,61.5775,34.0884
11,Jul,25,-0.0915,0.6634,0.13,0.5357,-0.15,0.4742,0.0009,0.0021,0.0012,58.9366,46.1652
11,FebMar,25,-0.3962,0.0499,,,-0.3962,0.0499,0.0,0.0982,0.0982,92.3867,39.0202
11,AprMay,25,-0.0492,0.8152,-0.2915,0.1574,-0.2192,0.2924,0.0001,0.1426,0.1425,104.571,42.4775
11,MayJun,25,-0.1412,0.5009,-0.0254,0.9041,-0.1638,0.4339,0.011,0.1348,0.1237,126.1382,47.5717
11,MayJunJul,25,-0.2608,0.208,0.1092,0.6032,-0.25,0.2281,0.0053,0.0768,0.0715,185.0747,59.9494
11,AprMayJun,25,-0.1369,0.514,-0.0708,0.7368,-0.1892,0.365,0.0095,0.1739,0.1645,166.1485,50.7784
11,JanFebMarApr,25,-0.3208,0.118,-0.1473,0.4824,-0.28,0.1752,0.0041,0.1358,0.1317,182.4563,49.8474
24,Jan,25,0.0085,0.968,,,0.0085,0.968,0.0,0.0928,0.0928,60.9851,29.306
24,Feb,25,-0.3146,0.1256,,,-0.3146,0.1256,0.0,0.2413,0.2413,48.6311,24.3718
24,Mar,25,-0.4831,0.0144,,,-0.4831,0.0144,0.0,0.1101,0.1101,59.8966,31.2539
24,Apr,25,0.0938,0.6555,-0.3084,0.1336,0.0946,0.6528,0.0001,0.0005,0.0004,49.9943,27.6401
24,May,25,-0.1777,0.3955,-0.2356,0.257,-0.3015,0.143,0.0009,0.1281,0.1272,71.003,30.1271
24,Jun,25,-0.19,0.363,0.1446,0.4904,-0.1269,0.5455,0.0062,0.0767,0.0705,61.096,28.8528
24,Jul,25,0.0346,0.8695,-0.0062,0.9767,-0.1231,0.5578,0.0,0.0208,0.0208,56.6813,38.4766
24,FebMar,25,-0.54,0.0053,,,-0.54,0.0053,0.0,0.2736,0.2736,108.5277,42.7066
24,AprMay,25,-0.0877,0.6768,-0.2294,0.27,-0.1385,0.5092,0.001,0.061,0.0601,120.9972,44.1756
24,MayJun,25,-0.1892,0.365,0.0823,0.6957,-0.1208,0.5653,0.006,0.1486,0.1426,132.0989,48.0791
24,MayJunJul,25,-0.2315,0.2654,-0.0108,0.9593,-0.3592,0.0778,0.0013,0.0738,0.0725,188.7802,53.4314
24,AprMayJun,25,-0.1485,0.4788,0.0823,0.6957,-0.1754,0.4017,0.006,0.1217,0.1158,182.0932,55.134
24,JanFebMarApr,25,-0.2892,0.1608,-0.3084,0.1336,-0.2415,0.2448,0.0001,0.2584,0.2583,219.507,65.5969
27,Jan,18,-0.6429,0.004,,,-0.6429,0.004,-0.0,0.215,0.215,48.2706,38.1997
27,Feb,18,-0.2446,0.328,,,-0.2446,0.328,0.0,0.1362,0.1362,34.7951,22.5276
27,Mar,17,-0.4926,0.0445,,,-0.4926,0.0445,0.0,0.123,0.123,46.1856,28.7567
27,Apr,21,-0.3091,0.1728,-0.3363,0.1361,-0.413,0.0628,0.0259,0.1846,0.1587,50.1887,33.6408
27,May,18,-0.6677,0.0025,0.2055,0.4134,-0.6347,0.0047,0.0455,0.3684,0.3229,64.3307,42.5756
27,Jun,18,-0.6856,0.0017,0.2487,0.3196,-0.5666,0.0142,0.1107,0.3915,0.2808,61.4791,38.3168
