year,wheat_yield,actual_index,strike,itm,premium,po_actual,rev_without,rev_with,z_star,rev_diff,region
2015,9.1,1147.7986904761906,1110.5481333755943,True,41.44580128534034,31.671854777501938,1456.0,1434.7633903230078,2.1727773586606958,-21.236609676992202,11
2016,5.0,1115.5806547619047,1110.5481333755943,True,69.40115962271457,4.278843027272367,800.0,658.5037049578895,2.1727773586606958,-141.49629504211055,11
2017,8.2,1274.6770238095237,1110.5481333755943,True,57.17635185217023,139.5486883210325,1312.0,1490.9767476595248,2.1727773586606958,178.9767476595248,11
2018,7.7,1268.7704166666665,1110.5481333755943,True,60.95242257682063,134.52666400201005,1232.0,1391.8604459492874,2.1727773586606958,159.8604459492874,11
2019,8.8,1148.9523214285714,1110.5481333755943,True,58.23034267999471,32.652716134607694,1408.0,1352.4255121539043,2.1727773586606958,-55.574487846095735,11
2020,7.8,1125.9107738095238,1110.5481333755943,True,49.32600831305907,13.061907114796043,1248.0,1169.2061819842338,2.1727773586606958,-78.79381801576619,11
2021,8.3,1120.4555555555557,1110.5481333755943,True,73.95031625064101,8.423670971034111,1328.0,1185.6251887474793,2.1727773586606958,-142.37481125252066,11
2022,8.6,1245.9451388888888,1110.5481333755943,True,86.99488917799307,115.11973591012534,1376.0,1437.1090301953793,2.1727773586606958,61.10903019537932,11
2023,8.399898566703417,1258.9944444444445,1110.5481333755943,True,74.6920962162636,126.21475683522702,1343.9837706725466,1455.9310411233894,2.1727773586606958,111.94727045084278,11
2024,6.576977501781533,1121.088888888889,1110.5481333755943,True,73.82339560893435,8.962155303091514,1052.3164002850453,911.3873658938596,2.1727773586606958,-140.92903439118572,11
2015,7.6,1919.0876587301589,1816.4528582395055,True,65.4740798169176,87.28283096268207,1216.0,1239.1645890035784,1.0621694405494277,23.164589003578385,24
2016,3.6,1760.2676587301587,1816.4528582395055,False,65.7613620786482,0.0,576.0,506.1502908311539,1.0621694405494277,-69.84970916884612,24
2017,6.9,1909.1796825396825,1816.4528582395055,True,98.10109665550654,78.85687595637424,1104.0,1083.559376866193,1.0621694405494277,-20.440623133807094,24
2018,6.9,2086.2058531746034,1816.4528582395055,True,67.54104655445106,229.4037202395257,1104.0,1275.9255855539102,1.0621694405494277,171.9255855539102,24
2019,7.650000514694528,1935.332142857143,1816.4528582395055,True,97.58625151042274,101.09748793432641,1224.0000823511245,1227.729610379139,1.0621694405494277,3.729528028014556,24
2020,6.1,1884.9411309523812,1816.4528582395055,True,90.35145551608313,58.24389292468476,976.0,941.8963282048886,1.0621694405494277,-34.10367179511138,24
2021,7.3,1800.94,1816.4528582395055,False,124.09958833055249,0.0,1168.0,1036.1852096905227,1.0621694405494277,-131.8147903094773,24
2022,7.05,2090.665,1816.4528582395055,True,107.78501247967193,233.19587413604268,1128.0,1261.207584764369,1.0621694405494277,133.2075847643689,24
2023,6.9,1987.89,1816.4528582395055,True,133.63793038570336,145.79381451001404,1104.0,1116.9116086397028,1.0621694405494277,12.911608639702763,24
2024,6.3,1834.55,1816.4528582395055,True,88.5343947089125,15.390196674399697,1008.0,930.3084680942451,1.0621694405494277,-77.69153190575491,24
2015,6.8,1504.884404761905,1362.173657374729,True,65.67032735354242,136.09685882601016,1088.0,1162.881302603822,1.063254160587131,74.88130260382195,27
2016,5.0,1399.9212301587304,1362.173657374729,True,93.47760940445053,35.99817237500103,800.0,738.8847494302319,1.063254160587131,-61.115250569768136,27
2017,8.04130808950086,1557.52378968254,1362.173657374729,True,83.50551126086823,186.29668658527126,1286.6092943201377,1395.9024391554506,1.063254160587131,109.29314483531289,27
2018,6.5,1614.5872222222224,1362.173657374729,True,95.67064581965758,240.71553074850058,1040.0,1194.219577372474,1.063254160587131,154.21957737247408,27
2019,7.9,1548.9338293650794,1362.173657374729,True,94.71843482270644,178.10482550928126,1264.0,1352.6609268338445,1.063254160587131,88.66092683384454,27
2020,8.4,1431.2506944444444,1362.173657374729,True,87.40479004912827,65.87568164498961,1344.0,1321.1090859155684,1.063254160587131,-22.890914084431643,27
2021,6.1,1402.6350000000002,1362.173657374729,True,111.18652509449402,38.586173333131896,976.0,898.8073739296425,1.063254160587131,-77.1926260703575,27
2022,6.7,1588.5954545454545,1362.173657374729,True,120.72487079400592,215.92834407259778,1072.0,1173.2254890658087,1.063254160587131,101.22548906580869,27
2023,6.5,1552.5636363636363,1362.173657374729,True,123.21088675900896,181.5664101459871,1040.0,1102.0467530344442,1.063254160587131,62.04675303444424,27
2024,5.3,1455.7636363636364,1362.173657374729,True,122.45920088500604,89.25257831791833,848.0,812.6929203964975,1.063254160587131,-35.30707960350253,27
2015,9.6,1699.9453571428571,1672.3057010491136,True,8.409616658141072,13.469013078681158,1536.0,1545.966295506384,1.9698585914167872,9.966295506384085,28
2016,6.5,1696.2991865079366,1672.3057010491136,True,25.65366870974971,11.692206601701725,1040.0,1012.4978939177219,1.9698585914167872,-27.502106082278146,28
2017,9.5,1811.9943055555555,1672.3057010491136,True,24.572248349051712,68.07131154811557,1520.0,1605.6870033612577,1.9698585914167872,85.68700336125767,28
2018,8.6,1891.9745039682539,1672.3057010491136,True,25.970256245340035,107.04626604112738,1376.0,1535.7082744540232,1.9698585914167872,159.70827445402324,28
2019,9.8,1787.096111111111,1672.3057010491136,True,24.82340140317597,55.93823342766531,1568.0,1629.2918191839306,1.9698585914167872,61.291819183930556,28
2020,8.4,1754.5340277777777,1672.3057010491136,True,21.020680413505282,40.07048439351406,1344.0,1381.5254200348259,1.9698585914167872,37.525420034825856,28
2021,7.8,1688.425,1672.3057010491136,True,29.631594201322308,7.855056070607357,1248.0,1205.103299271896,1.9698585914167872,-42.89670072810395,28
2022,9.8,1900.4141666666665,1672.3057010491136,True,43.632686045946784,111.15897738887486,1568.0,1701.01724514838,1.9698585914167872,133.01724514837997,28
