region,year,mo_start,mo_end,yield_detrend,temp_index,strike,payoff,fair_premium,rev_without,rev_with_sd,rev_with_var,z_sd,z_var
11,2000,5,5,8.5665,484.75,450.57,34.18,18.9222,1370.64,1371.0,1370.64,0.0234,0.0
11,2001,5,5,7.8903,486.79,450.57,36.22,18.9222,1262.45,1262.86,1262.45,0.0234,0.0
11,2002,5,5,8.7127,424.75,450.57,0.0,18.9222,1394.03,1393.59,1394.03,0.0234,0.0
11,2003,5,5,7.0775,449.51,450.57,0.0,18.9222,1132.4,1131.96,1132.4,0.0234,0.0
11,2004,5,5,9.0263,407.16,450.57,0.0,18.9222,1444.2,1443.76,1444.2,0.0234,0.0
11,2005,5,5,8.171,448.83,450.57,0.0,18.9222,1307.37,1306.93,1307.37,0.0234,0.0
11,2006,5,5,7.6954,458.98,450.57,8.41,18.9222,1231.26,1231.02,1231.26,0.0234,0.0
11,2007,5,5,8.0235,479.36,450.57,28.79,18.9222,1283.75,1283.98,1283.75,0.0234,0.0
11,2008,5,5,8.5141,514.46,450.57,63.88,18.9222,1362.25,1363.3,1362.25,0.0234,0.0
11,2009,5,5,9.0045,455.02,450.57,4.45,18.9222,1440.72,1440.38,1440.72,0.0234,0.0
11,2010,5,5,8.7525,397.01,450.57,0.0,18.9222,1400.41,1399.96,1400.41,0.0234,0.0
11,2011,5,5,7.6345,487.42,450.57,36.85,18.9222,1221.52,1221.94,1221.52,0.0234,0.0
11,2012,5,5,8.4165,470.81,450.57,20.24,18.9222,1346.63,1346.67,1346.63,0.0234,0.0
11,2013,5,5,8.6984,366.13,450.57,0.0,18.9222,1391.75,1391.31,1391.75,0.0234,0.0
11,2014,5,5,8.4804,429.36,450.57,0.0,18.9222,1356.86,1356.42,1356.86,0.0234,0.0
11,2015,5,5,9.2623,431.32,450.57,0.0,18.9222,1481.98,1481.53,1481.98,0.0234,0.0
11,2016,5,5,5.1443,426.3,450.57,0.0,18.9222,823.09,822.65,823.09,0.0234,0.0
11,2017,5,5,8.3263,484.71,450.57,34.14,18.9222,1332.2,1332.56,1332.2,0.0234,0.0
11,2018,5,5,7.8082,501.12,450.57,50.55,18.9222,1249.32,1250.06,1249.32,0.0234,0.0
11,2019,5,5,8.8902,403.78,450.57,0.0,18.9222,1422.43,1421.99,1422.43,0.0234,0.0
11,2020,5,5,7.8722,460.08,450.57,9.51,18.9222,1259.54,1259.32,1259.54,0.0234,0.0
11,2021,5,5,8.3541,377.32,450.57,0.0,18.9222,1336.66,1336.22,1336.66,0.0234,0.0
11,2022,5,5,8.6361,500.45,450.57,49.87,18.9222,1381.77,1382.5,1381.77,0.0234,0.0
11,2023,5,5,8.4179,455.26,450.57,4.69,18.9222,1346.87,1346.54,1346.87,0.0234,0.0
11,2024,5,5,6.577,463.67,450.57,13.1,18.9222,1052.32,1052.18,1052.32,0.0234,0.0
24,2000,4,5,7.2965,780.78,769.54,11.24,33.1277,1167.43,1157.03,1153.41,0.4753,0.6406
24,2001,4,5,6.4742,750.2,769.54,0.0,33.1277,1035.88,1020.13,1014.65,0.4753,0.6406
24,2002,4,5,7.7972,736.13,769.54,0.0,33.1277,1247.56,1231.82,1226.34,0.4753,0.6406
24,2003,4,5,5.7271,795.39,769.54,25.85,33.1277,916.34,912.88,911.68,0.4753,0.6406
24,2004,4,5,7.4202,714.63,769.54,0.0,33.1277,1187.22,1171.48,1166.0,0.4753,0.6406
24,2005,4,5,6.9418,758.14,769.54,0.0,33.1277,1110.69,1094.94,1089.46,0.4753,0.6406
24,2006,4,5,6.5137,750.61,769.54,0.0,33.1277,1042.2,1026.45,1020.97,0.4753,0.6406
24,2007,4,5,6.4269,901.8,769.54,132.26,33.1277,1028.3,1075.41,1091.81,0.4753,0.6406
24,2008,4,5,6.9465,768.59,769.54,0.0,33.1277,1111.44,1095.7,1090.22,0.4753,0.6406
24,2009,4,5,7.2702,809.72,769.54,40.18,33.1277,1163.24,1166.59,1167.75,0.4753,0.6406
24,2010,4,5,6.6974,726.37,769.54,0.0,33.1277,1071.58,1055.84,1050.36,0.4753,0.6406
24,2011,4,5,6.5976,884.71,769.54,115.17,33.1277,1055.61,1094.6,1108.17,0.4753,0.6406
24,2012,4,5,7.5978,736.56,769.54,0.0,33.1277,1215.64,1199.9,1194.42,0.4753,0.6406
24,2013,4,5,7.1979,646.18,769.54,0.0,33.1277,1151.67,1135.93,1130.45,0.4753,0.6406
24,2014,4,5,7.3981,754.16,769.54,0.0,33.1277,1183.7,1167.96,1162.48,0.4753,0.6406
24,2015,4,5,7.5983,789.73,769.54,20.19,33.1277,1215.73,1209.58,1207.44,0.4753,0.6406
24,2016,4,5,3.5985,676.79,769.54,0.0,33.1277,575.76,560.02,554.54,0.4753,0.6406
24,2017,4,5,6.8987,758.79,769.54,0.0,33.1277,1103.79,1088.05,1082.57,0.4753,0.6406
24,2018,4,5,6.8989,871.45,769.54,101.91,33.1277,1103.82,1136.51,1147.89,0.4753,0.6406
24,2019,4,5,7.6491,711.45,769.54,0.0,33.1277,1223.85,1208.11,1202.63,0.4753,0.6406
24,2020,4,5,6.0993,863.33,769.54,93.8,33.1277,975.88,1004.71,1014.75,0.4753,0.6406
