year,region,model,window,index_type,strike,hdd_actual,hdd_sim_mean,hdd_sim_std,option_price,realised_payoff,pricing_error,itm_pct
2015,11,HBA,90day,CAT,488.75,485.37,567.01,31.51,1562.66,0.0,1562.66,99.33
2015,11,HBA_direct,90day,CAT,488.75,485.37,488.75,128.69,1025.51,0.0,1025.51,55.56
2015,11,XGB,90day,CAT,488.75,485.37,561.26,31.07,1448.72,0.0,1448.72,99.04
2015,24,HBA,90day,CAT,497.14,480.28,564.38,31.21,1345.01,0.0,1345.01,98.43
2015,24,HBA_direct,90day,CAT,497.14,480.28,497.14,117.71,959.04,0.0,959.04,51.11
2015,24,XGB,90day,CAT,497.14,480.28,557.41,30.79,1208.34,0.0,1208.34,97.48
2015,27,HBA,90day,CAT,293.97,411.6,474.42,32.17,3600.18,2352.61,1247.56,100.0
2015,27,HBA_direct,90day,CAT,293.97,411.6,361.6,139.05,1893.55,2352.61,-459.06,64.0
2015,27,XGB,90day,CAT,293.97,411.6,467.21,31.16,3456.38,2352.61,1103.76,100.0
2015,28,HBA,90day,CAT,575.83,516.52,604.95,24.93,610.13,0.0,610.13,88.01
2015,28,HBA_direct,90day,CAT,575.83,516.52,575.83,100.53,785.44,0.0,785.44,62.22
2015,28,XGB,90day,CAT,575.83,516.52,599.4,24.46,512.84,0.0,512.84,83.42
2015,32,HBA,90day,CAT,362.94,449.72,514.22,28.71,3018.06,1735.45,1282.61,100.0
2015,32,HBA_direct,90day,CAT,362.94,449.72,404.73,125.26,1476.51,1735.45,-258.94,60.61
2015,32,XGB,90day,CAT,362.94,449.72,508.59,28.42,2905.72,1735.45,1170.27,100.0
2015,44,HBA,90day,CAT,347.4,373.78,437.09,32.42,1789.73,527.61,1262.12,99.73
2015,44,HBA_direct,90day,CAT,347.4,373.78,347.4,141.35,1167.52,527.61,639.91,55.56
2015,44,XGB,90day,CAT,347.4,373.78,432.32,31.83,1694.9,527.61,1167.28,99.63
2015,52,HBA,90day,CAT,624.77,601.24,671.88,28.36,951.12,0.0,951.12,95.44
2015,52,HBA_direct,90day,CAT,624.77,601.24,624.77,105.3,864.01,0.0,864.01,51.11
2015,52,XGB,90day,CAT,624.77,601.24,665.47,27.81,829.33,0.0,829.33,92.88
2015,53,HBA,90day,CAT,663.16,645.86,692.95,23.75,617.23,0.0,617.23,89.69
2015,53,HBA_direct,90day,CAT,663.16,645.86,663.16,99.97,806.12,0.0,806.12,55.56
2015,53,XGB,90day,CAT,663.16,645.86,686.81,23.35,508.33,0.0,508.33,84.48
2016,11,HBA,90day,CAT,488.67,538.77,512.38,29.74,544.83,1001.89,-457.05,78.37
2016,11,HBA_direct,90day,CAT,488.67,538.77,488.67,127.29,1003.99,1001.89,2.1,54.35
2016,11,XGB,90day,CAT,488.67,538.77,508.93,28.75,486.09,1001.89,-515.8,75.79
2016,24,HBA,90day,CAT,496.77,545.1,499.44,28.9,257.87,966.67,-708.8,54.08
2016,24,HBA_direct,90day,CAT,496.77,545.1,496.77,116.45,941.82,966.67,-24.85,50.0
2016,24,XGB,90day,CAT,496.77,545.1,495.72,28.04,213.16,966.67,-753.5,48.6
2016,27,HBA,90day,CAT,296.65,489.45,398.82,29.79,2038.26,3855.98,-1817.72,99.96
2016,27,HBA_direct,90day,CAT,296.65,489.45,363.44,136.67,1874.32,3855.98,-1981.66,65.38
2016,27,XGB,90day,CAT,296.65,489.45,394.17,29.04,1945.45,3855.98,-1910.53,99.96
2016,28,HBA,90day,CAT,574.54,557.86,573.67,24.5,187.51,0.0,187.51,48.38
2016,28,HBA_direct,90day,CAT,574.54,557.86,574.54,99.81,784.01,0.0,784.01,60.87
2016,28,XGB,90day,CAT,574.54,557.86,570.18,23.85,150.36,0.0,150.36,43.09
2016,32,HBA,90day,CAT,364.96,519.48,488.49,27.2,2464.49,3090.42,-625.93,100.0
2016,32,HBA_direct,90day,CAT,364.96,519.48,406.05,123.63,1459.09,3090.42,-1631.33,61.76
2016,32,XGB,90day,CAT,364.96,519.48,485.09,26.43,2396.58,3090.42,-693.84,100.0
2016,44,HBA,90day,CAT,347.98,440.43,368.87,29.67,499.91,1849.13,-1349.23,75.71
2016,44,HBA_direct,90day,CAT,347.98,440.43,347.98,139.85,1147.08,1849.13,-702.05,56.52
2016,44,XGB,90day,CAT,347.98,440.43,365.26,28.87,441.39,1849.13,-1407.74,72.44
2016,52,HBA,90day,CAT,624.26,671.97,634.15,25.28,315.19,954.25,-639.06,64.89
2016,52,HBA_direct,90day,CAT,624.26,671.97,624.26,104.21,850.31,954.25,-103.94,50.0
