year,region,model,window,index_type,strike,hdd_actual,hdd_sim_mean,hdd_sim_std,option_price,realised_payoff,pricing_error,itm_pct
2015,11,HBA,mid90day,CDD,128.22,202.15,177.17,22.75,974.88,1478.63,-503.74,98.6
2015,11,XGB,mid90day,CDD,128.22,202.15,172.82,22.54,889.7,1478.63,-588.92,97.84
2015,24,HBA,mid90day,CDD,129.48,199.73,172.97,21.92,867.6,1404.9,-537.29,97.94
2015,24,XGB,mid90day,CDD,129.48,199.73,169.94,21.82,808.87,1404.9,-596.03,97.02
2015,27,HBA,mid90day,CDD,123.14,263.53,203.92,24.29,1605.76,2807.78,-1202.02,100.0
2015,27,XGB,mid90day,CDD,123.14,263.53,201.03,23.66,1548.24,2807.78,-1259.55,99.99
2015,28,HBA,mid90day,CDD,34.43,52.15,52.19,11.34,356.84,354.3,2.54,94.93
2015,28,XGB,mid90day,CDD,34.43,52.15,50.26,11.04,320.04,354.3,-34.26,92.87
2015,32,HBA,mid90day,CDD,54.25,80.25,92.23,16.49,755.5,520.16,235.33,99.42
2015,32,XGB,mid90day,CDD,54.25,80.25,89.55,16.31,702.51,520.16,182.35,99.12
2015,44,HBA,mid90day,CDD,122.25,214.85,179.92,23.62,1147.0,1852.08,-705.08,99.52
2015,44,XGB,mid90day,CDD,122.25,214.85,175.63,23.35,1062.14,1852.08,-789.94,99.19
2015,52,HBA,mid90day,CDD,118.83,126.49,148.2,19.04,592.61,153.36,439.25,93.83
2015,52,XGB,mid90day,CDD,118.83,126.49,145.21,19.03,537.34,153.36,383.98,91.76
2015,53,HBA,mid90day,CDD,48.48,33.31,65.41,12.28,344.05,0.0,344.05,92.19
2015,53,XGB,mid90day,CDD,48.48,33.31,64.0,12.14,317.95,0.0,317.95,90.22
2016,11,HBA,mid90day,CDD,129.82,105.72,141.63,19.71,299.71,0.0,299.71,71.69
2016,11,XGB,mid90day,CDD,129.82,105.72,135.89,18.9,217.34,0.0,217.34,61.96
2016,24,HBA,mid90day,CDD,131.01,103.48,132.66,18.78,166.12,0.0,166.12,52.91
2016,24,XGB,mid90day,CDD,131.01,103.48,128.28,18.09,118.79,0.0,118.79,42.92
2016,27,HBA,mid90day,CDD,126.4,119.14,155.32,20.45,587.51,0.0,587.51,92.18
2016,27,XGB,mid90day,CDD,126.4,119.14,152.57,19.95,536.36,0.0,536.36,90.42
2016,28,HBA,mid90day,CDD,34.82,30.85,40.2,10.48,144.67,0.0,144.67,68.44
2016,28,XGB,mid90day,CDD,34.82,30.85,37.42,10.0,106.21,0.0,106.21,58.1
2016,32,HBA,mid90day,CDD,54.85,38.21,74.36,14.53,397.37,0.0,397.37,91.6
2016,32,XGB,mid90day,CDD,54.85,38.21,69.71,14.05,313.56,0.0,313.56,85.28
2016,44,HBA,mid90day,CDD,124.26,96.05,135.98,19.33,295.71,0.0,295.71,72.02
2016,44,XGB,mid90day,CDD,124.26,96.05,131.77,18.69,233.92,0.0,233.92,64.99
2016,52,HBA,mid90day,CDD,118.99,87.78,118.72,16.6,128.74,0.0,128.74,48.64
2016,52,XGB,mid90day,CDD,118.99,87.78,115.62,16.14,97.74,0.0,97.74,40.61
2016,53,HBA,mid90day,CDD,48.15,29.49,46.74,9.97,66.27,0.0,66.27,42.71
2016,53,XGB,mid90day,CDD,48.15,29.49,45.0,9.71,50.71,0.0,50.71,35.37
2017,11,HBA,mid90day,CDD,129.31,194.89,172.97,21.45,869.97,1311.56,-441.59,98.27
2017,11,XGB,mid90day,CDD,129.31,194.89,171.08,21.06,832.97,1311.56,-478.59,97.97
2017,24,HBA,mid90day,CDD,130.42,186.06,167.75,21.63,747.8,1112.77,-364.97,96.24
2017,24,XGB,mid90day,CDD,130.42,186.06,166.67,20.95,726.27,1112.77,-386.5,96.15
2017,27,HBA,mid90day,CDD,126.24,208.85,186.46,21.85,1197.33,1652.22,-454.9,99.77
2017,27,XGB,mid90day,CDD,126.24,208.85,186.72,21.71,1202.44,1652.22,-449.79,99.83
2017,28,HBA,mid90day,CDD,34.73,74.66,61.38,12.93,530.71,798.57,-267.86,98.67
2017,28,XGB,mid90day,CDD,34.73,74.66,59.55,12.51,494.51,798.57,-304.06,98.31
2017,32,HBA,mid90day,CDD,54.47,94.1,93.37,15.54,773.31,792.56,-19.25,99.72
2017,32,XGB,mid90day,CDD,54.47,94.1,90.54,15.19,717.29,792.56,-75.27,99.52
2017,44,HBA,mid90day,CDD,123.66,174.29,159.69,20.2,720.77,1012.62,-291.85,96.74
2017,44,XGB,mid90day,CDD,123.66,174.29,158.2,19.69,691.42,1012.62,-321.2,96.42
2017,52,HBA,mid90day,CDD,118.33,165.53,150.35,19.48,643.22,943.94,-300.72,95.24
2017,52,XGB,mid90day,CDD,118.33,165.53,149.78,19.0,631.6,943.94,-312.33,95.29
2017,53,HBA,mid90day,CDD,47.75,54.81,59.22,11.56,245.25,141.04,104.21,83.76
2017,53,XGB,mid90day,CDD,47.75,54.81,58.53,11.37,233.0,141.04,91.96,82.46
2018,11,HBA,mid90day,CDD,130.68,287.18,218.41,23.08,1743.87,3130.05,-1386.18,100.0
2018,11,XGB,mid90day,CDD,130.68,287.18,216.24,23.17,1700.8,3130.05,-1429.26,100.0
2018,24,HBA,mid90day,CDD,131.58,260.02,215.23,21.93,1662.66,2568.72,-906.06,100.0
2018,24,XGB,mid90day,CDD,131.58,260.02,214.21,22.19,1642.46,2568.72,-926.26,100.0
2018,27,HBA,mid90day,CDD,128.07,282.64,254.59,23.85,2514.76,3091.28,-576.52,100.0
2018,27,XGB,mid90day,CDD,128.07,282.64,253.42,23.69,2491.51,3091.28,-599.78,100.0
2018,28,HBA,mid90day,CDD,35.56,111.24,68.83,12.31,661.35,1513.55,-852.2,99.89
2018,28,XGB,mid90day,CDD,35.56,111.24,68.1,12.34,646.83,1513.55,-866.72,99.85
2018,32,HBA,mid90day,CDD,55.35,159.34,114.01,17.26,1165.95,2079.75,-913.8,100.0
2018,32,XGB,mid90day,CDD,55.35,159.34,112.25,17.12,1130.92,2079.75,-948.83,99.99
2018,44,HBA,mid90day,CDD,124.71,261.12,220.97,22.7,1913.31,2728.13,-814.82,100.0
2018,44,XGB,mid90day,CDD,124.71,261.12,218.18,22.63,1857.87,2728.13,-870.27,100.0
2018,52,HBA,mid90day,CDD,119.31,230.33,178.29,19.02,1172.3,2220.38,-1048.08,99.93
2018,52,XGB,mid90day,CDD,119.31,230.33,177.21,19.08,1150.98,2220.38,-1069.4,99.96
2018,53,HBA,mid90day,CDD,47.9,83.94,67.95,11.31,401.05,720.76,-319.71,96.7
2018,53,XGB,mid90day,CDD,47.9,83.94,67.17,11.35,386.09,720.76,-334.67,95.97
2019,11,HBA,mid90day,CDD,133.87,218.33,185.8,21.19,1032.87,1689.09,-656.22,99.47
2019,11,XGB,mid90day,CDD,133.87,218.33,182.22,20.89,962.0,1689.09,-727.09,99.18
2019,24,HBA,mid90day,CDD,134.2,242.04,189.18,21.71,1093.29,2156.73,-1063.44,99.62
2019,24,XGB,mid90day,CDD,134.2,242.04,186.28,21.51,1035.75,2156.73,-1120.98,99.43
2019,27,HBA,mid90day,CDD,131.43,257.94,218.42,23.23,1729.12,2530.21,-801.09,99.99
2019,27,XGB,mid90day,CDD,131.43,257.94,216.97,22.76,1700.21,2530.21,-830.0,99.99
2019,28,HBA,mid90day,CDD,37.11,90.34,54.47,11.43,349.39,1064.57,-715.19,94.61
2019,28,XGB,mid90day,CDD,37.11,90.34,53.2,11.39,325.62,1064.57,-738.95,92.71
2019,32,HBA,mid90day,CDD,57.61,110.52,95.88,15.34,761.03,1058.1,-297.08,99.6
2019,32,XGB,mid90day,CDD,57.61,110.52,93.6,15.08,715.83,1058.1,-342.27,99.46
2019,44,HBA,mid90day,CDD,127.5,212.97,186.24,21.53,1167.94,1709.45,-541.52,99.73
2019,44,XGB,mid90day,CDD,127.5,212.97,182.9,21.15,1101.74,1709.45,-607.71,99.61
2019,52,HBA,mid90day,CDD,121.58,192.04,151.74,18.45,606.2,1409.17,-802.96,95.25
2019,52,XGB,mid90day,CDD,121.58,192.04,150.68,18.32,585.78,1409.17,-823.39,94.86
2019,53,HBA,mid90day,CDD,48.64,62.7,54.96,10.21,157.41,281.36,-123.95,72.25
2019,53,XGB,mid90day,CDD,48.64,62.7,54.24,10.07,146.5,281.36,-134.87,69.94
2020,11,HBA,mid90day,CDD,135.56,177.23,213.56,23.09,1550.35,833.46,716.89,99.99
2020,11,XGB,mid90day,CDD,135.56,177.23,209.61,22.67,1471.92,833.46,638.46,100.0
2020,24,HBA,mid90day,CDD,136.36,170.8,209.76,22.55,1458.92,688.73,770.18,99.96
2020,24,XGB,mid90day,CDD,136.36,170.8,207.24,22.14,1408.98,688.73,720.24,99.94
2020,27,HBA,mid90day,CDD,134.13,186.25,238.43,23.87,2073.16,1042.57,1030.59,100.0
2020,27,XGB,mid90day,CDD,134.13,186.25,236.66,23.58,2038.03,1042.57,995.46,100.0
