region,model,window,hdd_actual,hdd_sim_mean,hdd_sim_std,strike,option_price,realised_payoff,pricing_error,itm_pct
11,HBA,mid90day,802.15,794.91,31.45,716.93,1551.42,1704.46,-153.04,99.31
11,XGB,mid90day,802.15,791.60,31.02,716.93,1485.77,1704.46,-218.68,99.16
24,HBA,mid90day,811.33,785.99,31.11,719.07,1333.54,1845.16,-511.61,98.44
24,XGB,mid90day,811.33,783.79,30.71,719.07,1290.29,1845.16,-554.86,98.26
27,HBA,mid90day,889.73,837.08,32.08,603.24,4648.08,5729.70,-1081.62,100.00
27,XGB,mid90day,889.73,836.30,31.08,603.24,4632.54,5729.70,-1097.16,100.00
28,HBA,mid90day,568.10,559.30,24.68,529.48,618.97,772.39,-153.42,88.85
28,XGB,mid90day,568.10,556.79,24.27,529.48,573.42,772.39,-198.98,87.22
32,HBA,mid90day,601.02,637.50,28.55,485.22,3027.04,2316.10,710.95,100.00
32,XGB,mid90day,601.02,635.70,28.27,485.22,2991.26,2316.10,675.17,100.00
44,HBA,mid90day,812.59,798.66,32.38,709.83,1766.21,2055.00,-288.80,99.70
44,XGB,mid90day,812.59,795.50,31.79,709.83,1703.45,2055.00,-351.55,99.67
52,HBA,mid90day,734.23,763.67,28.30,716.53,948.05,353.99,594.06,95.46
52,XGB,mid90day,734.23,762.22,27.75,716.53,919.49,353.99,565.50,95.14
53,HBA,mid90day,549.45,616.61,23.72,586.87,613.74,0.00,613.74,89.75
53,XGB,mid90day,549.45,615.29,23.31,586.87,588.65,0.00,588.65,89.12
