region,model,window,hdd_actual,hdd_sim_mean,hdd_sim_std,strike,option_price,realised_payoff,pricing_error,itm_pct
11,HBA,90day,1134.63,1053.04,31.50,1053.04,249.87,1631.86,-1381.99,49.90
11,XGB,90day,1134.63,1058.75,31.07,1058.75,246.99,1517.63,-1270.64,50.04
24,HBA,90day,1139.72,1055.62,31.21,1055.62,247.09,1681.93,-1434.84,49.70
24,XGB,90day,1139.72,1062.59,30.79,1062.59,244.17,1542.60,-1298.43,49.81
27,HBA,90day,1208.40,1145.60,32.17,1145.60,254.97,1256.12,-1001.16,49.79
27,XGB,90day,1208.40,1152.79,31.16,1152.79,246.88,1112.22,-865.34,49.95
28,HBA,90day,1103.48,1015.05,24.93,1015.05,197.36,1768.48,-1571.12,50.28
28,XGB,90day,1103.48,1020.60,24.46,1020.60,193.80,1657.50,-1463.70,50.02
32,HBA,90day,1170.28,1105.78,28.71,1105.78,228.15,1290.06,-1061.90,50.61
32,XGB,90day,1170.28,1111.41,28.42,1111.41,226.08,1177.44,-951.36,50.32
44,HBA,90day,1246.22,1182.96,32.41,1182.96,256.87,1265.03,-1008.16,50.05
44,XGB,90day,1246.22,1187.68,31.83,1187.68,252.37,1170.67,-918.29,50.31
52,HBA,90day,1018.76,948.12,28.36,948.12,225.11,1412.85,-1187.74,49.95
52,XGB,90day,1018.76,954.53,27.81,954.53,220.67,1284.61,-1063.94,49.78
53,HBA,90day,974.14,927.05,23.75,927.05,188.28,941.80,-753.52,49.87
53,XGB,90day,974.14,933.19,23.35,933.19,185.05,818.88,-633.83,50.36
11,HBA,mid90day,120.00,102.59,14.96,102.59,118.89,348.09,-229.20,49.64
11,XGB,mid90day,120.00,101.50,14.54,101.50,115.62,369.97,-254.35,49.65
24,HBA,mid90day,109.10,107.47,15.52,107.47,123.67,32.47,91.20,49.50
24,XGB,mid90day,109.10,106.53,15.07,106.53,120.34,51.29,69.05,49.51
27,HBA,mid90day,94.13,87.25,14.10,87.25,112.15,137.54,-25.39,49.13
27,XGB,mid90day,94.13,85.05,13.59,85.05,108.27,181.48,-73.21,49.56
28,HBA,mid90day,204.07,214.36,18.44,214.36,145.94,0.00,145.94,50.04
28,XGB,mid90day,204.07,214.65,18.08,214.65,143.14,0.00,143.14,50.33
32,HBA,mid90day,199.27,175.56,17.84,175.56,141.09,474.22,-333.13,49.75
32,XGB,mid90day,199.27,174.60,17.55,174.60,138.69,493.36,-354.67,50.05
44,HBA,mid90day,122.36,101.50,14.96,101.50,118.83,417.16,-298.34,49.10
44,XGB,mid90day,122.36,100.38,14.62,100.38,116.30,439.65,-323.35,49.35
52,HBA,mid90day,112.27,104.75,15.05,104.75,119.76,150.30,-30.55,49.45
52,XGB,mid90day,112.27,103.18,14.42,103.18,114.82,181.75,-66.93,50.03
53,HBA,mid90day,203.85,169.00,16.35,169.00,129.75,696.99,-567.24,49.87
53,XGB,mid90day,203.85,168.90,15.91,168.90,126.36,699.03,-572.67,50.02
