year,actual_cdd,sim_mean_cdd,sim_mean_yield,sim_sd_yield,call_var_N,call_var_K,call_var_V,call_var_VR,call_svar_N,call_svar_K,call_svar_V,call_svar_SVR,put_var_N,put_var_K,put_var_V,put_var_VR,put_svar_N,put_svar_K,put_svar_V,put_svar_SVR,future_var_N,future_var_K,future_var_V,future_var_VR,future_svar_N,future_svar_K,future_svar_V,future_svar_SVR,region
2015,707.5,715.6,7.987,0.501,0.94889,651.82,64.04,13.29,0.92243,571.2,144.44,14.0,-0.95249,781.22,65.84,13.32,-0.92606,804.11,88.51,14.01,0.93546,715.63,0.0,13.37,0.92243,715.63,0.0,14.0,11
2016,631.9,663.4,8.296,0.509,0.88552,605.43,58.18,9.2,0.82489,585.36,78.06,8.93,-0.88654,721.53,58.34,9.23,-0.82176,783.6,120.2,8.92,0.87226,663.39,0.0,9.26,0.82176,663.39,0.0,8.92,11
2017,788.0,707.4,8.076,0.503,0.90476,644.25,63.32,11.85,0.86639,523.9,183.45,12.22,-0.90441,771.19,64.08,11.8,-0.86639,861.47,154.12,12.22,0.89329,707.35,0.0,11.95,0.86639,707.35,0.0,12.22,11
2018,867.2,771.2,7.733,0.489,0.90624,702.48,68.94,14.3,0.83481,672.18,99.02,13.76,-0.90567,837.7,66.74,14.27,-0.83317,1028.46,257.26,13.75,0.89348,771.19,0.0,14.37,0.83317,771.19,0.0,13.75,11
2019,738.4,743.3,7.917,0.491,0.93171,685.57,57.91,11.06,0.86351,543.56,199.7,10.7,-0.92947,802.12,59.07,11.05,-0.86354,859.69,116.44,10.7,0.91659,743.25,0.0,11.12,0.86351,743.25,0.0,10.7,11
2020,678.5,778.7,7.732,0.486,0.99202,718.28,60.63,13.75,0.96063,719.16,59.77,14.24,-0.99417,839.01,60.51,13.75,-0.95644,844.2,65.61,14.26,0.97652,778.71,0.0,13.75,0.94476,778.71,0.0,14.24,11
2021,612.5,646.4,8.502,0.52,0.85513,587.72,58.84,8.55,0.79512,501.16,145.2,8.55,-0.85824,707.31,61.16,8.59,-0.79512,774.63,128.28,8.55,0.84696,646.36,0.0,8.68,0.79512,646.36,0.0,8.55,11
2022,816.7,787.8,7.72,0.487,0.99599,726.62,61.37,14.09,0.96007,720.62,67.27,14.33,-0.99149,849.28,61.73,13.97,-0.94571,898.92,111.16,14.25,0.97761,787.77,0.0,14.08,0.94568,787.77,0.0,14.25,11
2023,777.4,793.0,7.71,0.481,0.94389,733.59,59.63,12.19,0.87613,654.63,138.38,11.86,-0.94254,852.97,60.17,12.16,-0.87613,926.73,133.72,11.86,0.92953,793.01,0.0,12.25,0.87613,793.01,0.0,11.86,11
2024,669.5,735.3,8.072,0.502,0.95294,675.53,59.97,11.57,0.90381,587.22,148.06,11.56,-0.95736,795.78,60.74,11.66,-0.90391,844.89,109.61,11.56,0.93966,735.28,0.0,11.68,0.90381,735.28,0.0,11.56,11
2015,725.6,702.5,6.787,0.467,0.94288,640.97,61.77,14.53,0.9118,543.36,159.13,15.26,-0.94437,766.8,64.56,14.56,-0.91334,805.92,103.44,15.27,0.92887,702.48,0.0,14.67,0.9118,702.48,0.0,15.26,24
